<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ABF.L,D,20030101,000000,588.00,588.00,588.00,588.00,000,0
ABF.L,D,20030102,000000,578.00,593.00,578.00,593.00,685300,0
ABF.L,D,20030103,000000,590.00,599.00,575.50,591.50,621900,0
ABF.L,D,20030106,000000,594.50,594.50,572.00,586.00,565300,0
ABF.L,D,20030107,000000,591.00,591.50,579.50,591.50,792700,0
ABF.L,D,20030108,000000,589.50,592.50,579.50,581.50,1177800,0
ABF.L,D,20030109,000000,582.00,588.00,575.00,588.00,760500,0
ABF.L,D,20030110,000000,580.00,586.00,573.00,578.00,484700,0
ABF.L,D,20030113,000000,585.00,585.00,565.50,566.00,846600,0
ABF.L,D,20030114,000000,571.50,587.00,564.50,566.50,1027900,0
ABF.L,D,20030115,000000,566.50,570.00,550.00,551.50,805900,0
ABF.L,D,20030116,000000,552.00,561.50,548.00,560.50,819000,0
ABF.L,D,20030117,000000,560.50,562.50,550.00,556.50,470300,0
ABF.L,D,20030120,000000,550.00,556.50,547.00,550.00,440200,0
ABF.L,D,20030121,000000,547.50,557.50,547.50,552.00,1132700,0
ABF.L,D,20030122,000000,552.00,555.00,545.00,547.50,701000,0
ABF.L,D,20030123,000000,545.50,550.50,535.50,535.50,1095400,0
ABF.L,D,20030124,000000,535.50,547.00,521.00,535.50,882200,0
ABF.L,D,20030127,000000,527.50,530.00,510.50,515.00,1085600,0
ABF.L,D,20030128,000000,512.00,525.50,510.50,519.00,1032700,0
ABF.L,D,20030129,000000,510.00,519.50,503.50,506.00,1004500,0
ABF.L,D,20030130,000000,508.00,520.00,504.00,517.00,886900,0
ABF.L,D,20030131,000000,508.50,515.00,502.00,514.00,1050900,0
ABF.L,D,20030203,000000,515.00,528.50,515.00,524.50,448700,0
ABF.L,D,20030204,000000,534.00,534.00,513.00,516.50,1137200,0
ABF.L,D,20030205,000000,520.00,526.50,513.00,526.00,445800,0
ABF.L,D,20030206,000000,525.00,532.00,515.50,520.50,974500,0
ABF.L,D,20030207,000000,530.00,532.50,519.00,527.00,629700,0
ABF.L,D,20030210,000000,523.50,530.00,515.00,520.00,432600,0
ABF.L,D,20030211,000000,523.00,544.50,523.00,532.00,732600,0
ABF.L,D,20030212,000000,535.00,535.00,520.00,522.00,530000,0
ABF.L,D,20030213,000000,515.00,526.00,507.00,510.50,815900,0
ABF.L,D,20030214,000000,516.00,530.00,507.50,512.00,1218200,0
ABF.L,D,20030217,000000,522.50,533.00,516.00,526.00,1304600,0
ABF.L,D,20030218,000000,527.50,538.50,525.00,530.00,906700,0
ABF.L,D,20030219,000000,530.00,539.00,511.50,516.00,976100,0
ABF.L,D,20030220,000000,517.50,523.00,506.00,510.00,1002100,0
ABF.L,D,20030221,000000,512.00,525.00,510.00,525.00,969600,0
ABF.L,D,20030224,000000,503.00,543.00,503.00,525.50,948700,0
ABF.L,D,20030225,000000,514.50,524.50,506.00,506.50,1276000,0
ABF.L,D,20030226,000000,512.00,513.50,492.00,497.50,1258100,0
ABF.L,D,20030227,000000,497.50,520.00,497.50,503.00,997500,0
ABF.L,D,20030228,000000,519.50,519.50,495.00,507.50,900900,0
ABF.L,D,20030303,000000,507.00,515.00,507.00,512.50,528400,0
ABF.L,D,20030304,000000,510.00,515.00,496.50,505.00,818500,0
ABF.L,D,20030305,000000,500.00,500.00,487.00,487.00,1614200,0
ABF.L,D,20030306,000000,488.50,494.00,483.00,487.00,953300,0
ABF.L,D,20030307,000000,487.00,488.50,474.00,474.00,601600,0
ABF.L,D,20030310,000000,474.00,484.00,466.00,470.00,1017700,0
ABF.L,D,20030311,000000,479.00,485.50,467.50,483.50,993900,0
ABF.L,D,20030312,000000,479.00,488.00,459.00,468.50,1680800,0
ABF.L,D,20030313,000000,472.00,495.00,467.00,494.50,1185400,0
ABF.L,D,20030314,000000,501.50,512.50,495.00,501.00,1402700,0
ABF.L,D,20030317,000000,491.50,524.50,491.50,518.00,1280900,0
ABF.L,D,20030318,000000,514.00,516.50,503.50,509.50,1250600,0
ABF.L,D,20030319,000000,509.50,532.50,509.50,515.50,2010400,0
ABF.L,D,20030320,000000,517.50,523.00,512.00,518.00,1018800,0
ABF.L,D,20030321,000000,518.00,527.00,517.00,520.00,1253200,0
ABF.L,D,20030324,000000,504.50,515.00,503.50,508.50,996600,0
ABF.L,D,20030325,000000,500.00,517.00,495.00,514.00,1221100,0
ABF.L,D,20030326,000000,511.00,518.00,485.00,503.00,2036900,0
ABF.L,D,20030327,000000,500.50,509.00,497.00,499.00,1227500,0
ABF.L,D,20030328,000000,482.00,508.00,482.00,503.00,1370300,0
ABF.L,D,20030331,000000,503.00,503.00,489.00,493.00,824700,0
ABF.L,D,20030401,000000,501.00,507.50,487.00,503.00,1110800,0
ABF.L,D,20030402,000000,516.00,516.00,502.00,511.50,662700,0
ABF.L,D,20030403,000000,511.50,517.00,505.00,514.50,639000,0
ABF.L,D,20030404,000000,509.00,516.00,506.50,514.50,727600,0
ABF.L,D,20030407,000000,516.50,530.00,510.50,521.50,1334800,0
ABF.L,D,20030408,000000,506.00,518.00,503.50,516.50,1509500,0
ABF.L,D,20030409,000000,516.00,523.00,509.00,518.50,815800,0
ABF.L,D,20030410,000000,515.00,523.00,509.00,513.50,1176600,0
ABF.L,D,20030411,000000,512.00,524.50,512.00,514.50,585100,0
ABF.L,D,20030414,000000,515.00,526.50,513.00,518.00,940100,0
ABF.L,D,20030415,000000,528.00,535.00,518.00,525.50,709000,0
ABF.L,D,20030416,000000,530.00,539.00,523.00,525.00,1170300,0
ABF.L,D,20030417,000000,524.50,535.00,518.50,528.50,790500,0
ABF.L,D,20030418,000000,528.50,528.50,528.50,528.50,000,0
ABF.L,D,20030421,000000,528.50,528.50,528.50,528.50,000,0
ABF.L,D,20030422,000000,528.50,530.00,520.50,529.50,399200,0
ABF.L,D,20030423,000000,532.00,537.00,528.00,534.00,649400,0
ABF.L,D,20030424,000000,533.00,543.50,520.50,529.00,885300,0
ABF.L,D,20030425,000000,535.00,539.50,520.00,529.00,692200,0
ABF.L,D,20030428,000000,529.00,539.50,527.00,539.50,661500,0
ABF.L,D,20030429,000000,538.00,545.50,534.00,537.50,1193700,0
ABF.L,D,20030430,000000,533.00,544.50,533.00,538.50,680000,0
ABF.L,D,20030501,000000,536.00,544.50,536.00,542.50,816700,0
ABF.L,D,20030502,000000,540.00,545.00,535.00,541.00,1418500,0
ABF.L,D,20030505,000000,541.00,541.00,541.00,541.00,000,0
ABF.L,D,20030506,000000,541.00,559.00,540.50,548.50,1012600,0
ABF.L,D,20030507,000000,546.00,553.00,543.00,552.00,1157400,0
ABF.L,D,20030508,000000,551.50,552.50,548.00,550.00,1284200,0
ABF.L,D,20030509,000000,550.00,559.00,549.50,559.00,1033700,0
ABF.L,D,20030512,000000,555.00,566.50,554.50,558.00,844900,0
ABF.L,D,20030513,000000,560.00,567.00,559.00,562.00,969600,0
ABF.L,D,20030514,000000,563.00,573.00,563.00,570.50,1401100,0
ABF.L,D,20030515,000000,570.00,574.00,566.50,570.00,1570300,0
ABF.L,D,20030516,000000,570.00,575.00,566.50,570.50,1080300,0
ABF.L,D,20030519,000000,565.00,570.00,562.00,569.50,630600,0
ABF.L,D,20030520,000000,568.00,575.00,567.00,574.50,865500,0
ABF.L,D,20030521,000000,575.00,581.50,570.00,573.00,854900,0
ABF.L,D,20030522,000000,574.00,580.00,571.00,578.00,379300,0
ABF.L,D,20030523,000000,578.00,580.00,568.00,575.00,1043100,0
ABF.L,D,20030526,000000,575.00,575.00,575.00,575.00,000,0
ABF.L,D,20030527,000000,574.50,579.50,565.50,575.00,1051500,0
ABF.L,D,20030528,000000,575.00,585.00,570.50,583.00,878600,0
ABF.L,D,20030529,000000,579.00,582.00,572.50,577.00,614100,0
ABF.L,D,20030530,000000,572.00,574.00,565.50,572.00,757400,0
ABF.L,D,20030602,000000,574.00,574.00,564.50,569.50,1832300,0
ABF.L,D,20030603,000000,571.50,571.50,562.00,568.00,1567700,0
ABF.L,D,20030604,000000,560.50,566.00,556.00,556.50,1462400,0
ABF.L,D,20030605,000000,556.00,560.50,550.00,557.00,605700,0
ABF.L,D,20030606,000000,557.50,558.50,545.00,549.00,2001800,0
ABF.L,D,20030609,000000,549.00,557.00,548.00,553.50,436800,0
ABF.L,D,20030610,000000,553.50,560.00,552.50,552.50,728600,0
ABF.L,D,20030611,000000,553.50,558.00,547.50,550.00,1295700,0
ABF.L,D,20030612,000000,550.00,552.50,535.00,537.50,1996100,0
ABF.L,D,20030613,000000,538.50,539.50,530.00,531.00,1749800,0
ABF.L,D,20030616,000000,532.50,533.00,527.00,529.50,2119500,0
ABF.L,D,20030617,000000,534.50,535.00,528.00,530.00,1486600,0
ABF.L,D,20030618,000000,529.00,541.50,526.00,540.00,1263000,0
ABF.L,D,20030619,000000,539.00,546.50,538.50,543.00,1120500,0
ABF.L,D,20030620,000000,547.50,554.00,544.50,552.50,664500,0
ABF.L,D,20030623,000000,547.00,549.00,529.00,534.50,1043100,0
ABF.L,D,20030624,000000,535.00,536.00,520.00,525.50,731600,0
ABF.L,D,20030625,000000,533.00,537.50,526.50,532.50,1331600,0
ABF.L,D,20030626,000000,531.00,545.50,531.00,538.00,1238300,0
ABF.L,D,20030627,000000,540.00,541.00,530.00,535.00,1365100,0
ABF.L,D,20030630,000000,543.00,543.00,531.50,536.00,811000,0
ABF.L,D,20030701,000000,532.50,539.00,527.00,528.00,708400,0
ABF.L,D,20030702,000000,535.00,537.50,521.00,535.00,1161900,0
ABF.L,D,20030703,000000,530.00,537.50,529.00,533.50,1018100,0
ABF.L,D,20030704,000000,535.00,539.50,528.00,530.00,946300,0
ABF.L,D,20030707,000000,529.50,539.50,529.50,534.00,1356300,0
ABF.L,D,20030708,000000,540.00,540.00,529.00,534.00,977200,0
ABF.L,D,20030709,000000,533.50,533.50,519.50,524.50,1442000,0
ABF.L,D,20030710,000000,524.00,537.50,524.00,530.00,941400,0
ABF.L,D,20030711,000000,530.00,534.00,526.00,533.50,601500,0
ABF.L,D,20030714,000000,540.00,542.00,525.00,538.00,609300,0
ABF.L,D,20030715,000000,531.50,535.00,525.50,527.00,592500,0
ABF.L,D,20030716,000000,527.00,533.50,520.50,524.50,881300,0
ABF.L,D,20030717,000000,526.00,526.00,518.00,520.50,884700,0
ABF.L,D,20030718,000000,524.00,533.00,523.00,529.00,1073200,0
ABF.L,D,20030721,000000,529.00,532.00,521.00,529.00,638700,0
ABF.L,D,20030722,000000,534.50,534.50,525.50,528.00,667200,0
ABF.L,D,20030723,000000,530.00,543.00,530.00,537.00,812300,0
ABF.L,D,20030724,000000,535.00,542.50,532.00,535.00,952000,0
ABF.L,D,20030725,000000,526.00,538.00,526.00,535.50,1239200,0
ABF.L,D,20030728,000000,538.50,542.50,533.50,535.00,460700,0
ABF.L,D,20030729,000000,542.50,547.00,540.00,543.00,680700,0
ABF.L,D,20030730,000000,536.00,544.00,536.00,537.00,432200,0
ABF.L,D,20030731,000000,544.00,544.00,532.00,533.00,823600,0
ABF.L,D,20030801,000000,530.00,533.50,528.50,529.00,683400,0
ABF.L,D,20030804,000000,531.00,540.00,530.50,532.50,638300,0
ABF.L,D,20030805,000000,535.50,537.50,525.50,535.00,606400,0
ABF.L,D,20030806,000000,532.00,537.00,527.50,533.50,337100,0
ABF.L,D,20030807,000000,538.50,541.00,532.00,535.50,589900,0
ABF.L,D,20030808,000000,530.50,547.50,530.50,545.00,718500,0
ABF.L,D,20030811,000000,544.50,544.50,537.00,541.00,633000,0
ABF.L,D,20030812,000000,540.00,543.50,534.00,537.50,719500,0
ABF.L,D,20030813,000000,540.00,540.00,530.00,533.50,725400,0
ABF.L,D,20030814,000000,545.00,548.50,535.00,546.00,973000,0
ABF.L,D,20030815,000000,545.50,551.00,540.00,542.50,522900,0
ABF.L,D,20030818,000000,550.00,550.00,537.50,541.50,376100,0
ABF.L,D,20030819,000000,541.00,545.50,538.50,538.50,283100,0
ABF.L,D,20030820,000000,544.50,550.00,542.00,547.50,702900,0
ABF.L,D,20030821,000000,546.00,546.00,532.50,533.00,1852600,0
ABF.L,D,20030822,000000,533.50,536.00,526.50,529.00,1020400,0
ABF.L,D,20030825,000000,529.00,529.00,529.00,529.00,000,0
ABF.L,D,20030826,000000,527.00,536.50,521.00,528.50,1053300,0
ABF.L,D,20030827,000000,528.00,535.00,528.00,531.50,895800,0
ABF.L,D,20030828,000000,531.00,531.50,526.50,527.00,409800,0
ABF.L,D,20030829,000000,527.00,527.50,510.00,518.00,1342500,0
ABF.L,D,20030901,000000,516.00,526.50,514.50,519.50,1113000,0
ABF.L,D,20030902,000000,525.00,532.00,523.00,523.50,773600,0
ABF.L,D,20030903,000000,526.50,528.00,519.00,520.50,735100,0
ABF.L,D,20030904,000000,520.50,528.50,519.50,523.00,1117300,0
ABF.L,D,20030905,000000,526.50,526.50,507.50,510.50,1561900,0
ABF.L,D,20030908,000000,520.50,524.50,509.94,515.00,2468900,0
ABF.L,D,20030909,000000,520.00,522.00,512.60,516.00,1694200,0
ABF.L,D,20030910,000000,512.00,535.65,514.00,529.50,2559600,0
ABF.L,D,20030911,000000,532.00,542.50,528.00,530.00,2467400,0
ABF.L,D,20030912,000000,523.50,537.00,523.50,535.00,1208700,0
ABF.L,D,20030915,000000,535.50,544.50,529.00,542.00,1164700,0
ABF.L,D,20030916,000000,543.00,550.00,542.50,549.50,1629900,0
ABF.L,D,20030917,000000,545.00,549.00,540.00,543.00,717300,0
ABF.L,D,20030918,000000,545.50,549.50,543.00,546.50,1309300,0
ABF.L,D,20030919,000000,545.50,553.00,540.50,549.00,1538000,0
ABF.L,D,20030922,000000,548.50,548.50,532.50,544.00,1410400,0
ABF.L,D,20030923,000000,545.50,540.50,535.50,538.50,1319100,0
ABF.L,D,20030924,000000,538.50,545.50,537.50,541.00,741400,0
ABF.L,D,20030925,000000,538.00,544.50,535.00,540.00,773500,0
ABF.L,D,20030926,000000,539.50,539.50,531.50,536.00,722200,0
ABF.L,D,20030929,000000,536.00,536.00,530.50,534.50,689300,0
ABF.L,D,20030930,000000,534.50,539.50,529.00,530.00,1037600,0
ABF.L,D,20031001,000000,532.00,536.00,529.50,536.00,790500,0
ABF.L,D,20031002,000000,536.00,539.00,532.50,535.50,647500,0
ABF.L,D,20031003,000000,536.00,549.00,535.00,538.50,777400,0
ABF.L,D,20031006,000000,538.00,544.00,536.00,543.00,1264700,0
ABF.L,D,20031007,000000,540.00,549.00,540.00,546.50,802300,0
ABF.L,D,20031008,000000,546.50,557.50,546.50,557.50,3037900,0
ABF.L,D,20031009,000000,556.50,556.50,545.50,553.50,1194100,0
ABF.L,D,20031010,000000,553.50,558.00,541.50,545.00,758700,0
ABF.L,D,20031013,000000,549.00,549.00,543.00,548.00,1077600,0
ABF.L,D,20031014,000000,548.00,552.00,540.00,540.00,1166100,0
ABF.L,D,20031015,000000,543.50,552.00,543.50,549.50,1147400,0
ABF.L,D,20031016,000000,547.50,551.00,544.50,544.50,466800,0
ABF.L,D,20031017,000000,545.50,551.00,545.00,551.00,994500,0
ABF.L,D,20031020,000000,551.00,551.00,540.00,542.00,969200,0
ABF.L,D,20031021,000000,543.00,543.00,537.50,540.00,547600,0
ABF.L,D,20031022,000000,540.00,547.00,533.50,535.50,600500,0
