<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ANTO.L,D,20030101,000000,125.00,125.00,125.00,125.00,000,0
ANTO.L,D,20030102,000000,123.45,124.40,122.45,123.00,607500,0
ANTO.L,D,20030103,000000,124.40,124.40,122.37,123.00,663000,0
ANTO.L,D,20030106,000000,123.50,123.50,122.59,122.59,87700,0
ANTO.L,D,20030107,000000,124.40,125.00,122.40,125.00,2299600,0
ANTO.L,D,20030108,000000,124.60,124.60,122.20,122.20,248200,0
ANTO.L,D,20030109,000000,123.00,123.06,121.00,122.50,981500,0
ANTO.L,D,20030110,000000,120.00,120.00,116.00,116.60,765300,0
ANTO.L,D,20030113,000000,118.50,121.00,118.36,118.36,493700,0
ANTO.L,D,20030114,000000,118.00,121.00,118.00,119.00,1352100,0
ANTO.L,D,20030115,000000,119.00,122.24,119.00,122.24,714800,0
ANTO.L,D,20030116,000000,120.72,124.00,120.72,123.79,269700,0
ANTO.L,D,20030117,000000,124.50,125.63,123.34,123.34,1214400,0
ANTO.L,D,20030120,000000,122.00,124.63,121.00,122.85,434300,0
ANTO.L,D,20030121,000000,120.37,122.00,120.00,122.00,1798500,0
ANTO.L,D,20030122,000000,121.12,123.25,119.00,122.00,569900,0
ANTO.L,D,20030123,000000,121.85,121.85,120.00,121.80,230200,0
ANTO.L,D,20030124,000000,120.15,124.00,120.15,123.00,433300,0
ANTO.L,D,20030127,000000,122.12,122.60,122.00,122.34,463100,0
ANTO.L,D,20030128,000000,120.00,122.10,120.00,120.14,828400,0
ANTO.L,D,20030129,000000,120.00,121.00,119.94,120.00,370200,0
ANTO.L,D,20030130,000000,120.20,123.00,120.00,120.34,639000,0
ANTO.L,D,20030131,000000,122.60,122.60,120.50,121.30,327100,0
ANTO.L,D,20030203,000000,121.40,122.60,121.34,121.34,358700,0
ANTO.L,D,20030204,000000,122.21,123.00,122.20,122.50,476800,0
ANTO.L,D,20030205,000000,123.75,126.40,123.48,123.50,399400,0
ANTO.L,D,20030206,000000,126.60,126.63,124.00,125.33,1360400,0
ANTO.L,D,20030207,000000,124.00,126.25,124.00,126.25,637200,0
ANTO.L,D,20030210,000000,123.40,125.85,123.40,125.40,1033000,0
ANTO.L,D,20030211,000000,125.40,125.40,123.40,124.20,1588400,0
ANTO.L,D,20030212,000000,123.40,125.40,123.40,124.00,187300,0
ANTO.L,D,20030213,000000,127.40,127.91,126.00,127.20,1658100,0
ANTO.L,D,20030214,000000,126.90,127.19,125.87,126.00,3277700,0
ANTO.L,D,20030217,000000,124.80,125.80,123.00,123.30,518700,0
ANTO.L,D,20030218,000000,123.25,124.22,123.00,123.42,314300,0
ANTO.L,D,20030219,000000,123.00,123.80,121.60,122.80,219400,0
ANTO.L,D,20030220,000000,122.10,127.60,122.00,126.30,834000,0
ANTO.L,D,20030221,000000,126.00,126.00,126.00,126.00,5000,0
ANTO.L,D,20030224,000000,126.20,126.20,124.60,124.65,90900,0
ANTO.L,D,20030225,000000,124.00,126.00,123.40,124.50,142900,0
ANTO.L,D,20030226,000000,124.50,124.80,124.25,124.50,33900,0
ANTO.L,D,20030227,000000,124.00,125.00,123.97,124.85,190200,0
ANTO.L,D,20030228,000000,124.80,124.80,123.00,123.00,242100,0
ANTO.L,D,20030303,000000,125.00,127.40,124.20,126.00,753000,0
ANTO.L,D,20030304,000000,127.36,129.00,127.36,127.94,128600,0
ANTO.L,D,20030305,000000,129.50,129.50,127.00,128.00,367900,0
ANTO.L,D,20030306,000000,128.60,128.60,128.00,128.06,54500,0
ANTO.L,D,20030307,000000,129.00,129.00,127.00,127.14,488700,0
ANTO.L,D,20030310,000000,127.80,128.60,127.24,128.30,473900,0
ANTO.L,D,20030311,000000,132.00,134.22,131.40,133.20,1469700,0
ANTO.L,D,20030312,000000,134.30,134.30,129.40,130.40,1749700,0
ANTO.L,D,20030313,000000,129.00,130.75,128.00,128.00,955300,0
ANTO.L,D,20030314,000000,127.00,128.00,124.00,124.00,830100,0
ANTO.L,D,20030317,000000,125.57,126.40,125.00,125.07,125200,0
ANTO.L,D,20030318,000000,123.00,124.12,122.00,123.40,979800,0
