<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AZN.L,D,20030101,000000,2220.00,2220.00,2220.00,2220.00,000,0
AZN.L,D,20030102,000000,2218.00,2220.00,2157.00,2175.00,3122000,0
AZN.L,D,20030103,000000,2199.00,2203.00,2174.00,2187.00,2496400,0
AZN.L,D,20030106,000000,2165.00,2220.00,2150.00,2175.00,3452800,0
AZN.L,D,20030107,000000,2179.00,2179.00,2104.00,2130.00,3034900,0
AZN.L,D,20030108,000000,2110.00,2117.00,2049.00,2064.00,5299000,0
AZN.L,D,20030109,000000,2087.00,2103.00,1985.00,2042.00,5967600,0
AZN.L,D,20030110,000000,2056.00,2110.00,2042.00,2105.00,3834400,0
AZN.L,D,20030113,000000,2130.00,2137.00,2050.00,2085.00,2609200,0
AZN.L,D,20030114,000000,2081.00,2108.00,2066.00,2070.00,2583000,0
AZN.L,D,20030115,000000,2095.00,2105.00,2060.00,2091.00,4100000,0
AZN.L,D,20030116,000000,2092.00,2099.00,2064.00,2084.00,2459700,0
AZN.L,D,20030117,000000,2084.00,2088.00,2053.00,2057.00,2499300,0
AZN.L,D,20030120,000000,2060.00,2083.00,2052.00,2056.00,2162100,0
AZN.L,D,20030121,000000,2072.00,2078.00,2030.00,2034.00,2539400,0
AZN.L,D,20030122,000000,2036.00,2036.00,1951.00,1988.00,3888100,0
AZN.L,D,20030123,000000,2014.00,2059.00,1930.00,1932.00,4162600,0
AZN.L,D,20030124,000000,1949.00,1949.00,1893.00,1899.00,5058500,0
AZN.L,D,20030127,000000,1871.00,1882.00,1800.00,1820.00,6503700,0
AZN.L,D,20030128,000000,1817.00,1850.00,1805.00,1836.00,4213000,0
AZN.L,D,20030129,000000,1840.00,1922.00,1800.00,1922.00,6967900,0
AZN.L,D,20030130,000000,1945.00,2095.00,1896.00,2078.00,11358700,0
AZN.L,D,20030131,000000,2045.00,2100.00,2030.00,2055.00,6472000,0
AZN.L,D,20030203,000000,2086.00,2110.00,2065.00,2089.00,3341700,0
