<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BG.L,D,20030101,000000,268.00,268.00,268.00,268.00,000,0
BG.L,D,20030102,000000,266.00,266.50,259.00,263.75,6736700,0
BG.L,D,20030103,000000,264.00,264.00,257.50,259.50,6055500,0
BG.L,D,20030106,000000,260.00,261.00,251.75,258.00,7208800,0
BG.L,D,20030107,000000,253.75,259.00,249.50,252.25,6799000,0
BG.L,D,20030108,000000,251.75,254.75,244.75,247.00,11049500,0
BG.L,D,20030109,000000,245.00,253.00,243.75,251.25,4976400,0
BG.L,D,20030110,000000,251.00,251.00,245.50,250.00,7401700,0
BG.L,D,20030113,000000,248.25,250.00,241.50,242.25,7958900,0
BG.L,D,20030114,000000,244.00,244.00,237.00,239.00,9251000,0
BG.L,D,20030115,000000,240.50,242.50,236.75,240.25,8174600,0
BG.L,D,20030116,000000,240.25,245.00,238.50,242.75,7373600,0
BG.L,D,20030117,000000,242.00,243.25,238.00,238.00,4608200,0
BG.L,D,20030120,000000,239.75,242.50,236.50,236.75,4284500,0
BG.L,D,20030121,000000,239.00,239.00,229.00,230.25,6991200,0
BG.L,D,20030122,000000,230.25,232.25,224.00,228.00,10602900,0
BG.L,D,20030123,000000,232.75,234.75,226.00,230.50,12624700,0
BG.L,D,20030124,000000,230.50,233.25,227.50,230.00,9287300,0
BG.L,D,20030127,000000,228.25,230.25,218.25,222.00,10111600,0
BG.L,D,20030128,000000,225.50,226.25,220.00,225.00,9815800,0
BG.L,D,20030129,000000,221.50,234.75,218.25,233.00,16012200,0
BG.L,D,20030130,000000,236.00,239.00,232.00,239.00,12191100,0
BG.L,D,20030131,000000,234.00,238.50,232.25,234.75,9686800,0
BG.L,D,20030203,000000,237.75,243.75,236.00,241.00,11386300,0
BG.L,D,20030204,000000,241.00,247.00,230.00,238.00,7187100,0
BG.L,D,20030205,000000,238.00,245.75,236.00,243.00,5548700,0
BG.L,D,20030206,000000,247.00,250.25,241.50,242.00,18495300,0
BG.L,D,20030207,000000,244.50,244.50,231.00,231.00,11994500,0
BG.L,D,20030210,000000,232.25,235.50,230.00,232.00,9816100,0
BG.L,D,20030211,000000,237.00,237.75,233.00,234.50,5956300,0
BG.L,D,20030212,000000,233.25,235.75,230.00,234.00,5499700,0
BG.L,D,20030213,000000,231.00,234.50,229.25,232.25,5088700,0
BG.L,D,20030214,000000,233.00,237.25,230.00,230.00,5263700,0
BG.L,D,20030217,000000,235.00,237.75,231.50,235.00,4274200,0
BG.L,D,20030218,000000,235.75,240.00,233.00,237.00,6145400,0
BG.L,D,20030219,000000,238.25,239.00,230.25,230.75,5120500,0
BG.L,D,20030220,000000,233.00,241.00,231.50,237.00,5954000,0
BG.L,D,20030221,000000,235.00,240.75,235.00,239.50,5212200,0
BG.L,D,20030224,000000,242.00,242.00,236.50,239.75,4719300,0
BG.L,D,20030225,000000,237.50,243.50,236.25,239.00,9266600,0
BG.L,D,20030226,000000,241.00,241.75,232.00,236.00,4103100,0
BG.L,D,20030227,000000,236.00,239.00,231.50,235.25,5499000,0
BG.L,D,20030228,000000,237.00,244.75,234.25,244.75,7229500,0
BG.L,D,20030303,000000,247.00,247.00,241.00,244.00,4358200,0
BG.L,D,20030304,000000,243.25,247.50,238.75,239.75,5005600,0
BG.L,D,20030305,000000,236.75,241.25,235.75,236.50,5712400,0
BG.L,D,20030306,000000,239.25,243.50,235.25,240.00,5329000,0
