<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BLT.L,D,20030101,000000,331.75,331.75,331.75,331.75,000,0
BLT.L,D,20030102,000000,331.75,340.00,326.50,338.25,2980100,0
BLT.L,D,20030103,000000,340.00,344.00,333.25,336.00,4822700,0
BLT.L,D,20030106,000000,323.50,326.50,321.50,325.00,15058700,0
BLT.L,D,20030107,000000,325.25,331.50,325.25,331.00,9984200,0
BLT.L,D,20030108,000000,330.00,335.00,326.00,327.50,7740600,0
BLT.L,D,20030109,000000,323.50,328.00,319.50,328.00,7051800,0
BLT.L,D,20030110,000000,328.00,331.00,321.75,331.00,6922200,0
BLT.L,D,20030113,000000,325.50,333.50,325.50,330.00,6741000,0
BLT.L,D,20030114,000000,331.50,333.50,328.00,331.00,5995400,0
BLT.L,D,20030115,000000,331.00,333.00,323.75,326.00,5800700,0
BLT.L,D,20030116,000000,324.50,324.75,319.50,324.50,5097500,0
BLT.L,D,20030117,000000,323.75,323.75,314.00,316.00,10428900,0
BLT.L,D,20030120,000000,315.50,318.75,313.50,315.00,5079300,0
BLT.L,D,20030121,000000,318.50,320.00,314.75,315.75,7502100,0
BLT.L,D,20030122,000000,314.00,316.50,307.25,309.50,7010900,0
BLT.L,D,20030123,000000,309.50,318.00,303.50,304.25,10050100,0
BLT.L,D,20030124,000000,308.00,311.75,299.00,299.00,9283800,0
BLT.L,D,20030127,000000,297.75,298.00,287.00,293.50,10239800,0
BLT.L,D,20030128,000000,294.75,300.00,291.25,292.00,9735800,0
BLT.L,D,20030129,000000,291.00,291.00,279.75,284.25,13785500,0
BLT.L,D,20030130,000000,286.00,291.00,282.25,289.00,12614000,0
BLT.L,D,20030131,000000,281.50,289.75,281.50,284.00,8967800,0
BLT.L,D,20030203,000000,288.00,298.00,284.00,296.25,9658000,0
BLT.L,D,20030204,000000,295.25,301.50,294.50,295.50,10197500,0
BLT.L,D,20030205,000000,293.50,308.50,292.25,307.00,9896100,0
BLT.L,D,20030206,000000,303.00,306.50,299.00,302.00,10117800,0
BLT.L,D,20030207,000000,303.50,311.75,303.00,305.00,14016700,0
BLT.L,D,20030210,000000,305.00,313.00,304.00,308.00,4814000,0
BLT.L,D,20030211,000000,304.00,311.00,304.00,309.25,6357800,0
BLT.L,D,20030212,000000,312.00,312.00,303.50,305.00,8140600,0
BLT.L,D,20030213,000000,302.50,302.50,295.25,298.50,4951900,0
BLT.L,D,20030214,000000,296.75,307.50,296.75,302.25,4964700,0
BLT.L,D,20030217,000000,307.50,312.75,306.75,309.50,4604500,0
BLT.L,D,20030218,000000,310.50,317.75,306.25,316.25,6231800,0
BLT.L,D,20030219,000000,315.75,319.50,313.00,313.25,6051200,0
BLT.L,D,20030220,000000,310.00,317.25,307.25,314.00,7791400,0
BLT.L,D,20030221,000000,310.00,315.75,308.00,315.75,5962000,0
BLT.L,D,20030224,000000,320.25,332.25,320.00,330.00,11442400,0
BLT.L,D,20030225,000000,325.25,327.00,322.50,322.50,9733100,0
BLT.L,D,20030226,000000,326.00,331.25,319.25,327.25,5675500,0
BLT.L,D,20030227,000000,328.00,333.00,322.00,325.50,7932200,0
BLT.L,D,20030228,000000,324.00,330.00,323.00,330.00,7103900,0
BLT.L,D,20030303,000000,339.00,339.00,326.50,334.00,5368500,0
BLT.L,D,20030304,000000,332.00,332.00,325.75,326.50,4871300,0
BLT.L,D,20030305,000000,325.00,325.00,312.25,315.50,8760500,0
BLT.L,D,20030306,000000,312.75,314.00,307.75,308.50,5483800,0
BLT.L,D,20030307,000000,305.25,307.00,300.00,306.00,11103900,0
BLT.L,D,20030310,000000,303.25,311.75,303.00,306.50,3841500,0
BLT.L,D,20030311,000000,303.75,306.50,299.50,305.00,9153000,0
BLT.L,D,20030312,000000,305.25,305.50,293.00,295.50,13140700,0
BLT.L,D,20030313,000000,300.50,308.00,296.00,307.00,13781800,0
BLT.L,D,20030314,000000,309.00,319.00,309.00,319.00,8155400,0
BLT.L,D,20030317,000000,308.00,330.00,308.00,326.00,7694400,0
BLT.L,D,20030318,000000,326.00,339.75,326.00,333.50,11450300,0
BLT.L,D,20030319,000000,335.00,342.00,332.00,338.00,9943100,0
BLT.L,D,20030320,000000,338.00,338.00,327.50,330.25,7723600,0
BLT.L,D,20030321,000000,330.00,339.50,330.00,336.25,6820800,0
BLT.L,D,20030324,000000,332.00,332.00,322.75,323.00,7317400,0
BLT.L,D,20030325,000000,323.00,331.75,321.50,329.75,4764400,0
BLT.L,D,20030326,000000,332.00,332.00,326.00,331.00,5400800,0
BLT.L,D,20030327,000000,331.00,332.00,326.00,331.75,9259400,0
BLT.L,D,20030328,000000,331.00,332.00,323.00,324.75,7892000,0
BLT.L,D,20030331,000000,326.00,332.00,317.00,317.00,6881800,0
BLT.L,D,20030401,000000,318.50,326.50,317.00,325.50,9346800,0
BLT.L,D,20030402,000000,320.00,335.75,320.00,334.50,8688600,0
BLT.L,D,20030403,000000,335.00,340.00,332.25,337.50,7030600,0
BLT.L,D,20030404,000000,334.50,337.75,329.50,334.50,7976800,0
BLT.L,D,20030407,000000,336.00,351.50,336.00,351.50,10592300,0
BLT.L,D,20030408,000000,347.00,347.00,338.50,343.00,7796600,0
BLT.L,D,20030409,000000,340.50,341.25,335.25,335.25,5601000,0
BLT.L,D,20030410,000000,334.50,335.00,326.00,326.00,7375500,0
BLT.L,D,20030411,000000,330.00,335.00,329.00,333.75,6761300,0
BLT.L,D,20030414,000000,335.75,336.25,331.00,335.50,5256700,0
BLT.L,D,20030415,000000,337.50,342.75,337.00,342.75,6469600,0
BLT.L,D,20030416,000000,344.75,345.50,337.00,338.00,9720200,0
BLT.L,D,20030417,000000,337.75,342.00,335.25,340.25,4090500,0
BLT.L,D,20030418,000000,340.25,340.25,340.25,340.25,000,0
BLT.L,D,20030421,000000,340.25,340.25,340.25,340.25,000,0
BLT.L,D,20030422,000000,345.00,345.00,337.00,338.75,4382500,0
BLT.L,D,20030423,000000,340.50,344.25,333.00,335.75,8854100,0
BLT.L,D,20030424,000000,327.00,327.50,308.25,308.25,16422000,0
BLT.L,D,20030425,000000,310.00,319.75,308.00,311.25,14214700,0
BLT.L,D,20030428,000000,311.25,319.00,309.75,318.75,5018100,0
BLT.L,D,20030429,000000,320.00,325.00,318.75,321.00,7050700,0
BLT.L,D,20030430,000000,321.50,324.00,318.75,320.00,6175900,0
BLT.L,D,20030501,000000,322.50,325.25,317.50,319.50,3775900,0
BLT.L,D,20030502,000000,314.25,322.00,312.00,316.75,7916700,0
BLT.L,D,20030505,000000,316.75,316.75,316.75,316.75,000,0
BLT.L,D,20030506,000000,319.00,321.75,314.25,315.50,3807600,0
BLT.L,D,20030507,000000,317.00,317.00,304.25,305.00,10626800,0
BLT.L,D,20030508,000000,307.00,313.00,306.00,309.75,8041000,0
BLT.L,D,20030509,000000,309.75,313.00,307.50,312.75,7910400,0
BLT.L,D,20030512,000000,315.00,316.50,313.50,315.75,5969900,0
BLT.L,D,20030513,000000,315.75,317.50,312.75,315.25,8375000,0
BLT.L,D,20030514,000000,315.50,315.50,308.00,309.00,6241900,0
BLT.L,D,20030515,000000,306.50,310.00,304.25,305.75,7674100,0
BLT.L,D,20030516,000000,304.00,313.00,304.00,311.50,10864300,0
BLT.L,D,20030519,000000,311.00,311.00,300.00,301.25,7441600,0
BLT.L,D,20030520,000000,303.25,307.00,299.00,300.00,9170500,0
BLT.L,D,20030521,000000,302.00,302.25,295.25,300.00,11085800,0
BLT.L,D,20030522,000000,305.00,306.50,301.50,306.50,8836900,0
BLT.L,D,20030523,000000,305.75,310.00,305.00,309.50,6311700,0
BLT.L,D,20030526,000000,309.50,309.50,309.50,309.50,000,0
BLT.L,D,20030527,000000,306.25,311.25,303.25,311.00,6789300,0
BLT.L,D,20030528,000000,312.00,317.75,312.00,316.25,8972200,0
BLT.L,D,20030529,000000,316.50,317.00,315.00,315.50,5989400,0
BLT.L,D,20030530,000000,314.75,319.00,312.25,317.50,9699300,0
BLT.L,D,20030602,000000,321.00,324.25,319.00,322.25,6097800,0
