<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSY.L,D,20030101,000000,639.00,639.00,639.00,639.00,000,0
BSY.L,D,20030102,000000,633.00,661.50,631.00,661.50,3455700,0
BSY.L,D,20030103,000000,650.00,668.00,644.00,655.00,4112000,0
BSY.L,D,20030106,000000,660.00,661.00,639.50,655.00,5067800,0
BSY.L,D,20030107,000000,651.50,660.00,644.00,648.00,5091800,0
BSY.L,D,20030108,000000,648.00,648.00,625.00,629.00,3402400,0
BSY.L,D,20030109,000000,626.00,651.00,623.00,648.50,5138300,0
BSY.L,D,20030110,000000,656.50,666.50,646.00,659.50,8138200,0
BSY.L,D,20030113,000000,661.47,671.00,660.00,663.50,5759000,0
BSY.L,D,20030114,000000,669.50,684.00,656.50,671.00,5609800,0
BSY.L,D,20030115,000000,657.50,677.00,655.00,665.00,9067800,0
BSY.L,D,20030116,000000,659.00,665.00,654.00,665.00,5460900,0
BSY.L,D,20030117,000000,660.00,660.50,638.00,640.00,6017000,0
BSY.L,D,20030120,000000,642.00,646.50,634.50,644.00,4875500,0
BSY.L,D,20030121,000000,645.00,650.50,629.00,632.00,4404500,0
BSY.L,D,20030122,000000,633.50,635.00,618.00,622.00,7747600,0
BSY.L,D,20030123,000000,618.50,635.00,611.00,611.00,5828700,0
BSY.L,D,20030124,000000,617.00,627.50,603.50,612.00,4799000,0
BSY.L,D,20030127,000000,609.00,609.00,583.50,584.00,9813200,0
BSY.L,D,20030128,000000,588.50,594.50,569.50,573.00,8236500,0
BSY.L,D,20030129,000000,570.50,575.50,553.00,558.00,8689800,0
BSY.L,D,20030130,000000,564.00,595.50,557.50,589.50,8207500,0
BSY.L,D,20030131,000000,577.00,597.00,575.00,592.50,6805300,0
BSY.L,D,20030203,000000,607.00,616.00,597.50,609.00,6950200,0
BSY.L,D,20030204,000000,608.00,608.00,586.50,592.00,5646400,0
BSY.L,D,20030205,000000,592.50,592.50,568.50,580.00,7190500,0
BSY.L,D,20030206,000000,575.00,588.00,555.00,564.50,7956200,0
BSY.L,D,20030207,000000,570.00,570.00,553.50,560.00,6414000,0
BSY.L,D,20030210,000000,562.00,562.00,543.00,550.00,5807200,0
BSY.L,D,20030211,000000,560.00,582.00,550.00,577.00,6761200,0
BSY.L,D,20030212,000000,577.00,585.00,573.00,580.00,5997600,0
BSY.L,D,20030213,000000,577.00,592.00,573.00,584.50,8712000,0
BSY.L,D,20030214,000000,599.50,611.00,596.00,598.50,15011000,0
BSY.L,D,20030217,000000,613.00,614.50,597.50,603.00,4230700,0
BSY.L,D,20030218,000000,603.00,617.50,590.00,611.00,5979800,0
BSY.L,D,20030219,000000,612.00,618.50,597.50,600.50,5138700,0
BSY.L,D,20030220,000000,601.00,619.00,599.00,616.50,6736400,0
BSY.L,D,20030221,000000,611.00,625.50,605.00,624.00,6050500,0
BSY.L,D,20030224,000000,624.50,632.00,624.00,632.00,5066000,0
BSY.L,D,20030225,000000,627.00,627.00,604.00,612.00,7490500,0
BSY.L,D,20030226,000000,619.00,619.00,607.50,614.00,6205000,0
BSY.L,D,20030227,000000,619.50,619.50,591.00,597.00,6368200,0
BSY.L,D,20030228,000000,593.00,628.50,593.00,628.50,6224900,0
BSY.L,D,20030303,000000,623.00,653.50,617.00,644.00,6638500,0
BSY.L,D,20030304,000000,637.50,637.50,615.50,622.00,6154100,0
BSY.L,D,20030305,000000,614.00,620.00,598.50,606.00,6356000,0
BSY.L,D,20030306,000000,615.00,619.00,603.50,610.50,4472300,0
BSY.L,D,20030307,000000,606.50,623.00,595.00,610.00,5685300,0
BSY.L,D,20030310,000000,609.00,613.00,598.00,598.00,4485100,0
BSY.L,D,20030311,000000,596.00,596.00,570.00,581.50,9310200,0
BSY.L,D,20030312,000000,586.00,586.00,546.50,550.00,13979100,0
BSY.L,D,20030313,000000,558.00,592.00,558.00,583.00,9031700,0
BSY.L,D,20030314,000000,596.00,631.00,596.00,626.00,10136900,0
BSY.L,D,20030317,000000,607.00,649.00,607.00,634.00,7443600,0
