<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
III.L,D,20030101,000000,693.75,693.75,693.75,693.75,000,0
III.L,D,20030102,000000,691.25,705.63,675.63,700.00,576800,0
III.L,D,20030103,000000,690.00,710.00,681.25,691.88,368500,0
III.L,D,20030106,000000,706.88,706.88,646.88,691.88,670500,0
III.L,D,20030107,000000,680.63,695.63,663.13,678.75,471500,0
III.L,D,20030108,000000,678.13,678.13,658.75,665.00,558500,0
III.L,D,20030109,000000,668.75,672.50,656.25,663.75,713300,0
III.L,D,20030110,000000,670.63,681.25,658.13,671.25,655900,0
III.L,D,20030113,000000,684.06,684.38,663.75,676.25,579500,0
III.L,D,20030114,000000,668.75,688.13,668.75,677.50,502700,0
III.L,D,20030115,000000,688.13,691.88,658.75,662.50,929300,0
III.L,D,20030116,000000,665.00,670.00,656.25,660.63,925800,0
III.L,D,20030117,000000,665.00,665.00,650.00,650.00,1316200,0
III.L,D,20030120,000000,658.75,665.63,640.00,646.88,847600,0
III.L,D,20030121,000000,653.13,662.50,641.25,652.50,990000,0
III.L,D,20030122,000000,638.75,652.50,637.50,640.00,960800,0
III.L,D,20030123,000000,640.00,673.75,618.75,620.00,1552600,0
III.L,D,20030124,000000,612.50,639.38,612.50,620.63,1204500,0
III.L,D,20030127,000000,612.50,634.38,569.38,598.75,1759700,0
III.L,D,20030128,000000,620.63,620.63,583.75,590.00,1230900,0
III.L,D,20030129,000000,590.00,600.00,558.75,579.38,1600000,0
III.L,D,20030130,000000,585.00,628.13,585.00,619.38,1278000,0
III.L,D,20030131,000000,602.50,624.38,593.75,615.00,1050800,0
III.L,D,20030203,000000,615.63,646.25,615.63,631.25,830100,0
III.L,D,20030204,000000,640.63,640.63,616.25,617.50,969300,0
III.L,D,20030205,000000,612.50,636.25,600.00,633.75,535500,0
III.L,D,20030206,000000,612.50,647.50,612.50,626.25,1592300,0
III.L,D,20030207,000000,623.75,643.75,610.63,629.38,714800,0
III.L,D,20030210,000000,630.00,630.00,595.00,618.75,930600,0
III.L,D,20030211,000000,613.75,637.50,613.75,630.63,834100,0
III.L,D,20030212,000000,637.50,637.50,616.25,618.75,1314700,0
III.L,D,20030213,000000,618.75,621.25,606.88,612.50,920700,0
III.L,D,20030214,000000,616.25,622.50,600.00,603.75,1062800,0
III.L,D,20030217,000000,606.25,623.75,606.25,612.50,1184900,0
III.L,D,20030218,000000,611.25,622.50,608.75,618.75,1075900,0
III.L,D,20030219,000000,626.88,627.50,606.25,606.88,1356400,0
