<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AAL.L,D,20030101,000000,1104.97,1104.97,1104.97,1104.97,000,0
AAL.L,D,20030102,000000,1098.98,1125.93,1095.99,1124.74,1856000,0
AAL.L,D,20030103,000000,1125.34,1125.34,1111.56,1119.35,1124100,0
AAL.L,D,20030106,000000,1115.15,1118.75,1095.99,1098.98,1967500,0
AAL.L,D,20030107,000000,1102.58,1102.58,1081.02,1090.60,1492900,0
AAL.L,D,20030108,000000,1091.20,1109.76,1071.43,1072.03,2401200,0
AAL.L,D,20030109,000000,1081.02,1092.40,1070.84,1089.40,1794800,0
AAL.L,D,20030110,000000,1095.39,1095.39,1061.25,1084.01,2049800,0
AAL.L,D,20030113,000000,1078.02,1118.15,1078.02,1103.18,2206900,0
AAL.L,D,20030114,000000,1112.16,1116.35,1095.99,1109.16,2525400,0
AAL.L,D,20030115,000000,1109.56,1122.94,1104.37,1104.37,2424800,0
AAL.L,D,20030116,000000,1107.97,1112.16,1096.59,1100.18,2598900,0
AAL.L,D,20030117,000000,1104.37,1117.55,1092.40,1110.36,1905100,0
AAL.L,D,20030120,000000,1107.97,1118.15,1099.58,1101.98,1548600,0
AAL.L,D,20030121,000000,1101.98,1112.76,1100.78,1104.97,2147100,0
AAL.L,D,20030122,000000,1099.58,1108.57,1079.82,1082.21,2892200,0
AAL.L,D,20030123,000000,1092.99,1092.99,1060.06,1063.05,2979500,0
AAL.L,D,20030124,000000,1074.43,1074.43,1042.09,1048.08,2602300,0
AAL.L,D,20030127,000000,1047.48,1047.48,1019.33,1020.53,5152000,0
AAL.L,D,20030128,000000,1030.11,1049.27,1030.11,1036.70,3203500,0
AAL.L,D,20030129,000000,1027.71,1039.09,1007.95,1025.32,3528500,0
AAL.L,D,20030130,000000,1038.49,1042.09,1018.13,1027.71,3307000,0
AAL.L,D,20030131,000000,1019.93,1019.93,986.39,994.77,3218300,0
AAL.L,D,20030203,000000,1018.13,1054.07,1001.36,1052.27,2583500,0
AAL.L,D,20030204,000000,1042.09,1065.44,1042.09,1043.29,2855300,0
AAL.L,D,20030205,000000,1042.09,1069.64,1033.10,1069.64,2488600,0
AAL.L,D,20030206,000000,1060.06,1087.01,1048.68,1072.03,2265200,0
AAL.L,D,20030207,000000,1080.42,1098.38,1064.85,1078.02,2147800,0
AAL.L,D,20030210,000000,1094.79,1094.79,1075.03,1083.41,1441000,0
AAL.L,D,20030211,000000,1101.98,1101.98,1074.43,1098.98,1612100,0
AAL.L,D,20030212,000000,1090.00,1091.80,1077.42,1078.02,1746800,0
AAL.L,D,20030213,000000,1066.04,1072.03,1052.27,1061.25,2632600,0
AAL.L,D,20030214,000000,1056.46,1069.64,1049.87,1051.07,2059800,0
AAL.L,D,20030217,000000,1075.63,1078.62,1058.86,1076.82,1644900,0
AAL.L,D,20030218,000000,1071.43,1082.81,1067.24,1078.02,2232000,0
AAL.L,D,20030219,000000,1079.22,1082.81,1061.25,1061.25,1793100,0
AAL.L,D,20030220,000000,1055.86,1076.82,1036.70,1068.44,3048700,0
AAL.L,D,20030221,000000,1060.65,1078.62,1056.46,1078.02,1867200,0
AAL.L,D,20030224,000000,1081.02,1091.80,1076.82,1081.62,2067200,0
AAL.L,D,20030225,000000,1072.03,1072.03,1044.48,1045.68,2517000,0
AAL.L,D,20030226,000000,1057.06,1076.82,1050.47,1068.44,2597400,0
AAL.L,D,20030227,000000,1067.24,1083.41,1055.26,1072.03,2304500,0
AAL.L,D,20030228,000000,1084.01,1099.58,1069.64,1099.58,2550400,0
AAL.L,D,20030303,000000,1097.19,1121.74,1097.19,1113.96,1975000,0
AAL.L,D,20030304,000000,1107.97,1118.75,1105.57,1111.56,2552600,0
AAL.L,D,20030305,000000,1097.19,1110.36,1091.20,1102.58,3000200,0
AAL.L,D,20030306,000000,1103.18,1111.56,1086.41,1087.01,2525100,0
AAL.L,D,20030307,000000,1085.81,1086.41,1061.85,1072.63,2461500,0
AAL.L,D,20030310,000000,1072.63,1098.98,1072.63,1084.01,2555300,0
AAL.L,D,20030311,000000,1068.44,1081.62,1054.07,1072.03,2865900,0
AAL.L,D,20030312,000000,1054.07,1056.46,1006.75,1010.35,4720000,0
AAL.L,D,20030313,000000,1034.30,1103.18,1030.11,1095.99,4626400,0
AAL.L,D,20030314,000000,1107.97,1125.93,1103.77,1125.34,2466900,0
AAL.L,D,20030317,000000,1091.20,1184.63,1091.20,1162.47,2132000,0
AAL.L,D,20030318,000000,1161.27,1197.80,1161.27,1171.45,3817700,0
AAL.L,D,20030319,000000,1163.66,1173.85,1149.89,1167.86,3365100,0
AAL.L,D,20030320,000000,1157.08,1172.05,1123.54,1165.46,4019200,0
AAL.L,D,20030321,000000,1165.46,1204.99,1165.46,1204.99,2375000,0
AAL.L,D,20030324,000000,1176.24,1185.82,1129.53,1129.53,3801300,0
AAL.L,D,20030325,000000,1127.13,1149.89,1110.36,1145.70,2454000,0
AAL.L,D,20030326,000000,1142.70,1147.49,1122.94,1145.10,1625700,0
AAL.L,D,20030327,000000,1129.53,1140.91,1119.35,1131.92,1285800,0
AAL.L,D,20030328,000000,1125.93,1131.92,1098.38,1098.38,2365200,0
AAL.L,D,20030331,000000,1098.38,1098.38,1075.03,1076.82,2588000,0
AAL.L,D,20030401,000000,1091.20,1110.96,1079.82,1109.76,1886800,0
AAL.L,D,20030402,000000,1136.71,1154.68,1107.97,1151.09,2542100,0
AAL.L,D,20030403,000000,1143.90,1173.85,1143.90,1164.86,2040500,0
AAL.L,D,20030404,000000,1155.88,1169.65,1115.15,1125.93,3400300,0
AAL.L,D,20030407,000000,1134.32,1176.84,1134.32,1176.84,3541000,0
AAL.L,D,20030408,000000,1169.06,1169.06,1125.93,1125.93,2675500,0
AAL.L,D,20030409,000000,1125.34,1125.93,1101.98,1106.77,3641200,0
AAL.L,D,20030410,000000,1110.96,1110.96,1090.00,1090.00,1199300,0
AAL.L,D,20030411,000000,1097.19,1116.35,1092.99,1113.36,1898700,0
AAL.L,D,20030414,000000,1113.96,1124.14,1109.16,1116.35,1860300,0
AAL.L,D,20030415,000000,1124.74,1128.33,1108.57,1115.15,2308100,0
AAL.L,D,20030416,000000,1118.75,1123.54,1110.96,1114.56,2941500,0
AAL.L,D,20030417,000000,1116.35,1125.93,1109.76,1118.15,1362200,0
AAL.L,D,20030418,000000,1118.15,1118.15,1118.15,1118.15,000,0
AAL.L,D,20030421,000000,1118.15,1118.15,1118.15,1118.15,000,0
AAL.L,D,20030422,000000,1128.33,1128.33,1095.99,1100.78,1608000,0
AAL.L,D,20030423,000000,1107.97,1109.16,1092.40,1097.19,2439900,0
