<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BA.L,D,20030101,000000,124.00,124.00,124.00,124.00,000,0
BA.L,D,20030102,000000,121.25,124.75,121.25,124.00,15280900,0
BA.L,D,20030103,000000,126.75,127.00,123.00,126.25,9412800,0
BA.L,D,20030106,000000,126.75,129.75,123.75,128.00,6907700,0
BA.L,D,20030107,000000,128.50,128.50,124.00,125.50,6957500,0
BA.L,D,20030108,000000,125.25,125.25,122.00,124.25,10554500,0
BA.L,D,20030109,000000,123.50,125.00,117.50,124.00,11565500,0
BA.L,D,20030110,000000,124.00,126.50,120.50,125.00,6829000,0
BA.L,D,20030113,000000,125.00,132.25,125.00,130.75,10553800,0
BA.L,D,20030114,000000,132.25,132.50,126.00,128.00,7838900,0
BA.L,D,20030115,000000,127.50,130.00,124.75,127.00,9685900,0
BA.L,D,20030116,000000,127.25,127.50,124.50,127.00,6391400,0
BA.L,D,20030117,000000,126.25,127.00,123.25,125.25,9066000,0
BA.L,D,20030120,000000,124.75,125.00,117.25,117.50,18999300,0
BA.L,D,20030121,000000,118.50,119.25,113.00,113.25,14978400,0
BA.L,D,20030122,000000,114.00,115.25,109.25,114.00,17265500,0
BA.L,D,20030123,000000,115.00,115.25,109.25,113.75,13582800,0
BA.L,D,20030124,000000,112.50,112.75,108.00,110.75,20867500,0
BA.L,D,20030127,000000,110.00,110.00,103.25,105.50,15790500,0
BA.L,D,20030128,000000,107.00,118.00,105.00,118.00,30874100,0
BA.L,D,20030129,000000,116.00,120.00,114.00,118.25,18975900,0
BA.L,D,20030130,000000,119.50,121.50,111.00,112.25,14638100,0
BA.L,D,20030131,000000,110.25,115.75,107.50,113.75,24734700,0
BA.L,D,20030203,000000,117.00,118.50,114.50,117.75,8400100,0
BA.L,D,20030204,000000,116.75,118.00,113.25,114.00,9904800,0
BA.L,D,20030205,000000,114.00,114.50,112.00,113.50,9427300,0
BA.L,D,20030206,000000,110.50,114.50,110.50,113.50,9493200,0
BA.L,D,20030207,000000,113.00,114.50,109.00,110.00,7654700,0
BA.L,D,20030210,000000,111.50,113.50,110.50,112.75,10406300,0
BA.L,D,20030211,000000,113.75,116.75,113.00,116.00,9605700,0
BA.L,D,20030212,000000,116.00,116.00,110.00,110.50,9388600,0
BA.L,D,20030213,000000,111.00,112.75,107.00,110.25,7178000,0
BA.L,D,20030214,000000,113.00,118.75,110.50,115.00,13258900,0
BA.L,D,20030217,000000,118.50,121.00,118.00,119.75,10809900,0
BA.L,D,20030218,000000,119.25,120.00,114.25,116.25,13019100,0
BA.L,D,20030219,000000,114.50,133.50,109.50,128.00,56943000,0
BA.L,D,20030220,000000,133.00,138.00,124.25,126.25,22605300,0
BA.L,D,20030221,000000,126.00,126.25,119.50,121.50,13406800,0
BA.L,D,20030224,000000,122.00,122.00,111.00,116.50,12107500,0
BA.L,D,20030225,000000,115.00,118.75,110.75,112.00,11017100,0
BA.L,D,20030226,000000,112.75,115.00,102.75,107.75,18760700,0
BA.L,D,20030227,000000,108.75,110.00,102.00,104.00,12531100,0
BA.L,D,20030228,000000,104.00,111.75,101.75,110.00,9838600,0
BA.L,D,20030303,000000,110.50,116.50,108.00,111.50,10175100,0
BA.L,D,20030304,000000,113.75,113.75,109.75,112.00,7287500,0
BA.L,D,20030305,000000,113.75,117.75,108.25,116.00,19434900,0
BA.L,D,20030306,000000,116.00,118.50,111.50,113.50,12650900,0
BA.L,D,20030307,000000,112.00,119.75,111.25,116.00,11345800,0
BA.L,D,20030310,000000,116.00,119.50,112.25,113.25,7774000,0
BA.L,D,20030311,000000,115.00,115.75,112.25,114.50,5621300,0
BA.L,D,20030312,000000,111.50,114.50,105.00,106.50,12450200,0
BA.L,D,20030313,000000,107.00,119.75,106.50,116.00,7412400,0
BA.L,D,20030314,000000,118.75,122.00,117.00,121.00,7790400,0
BA.L,D,20030317,000000,119.75,131.00,115.50,130.00,9954800,0
BA.L,D,20030318,000000,130.00,139.75,126.50,129.75,15167200,0
BA.L,D,20030319,000000,129.75,134.75,127.00,132.00,9732000,0
BA.L,D,20030320,000000,126.00,132.25,126.00,129.75,4165000,0
BA.L,D,20030321,000000,129.75,135.00,128.50,129.75,7519100,0
BA.L,D,20030324,000000,129.00,131.50,122.00,124.75,11611900,0
BA.L,D,20030325,000000,119.50,124.50,118.75,122.00,13827800,0
BA.L,D,20030326,000000,123.75,123.75,117.00,117.50,10166700,0
BA.L,D,20030327,000000,117.00,118.00,110.75,112.25,13032800,0
BA.L,D,20030328,000000,113.50,116.75,113.00,113.00,5771400,0
BA.L,D,20030331,000000,112.75,114.75,110.00,112.00,9318800,0
BA.L,D,20030401,000000,112.50,117.00,112.50,115.50,11925200,0
BA.L,D,20030402,000000,118.50,120.75,117.50,120.50,9293200,0
BA.L,D,20030403,000000,119.75,125.00,119.00,124.00,8004500,0
BA.L,D,20030404,000000,123.50,128.50,120.00,127.00,8267100,0
BA.L,D,20030407,000000,130.00,133.00,126.75,130.75,11693900,0
BA.L,D,20030408,000000,131.25,131.25,121.50,121.75,11354200,0
BA.L,D,20030409,000000,121.75,124.00,120.50,122.25,5617000,0
BA.L,D,20030410,000000,122.00,123.50,119.00,119.50,3224200,0
BA.L,D,20030411,000000,123.50,125.00,120.25,122.00,8290300,0
BA.L,D,20030414,000000,124.00,126.00,121.50,123.50,5780900,0
BA.L,D,20030415,000000,124.25,126.50,123.25,126.50,6546800,0
BA.L,D,20030416,000000,125.00,128.00,119.50,121.00,8205500,0
BA.L,D,20030417,000000,120.75,121.00,115.50,119.25,7782800,0
BA.L,D,20030418,000000,119.25,119.25,119.25,119.25,000,0
BA.L,D,20030421,000000,119.25,119.25,119.25,119.25,000,0
BA.L,D,20030422,000000,118.25,120.75,117.50,120.00,7159900,0
BA.L,D,20030423,000000,121.50,125.00,120.00,124.00,10072000,0
BA.L,D,20030424,000000,123.00,125.25,120.75,122.25,8969000,0
BA.L,D,20030425,000000,123.50,123.75,120.75,121.25,4694800,0
BA.L,D,20030428,000000,121.25,124.50,119.00,124.50,5592600,0
BA.L,D,20030429,000000,125.00,135.00,123.00,133.50,16684100,0
BA.L,D,20030430,000000,133.75,133.75,125.00,127.00,13168100,0
BA.L,D,20030501,000000,128.75,128.75,123.00,124.50,4898300,0
BA.L,D,20030502,000000,124.00,125.50,118.00,124.00,20058200,0
BA.L,D,20030505,000000,124.00,124.00,124.00,124.00,000,0
BA.L,D,20030506,000000,125.00,128.75,121.75,127.75,10616100,0
BA.L,D,20030507,000000,127.75,134.75,125.50,131.25,11141600,0
BA.L,D,20030508,000000,131.25,131.25,127.50,128.50,18260400,0
BA.L,D,20030509,000000,129.75,137.25,127.75,134.75,11981800,0
BA.L,D,20030512,000000,136.75,136.75,130.25,132.25,9537300,0
BA.L,D,20030513,000000,130.50,132.25,127.00,132.25,13485000,0
BA.L,D,20030514,000000,128.85,133.00,127.00,131.00,11753500,0
BA.L,D,20030515,000000,130.25,134.75,129.00,133.50,9303300,0
BA.L,D,20030516,000000,132.75,136.00,130.75,135.50,8663600,0
BA.L,D,20030519,000000,133.50,134.25,130.00,130.50,15521200,0
BA.L,D,20030520,000000,130.00,130.50,125.75,126.50,12936700,0
BA.L,D,20030521,000000,127.25,127.25,123.00,124.00,6379600,0
BA.L,D,20030522,000000,122.75,128.00,122.75,127.25,11697600,0
BA.L,D,20030523,000000,128.75,128.75,125.75,128.50,4087800,0
BA.L,D,20030526,000000,128.50,128.50,128.50,128.50,000,0
BA.L,D,20030527,000000,130.00,130.00,124.00,126.75,5714200,0
BA.L,D,20030528,000000,127.50,128.75,126.75,128.00,9160700,0
BA.L,D,20030529,000000,127.75,128.00,126.00,126.75,10435800,0
BA.L,D,20030530,000000,125.50,131.00,125.50,129.50,19205200,0
BA.L,D,20030602,000000,132.25,135.00,131.50,135.00,15634400,0
BA.L,D,20030603,000000,134.00,134.00,131.00,132.75,6004500,0
BA.L,D,20030604,000000,132.75,134.75,131.25,133.00,5540400,0
BA.L,D,20030605,000000,135.00,147.50,135.00,145.00,24329800,0
BA.L,D,20030606,000000,148.00,152.25,145.00,148.00,13332500,0
BA.L,D,20030609,000000,148.25,161.00,148.25,154.00,23748200,0
BA.L,D,20030610,000000,155.50,155.50,146.00,147.00,13968100,0
BA.L,D,20030611,000000,147.75,147.75,141.75,143.75,15717700,0
BA.L,D,20030612,000000,144.00,145.50,141.00,142.00,8317900,0
BA.L,D,20030613,000000,143.00,144.00,140.25,141.25,6086500,0
BA.L,D,20030616,000000,144.00,144.00,136.75,139.50,8791900,0
BA.L,D,20030617,000000,140.50,144.50,140.25,143.75,10494600,0
BA.L,D,20030618,000000,144.50,144.50,139.75,143.00,9097200,0
BA.L,D,20030619,000000,142.75,143.00,135.75,137.75,7562200,0
BA.L,D,20030620,000000,135.50,139.50,135.00,138.50,9685100,0
BA.L,D,20030623,000000,138.50,138.75,135.00,135.00,7439600,0
BA.L,D,20030624,000000,136.75,136.75,132.00,135.00,7346900,0
BA.L,D,20030625,000000,135.75,141.25,134.75,140.00,12686000,0
BA.L,D,20030626,000000,138.00,141.50,136.50,138.00,8375000,0
BA.L,D,20030627,000000,140.00,145.00,140.00,143.00,7874600,0
BA.L,D,20030630,000000,147.00,147.00,141.00,142.50,7782200,0
BA.L,D,20030701,000000,143.00,143.50,136.00,137.25,13267200,0
BA.L,D,20030702,000000,139.00,142.75,139.00,142.50,11436200,0
BA.L,D,20030703,000000,143.00,144.50,141.50,144.50,8316600,0
BA.L,D,20030704,000000,144.00,146.75,142.50,145.75,8269500,0
BA.L,D,20030707,000000,144.75,146.50,143.25,145.00,11008200,0
BA.L,D,20030708,000000,145.00,148.00,144.00,146.75,14214100,0
