<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BARC.L,D,20030101,000000,385.00,385.00,385.00,385.00,000,0
BARC.L,D,20030102,000000,385.75,398.25,382.00,394.00,10448000,0
BARC.L,D,20030103,000000,394.00,402.25,393.75,397.25,12854400,0
BARC.L,D,20030106,000000,401.00,403.25,376.50,388.00,17020900,0
BARC.L,D,20030107,000000,375.75,391.00,368.25,377.00,16555200,0
BARC.L,D,20030108,000000,375.50,381.50,370.50,381.00,16868100,0
BARC.L,D,20030109,000000,379.00,392.50,376.25,386.75,20635000,0
BARC.L,D,20030110,000000,390.75,401.50,387.50,397.50,22308000,0
BARC.L,D,20030113,000000,401.00,410.00,385.00,394.25,22257100,0
BARC.L,D,20030114,000000,392.25,397.50,383.00,385.00,16022300,0
BARC.L,D,20030115,000000,385.75,390.00,373.50,377.50,15967700,0
BARC.L,D,20030116,000000,375.50,378.25,364.50,368.25,21439400,0
BARC.L,D,20030117,000000,364.00,367.00,355.00,359.75,21077200,0
BARC.L,D,20030120,000000,347.00,364.00,345.25,348.50,23032900,0
BARC.L,D,20030121,000000,347.25,356.00,342.25,347.00,20470600,0
BARC.L,D,20030122,000000,352.25,355.50,343.00,349.50,35476600,0
BARC.L,D,20030123,000000,356.50,361.50,339.25,348.75,30787000,0
BARC.L,D,20030124,000000,352.50,364.75,344.50,352.00,25310300,0
BARC.L,D,20030127,000000,348.00,351.50,329.75,339.25,28078000,0
BARC.L,D,20030128,000000,341.00,350.00,331.00,334.25,25302000,0
BARC.L,D,20030129,000000,333.50,338.00,319.00,328.75,28017000,0
BARC.L,D,20030130,000000,334.00,352.50,332.75,350.00,33813300,0
BARC.L,D,20030131,000000,343.75,352.00,338.25,350.25,17412100,0
BARC.L,D,20030203,000000,366.75,374.00,362.00,367.50,22677100,0
BARC.L,D,20030204,000000,358.25,369.75,357.25,362.25,22134000,0
BARC.L,D,20030205,000000,362.00,373.25,355.00,369.25,18478800,0
BARC.L,D,20030206,000000,363.25,376.00,348.00,356.00,23888200,0
BARC.L,D,20030207,000000,359.75,365.00,347.50,354.00,15590300,0
BARC.L,D,20030210,000000,354.25,359.00,341.50,343.00,15139000,0
BARC.L,D,20030211,000000,343.00,354.75,343.00,353.25,15341200,0
