<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BAY.L,D,20030101,000000,135.00,135.00,135.00,135.00,000,0
BAY.L,D,20030102,000000,136.00,143.00,136.00,143.00,4645800,0
BAY.L,D,20030103,000000,146.25,148.75,142.00,145.00,4085200,0
BAY.L,D,20030106,000000,140.25,144.50,135.75,144.25,8031400,0
BAY.L,D,20030107,000000,143.25,144.00,135.00,138.00,6085100,0
BAY.L,D,20030108,000000,139.00,140.00,131.00,136.25,4450900,0
BAY.L,D,20030109,000000,133.00,139.50,132.25,138.50,5170800,0
BAY.L,D,20030110,000000,132.25,141.00,131.50,140.00,9729600,0
BAY.L,D,20030113,000000,138.05,138.50,133.25,134.00,5362000,0
BAY.L,D,20030114,000000,134.25,138.00,133.00,138.00,7499200,0
BAY.L,D,20030115,000000,135.30,140.75,134.00,136.00,7704700,0
BAY.L,D,20030116,000000,134.00,139.00,131.00,137.25,5190600,0
BAY.L,D,20030117,000000,135.00,136.50,130.25,130.50,8252800,0
BAY.L,D,20030120,000000,132.50,132.50,125.00,128.00,3512100,0
BAY.L,D,20030121,000000,128.00,130.50,123.00,127.25,6016800,0
BAY.L,D,20030122,000000,125.00,125.00,118.00,121.25,10142900,0
BAY.L,D,20030123,000000,122.50,122.50,114.25,117.75,5032300,0
BAY.L,D,20030124,000000,118.00,121.50,114.00,115.25,6800500,0
BAY.L,D,20030127,000000,115.25,115.50,107.50,112.00,12334600,0
BAY.L,D,20030128,000000,112.75,115.25,108.50,110.00,7535300,0
BAY.L,D,20030129,000000,107.25,109.50,100.00,105.25,11652200,0
BAY.L,D,20030130,000000,106.00,118.25,106.00,116.00,15177100,0
BAY.L,D,20030131,000000,111.25,114.75,111.00,114.25,6466800,0
BAY.L,D,20030203,000000,114.25,121.25,114.25,119.75,7345400,0
BAY.L,D,20030204,000000,116.00,119.00,112.25,114.00,7717300,0
BAY.L,D,20030205,000000,112.00,117.50,110.25,117.50,7936300,0
BAY.L,D,20030206,000000,114.25,119.00,113.75,114.50,6533600,0
BAY.L,D,20030207,000000,113.50,117.00,112.00,116.25,8317800,0
BAY.L,D,20030210,000000,116.50,118.00,110.00,112.00,8169200,0
BAY.L,D,20030211,000000,111.00,118.75,111.00,118.00,5767000,0
BAY.L,D,20030212,000000,117.00,117.00,111.25,112.75,6838900,0
