<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BLND.L,D,20030101,000000,375.57,375.57,375.57,375.57,000,0
BLND.L,D,20030102,000000,370.17,375.99,362.70,373.50,1068100,0
BLND.L,D,20030103,000000,372.04,377.44,369.76,374.74,1519400,0
BLND.L,D,20030106,000000,375.57,375.57,362.90,369.76,1539100,0
BLND.L,D,20030107,000000,369.76,378.07,357.29,363.53,1184500,0
BLND.L,D,20030108,000000,362.49,363.73,356.05,357.29,1282600,0
BLND.L,D,20030109,000000,363.73,368.10,359.99,365.60,1154300,0
BLND.L,D,20030110,000000,368.93,368.93,362.28,363.32,1429400,0
BLND.L,D,20030113,000000,366.72,367.68,355.63,359.99,2467600,0
BLND.L,D,20030114,000000,359.99,365.60,359.99,361.86,1056700,0
BLND.L,D,20030115,000000,363.34,365.60,360.20,361.45,1121600,0
BLND.L,D,20030116,000000,360.62,367.06,360.62,363.32,854000,0
BLND.L,D,20030117,000000,363.53,363.53,355.42,356.88,638200,0
BLND.L,D,20030120,000000,355.22,359.99,355.22,358.13,1346500,0
BLND.L,D,20030121,000000,358.13,363.94,355.22,357.29,2408700,0
BLND.L,D,20030122,000000,353.14,355.22,347.12,349.82,1510700,0
BLND.L,D,20030123,000000,349.82,351.89,344.83,347.32,3076600,0
BLND.L,D,20030124,000000,346.49,361.03,346.49,358.13,4300600,0
BLND.L,D,20030127,000000,353.14,353.35,337.14,343.58,3676400,0
BLND.L,D,20030128,000000,346.08,347.74,335.48,338.18,2529000,0
BLND.L,D,20030129,000000,338.60,341.71,332.37,335.69,2055200,0
BLND.L,D,20030130,000000,336.52,346.49,334.03,344.83,2003300,0
BLND.L,D,20030131,000000,344.83,344.83,336.73,337.98,1645400,0
BLND.L,D,20030203,000000,339.43,348.15,339.43,348.15,2169300,0
BLND.L,D,20030204,000000,350.65,352.10,341.51,341.51,1752500,0
BLND.L,D,20030205,000000,343.17,349.82,343.17,348.78,1577300,0
BLND.L,D,20030206,000000,346.49,350.65,346.08,348.99,1418600,0
BLND.L,D,20030207,000000,345.45,350.02,344.83,347.74,1349100,0
BLND.L,D,20030210,000000,350.65,357.09,350.65,351.06,2093000,0
BLND.L,D,20030211,000000,354.39,356.46,345.87,351.48,1285500,0
BLND.L,D,20030212,000000,351.69,353.76,343.58,344.42,1360600,0
BLND.L,D,20030213,000000,342.34,346.08,334.86,341.30,2717900,0
BLND.L,D,20030214,000000,342.13,346.91,340.68,340.68,1588400,0
BLND.L,D,20030217,000000,347.32,348.57,341.92,347.12,1105300,0
BLND.L,D,20030218,000000,345.66,351.48,342.75,351.27,967000,0
BLND.L,D,20030219,000000,352.31,353.76,347.95,349.61,1528700,0
BLND.L,D,20030220,000000,351.48,351.69,336.31,348.15,1441500,0
BLND.L,D,20030221,000000,350.23,352.10,347.12,351.69,2173700,0
BLND.L,D,20030224,000000,352.31,352.31,341.92,347.95,751200,0
BLND.L,D,20030225,000000,348.15,348.15,338.18,340.26,1143100,0
BLND.L,D,20030226,000000,342.75,342.75,336.52,336.52,1833700,0
BLND.L,D,20030227,000000,338.18,357.09,338.18,344.83,3721100,0
BLND.L,D,20030228,000000,344.62,356.88,344.62,356.46,3780400,0
BLND.L,D,20030303,000000,356.88,370.80,356.46,366.64,2851500,0
BLND.L,D,20030304,000000,373.29,373.29,358.54,361.45,2290700,0
BLND.L,D,20030305,000000,356.67,367.47,356.67,360.83,2306300,0
BLND.L,D,20030306,000000,361.45,364.15,355.22,359.58,1663600,0
BLND.L,D,20030307,000000,362.28,363.94,345.04,349.19,2328500,0
BLND.L,D,20030310,000000,349.19,358.33,348.15,352.31,1051600,0
BLND.L,D,20030311,000000,356.88,356.88,345.87,350.65,2229400,0
BLND.L,D,20030312,000000,349.61,350.02,332.37,334.86,4715300,0
BLND.L,D,20030313,000000,335.90,348.15,331.54,346.70,3906900,0
BLND.L,D,20030314,000000,343.38,357.29,332.37,335.69,3745800,0
BLND.L,D,20030317,000000,332.99,342.55,330.71,339.43,2653100,0
