<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
COB.L,D,20030101,000000,101.00,101.00,101.00,101.00,000,0
COB.L,D,20030102,000000,102.50,102.80,101.54,102.25,1300300,0
COB.L,D,20030103,000000,102.97,106.00,102.97,106.00,953900,0
COB.L,D,20030106,000000,104.80,105.75,104.12,104.50,6922700,0
COB.L,D,20030107,000000,104.30,107.88,104.30,107.21,2559700,0
COB.L,D,20030108,000000,107.40,110.50,107.35,109.75,5635800,0
COB.L,D,20030109,000000,110.10,112.50,110.05,110.95,3881000,0
COB.L,D,20030110,000000,111.50,112.50,111.00,111.78,3424400,0
COB.L,D,20030113,000000,111.20,112.00,110.75,111.30,5610000,0
COB.L,D,20030114,000000,110.60,111.00,110.50,110.50,2710700,0
COB.L,D,20030115,000000,110.75,110.90,108.50,109.50,6033900,0
COB.L,D,20030116,000000,108.00,108.40,107.00,107.66,11393200,0
COB.L,D,20030117,000000,107.65,108.20,107.00,108.00,2701700,0
COB.L,D,20030120,000000,107.08,109.00,107.08,108.30,4059800,0
COB.L,D,20030121,000000,108.80,108.80,107.19,107.50,3392500,0
COB.L,D,20030122,000000,107.00,107.50,106.20,106.85,6248900,0
COB.L,D,20030123,000000,106.85,106.85,104.50,105.00,3805500,0
COB.L,D,20030124,000000,104.50,105.20,103.00,105.10,2059500,0
COB.L,D,20030127,000000,103.00,103.00,101.50,101.50,2073900,0
COB.L,D,20030128,000000,102.11,102.30,100.45,100.80,4718400,0
COB.L,D,20030129,000000,101.70,101.70,99.00,99.52,4843800,0
COB.L,D,20030130,000000,99.41,100.50,99.06,99.57,3541300,0
COB.L,D,20030131,000000,99.63,99.91,98.50,99.00,3041500,0
COB.L,D,20030203,000000,98.50,98.74,97.20,98.01,4751300,0
COB.L,D,20030204,000000,97.40,98.50,97.36,97.50,13940600,0
COB.L,D,20030205,000000,96.88,100.30,96.88,100.00,4860600,0
COB.L,D,20030206,000000,99.34,100.30,99.20,99.90,1226200,0
COB.L,D,20030207,000000,99.99,100.30,99.16,99.73,632800,0
COB.L,D,20030210,000000,100.00,100.00,99.00,99.00,957500,0
COB.L,D,20030211,000000,98.16,98.50,95.30,96.79,3218000,0
COB.L,D,20030212,000000,96.79,96.79,94.50,95.02,2834000,0
COB.L,D,20030213,000000,95.00,95.00,92.00,92.67,3839700,0
COB.L,D,20030214,000000,92.19,94.79,92.19,93.60,6610800,0
COB.L,D,20030217,000000,95.00,96.00,94.80,95.21,4211200,0
COB.L,D,20030218,000000,95.50,97.00,95.00,95.82,2360300,0
COB.L,D,20030219,000000,95.70,97.00,95.70,97.00,5229900,0
COB.L,D,20030220,000000,96.65,97.50,95.50,97.08,8776500,0
COB.L,D,20030221,000000,97.04,97.04,95.00,95.83,4053000,0
COB.L,D,20030224,000000,95.40,96.30,95.19,95.40,394000,0
COB.L,D,20030225,000000,95.30,96.50,95.30,95.50,5271600,0
COB.L,D,20030226,000000,95.81,96.50,95.45,96.00,1528500,0
COB.L,D,20030227,000000,96.00,96.50,95.30,95.85,1433800,0
COB.L,D,20030228,000000,95.46,96.50,95.00,95.00,1538100,0
