<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DGE.L,D,20030101,000000,675.00,675.00,675.00,675.00,000,0
DGE.L,D,20030102,000000,681.00,704.00,676.50,698.00,4627500,0
DGE.L,D,20030103,000000,698.00,698.00,685.00,689.00,4602400,0
DGE.L,D,20030106,000000,684.50,694.00,678.50,693.00,3337100,0
DGE.L,D,20030107,000000,682.00,691.50,678.00,685.00,5353900,0
DGE.L,D,20030108,000000,683.00,694.50,678.00,683.00,5509800,0
DGE.L,D,20030109,000000,682.00,694.50,665.50,680.50,6263100,0
DGE.L,D,20030110,000000,684.50,693.00,674.50,681.00,5910200,0
DGE.L,D,20030113,000000,680.50,693.50,659.00,665.00,5903900,0
DGE.L,D,20030114,000000,672.50,677.50,665.00,669.00,4713600,0
DGE.L,D,20030115,000000,653.00,669.00,649.00,649.00,8106400,0
DGE.L,D,20030116,000000,650.00,654.00,636.00,646.50,7580900,0
DGE.L,D,20030117,000000,644.50,665.00,640.00,652.50,7393700,0
DGE.L,D,20030120,000000,656.50,660.50,645.00,645.50,4543300,0
DGE.L,D,20030121,000000,653.00,655.00,629.50,633.00,5412700,0
DGE.L,D,20030122,000000,633.00,643.00,623.00,636.50,9107000,0
DGE.L,D,20030123,000000,640.00,649.00,617.50,626.50,9370700,0
DGE.L,D,20030124,000000,631.50,637.50,617.50,631.50,8247500,0
DGE.L,D,20030127,000000,626.50,631.00,604.00,607.00,12986900,0
DGE.L,D,20030128,000000,615.50,616.00,601.50,606.00,10297700,0
DGE.L,D,20030129,000000,605.50,609.50,581.50,606.00,12197000,0
DGE.L,D,20030130,000000,606.00,622.00,602.50,617.00,10493700,0
DGE.L,D,20030131,000000,604.50,625.00,598.50,621.00,6480300,0
DGE.L,D,20030203,000000,631.00,644.50,628.00,644.50,8696700,0
DGE.L,D,20030204,000000,628.50,644.00,615.50,616.00,10172300,0
DGE.L,D,20030205,000000,619.00,624.50,604.50,623.00,5777300,0
DGE.L,D,20030206,000000,618.00,624.50,600.00,607.00,10196800,0
DGE.L,D,20030207,000000,606.00,609.00,591.50,595.00,6578500,0
DGE.L,D,20030210,000000,595.00,608.00,590.00,595.50,5949900,0
DGE.L,D,20030211,000000,607.00,610.00,597.00,610.00,4784100,0
DGE.L,D,20030212,000000,606.00,608.00,579.00,584.00,9243900,0
DGE.L,D,20030213,000000,586.50,588.00,570.00,582.00,8159100,0
DGE.L,D,20030214,000000,585.00,607.00,584.50,600.00,8414400,0
DGE.L,D,20030217,000000,608.00,610.00,597.50,600.00,5771900,0
DGE.L,D,20030218,000000,603.50,612.00,596.50,602.00,6432100,0
DGE.L,D,20030219,000000,601.50,609.00,596.50,599.00,8056900,0
DGE.L,D,20030220,000000,593.00,628.50,590.00,623.50,12535000,0
DGE.L,D,20030221,000000,621.00,632.00,615.00,630.00,9643100,0
DGE.L,D,20030224,000000,635.00,635.00,625.00,631.00,6371000,0
DGE.L,D,20030225,000000,623.00,627.50,611.50,623.00,7111000,0
DGE.L,D,20030226,000000,623.00,631.00,623.00,628.00,5810900,0
DGE.L,D,20030227,000000,622.00,640.00,622.00,632.00,7635300,0
DGE.L,D,20030228,000000,632.00,637.50,624.00,630.00,6099100,0
DGE.L,D,20030303,000000,636.00,642.50,623.00,634.00,5601300,0
DGE.L,D,20030304,000000,629.00,638.50,626.50,632.00,5600200,0
DGE.L,D,20030305,000000,624.00,624.00,617.00,617.00,8293700,0
DGE.L,D,20030306,000000,618.00,628.00,614.50,616.00,7497100,0
DGE.L,D,20030307,000000,618.50,621.00,609.00,615.50,8035400,0
DGE.L,D,20030310,000000,615.00,619.00,612.00,614.00,7898900,0
DGE.L,D,20030311,000000,613.00,623.50,605.00,622.00,7449600,0
DGE.L,D,20030312,000000,622.50,629.00,602.00,603.50,12904000,0
DGE.L,D,20030313,000000,612.50,646.00,605.50,641.50,8800700,0
DGE.L,D,20030314,000000,650.50,663.00,635.50,640.00,10189000,0
DGE.L,D,20030317,000000,630.00,677.00,629.00,673.00,6649800,0
DGE.L,D,20030318,000000,670.00,687.50,666.00,671.00,9226900,0
DGE.L,D,20030319,000000,672.00,684.50,659.00,659.00,9298500,0
DGE.L,D,20030320,000000,659.00,673.50,657.00,670.00,7803000,0
DGE.L,D,20030321,000000,672.00,690.00,660.00,674.00,11081100,0
DGE.L,D,20030324,000000,674.00,674.50,656.00,659.00,6203800,0
DGE.L,D,20030325,000000,652.50,670.00,642.50,661.50,6151600,0
DGE.L,D,20030326,000000,663.00,678.50,652.50,677.00,6396800,0
DGE.L,D,20030327,000000,675.00,680.00,665.50,677.50,4160600,0
DGE.L,D,20030328,000000,677.00,679.50,659.00,664.50,4997900,0
DGE.L,D,20030331,000000,666.00,666.00,643.00,649.00,6378600,0
DGE.L,D,20030401,000000,644.00,658.00,641.00,655.50,6876500,0
DGE.L,D,20030402,000000,650.00,672.50,648.50,667.00,7138400,0
DGE.L,D,20030403,000000,669.00,679.00,663.00,666.00,4610400,0
DGE.L,D,20030404,000000,666.00,687.50,657.00,680.00,6885100,0
DGE.L,D,20030407,000000,670.00,709.50,670.00,707.00,8609600,0
DGE.L,D,20030408,000000,703.50,708.00,695.00,699.00,7706100,0
DGE.L,D,20030409,000000,700.00,700.00,686.00,691.50,5404500,0
DGE.L,D,20030410,000000,690.00,705.00,682.00,682.00,5422400,0
DGE.L,D,20030411,000000,685.50,690.00,675.50,676.00,3558200,0
DGE.L,D,20030414,000000,675.00,692.00,672.00,688.50,4397700,0
DGE.L,D,20030415,000000,695.00,701.00,688.00,693.00,6012400,0
DGE.L,D,20030416,000000,698.00,699.50,676.00,683.50,5976700,0
DGE.L,D,20030417,000000,678.50,689.00,674.00,679.00,4631600,0
DGE.L,D,20030418,000000,679.00,679.00,679.00,679.00,000,0
DGE.L,D,20030421,000000,679.00,679.00,679.00,679.00,000,0
DGE.L,D,20030422,000000,687.00,688.00,674.00,685.50,4203600,0
DGE.L,D,20030423,000000,691.00,702.50,687.50,692.00,4869900,0
DGE.L,D,20030424,000000,687.00,697.00,677.00,677.00,4871300,0
DGE.L,D,20030425,000000,674.50,684.50,672.50,680.00,4870100,0
DGE.L,D,20030428,000000,675.00,697.50,675.00,693.50,3515800,0
DGE.L,D,20030429,000000,698.00,705.00,691.50,693.00,5284500,0
DGE.L,D,20030430,000000,695.00,700.50,687.00,694.00,4469900,0
DGE.L,D,20030501,000000,694.00,695.50,681.00,683.00,2617900,0
DGE.L,D,20030502,000000,687.50,690.00,669.00,685.00,6908300,0
DGE.L,D,20030505,000000,685.00,685.00,685.00,685.00,000,0
DGE.L,D,20030506,000000,689.00,689.00,670.00,674.00,7900900,0
DGE.L,D,20030507,000000,675.00,676.50,664.50,666.00,8009700,0
DGE.L,D,20030508,000000,666.00,666.50,646.00,653.00,9196200,0
DGE.L,D,20030509,000000,651.00,659.50,643.00,653.50,8273300,0
DGE.L,D,20030512,000000,659.00,664.00,652.00,662.00,5082700,0
DGE.L,D,20030513,000000,661.00,668.00,653.00,668.00,6525700,0
DGE.L,D,20030514,000000,668.50,679.00,661.50,672.50,7432700,0
DGE.L,D,20030515,000000,671.50,675.00,653.00,654.00,5629300,0
DGE.L,D,20030516,000000,661.00,664.50,650.50,663.00,8331400,0
DGE.L,D,20030519,000000,658.50,662.50,642.50,648.00,6579000,0
DGE.L,D,20030520,000000,646.00,669.00,646.00,663.50,6362800,0
DGE.L,D,20030521,000000,665.50,665.50,649.50,654.00,6045000,0
DGE.L,D,20030522,000000,652.50,665.00,651.50,653.50,5222400,0
DGE.L,D,20030523,000000,658.00,658.00,636.00,646.00,8781700,0
DGE.L,D,20030526,000000,646.00,646.00,646.00,646.00,000,0
DGE.L,D,20030527,000000,650.00,655.00,640.00,647.00,7356000,0
DGE.L,D,20030528,000000,650.00,663.00,650.00,662.00,6048600,0
DGE.L,D,20030529,000000,658.50,665.50,647.00,660.50,6351200,0
DGE.L,D,20030530,000000,653.00,669.00,653.00,655.00,9144700,0
DGE.L,D,20030602,000000,660.50,664.50,654.00,658.00,8362300,0
DGE.L,D,20030603,000000,653.00,672.00,653.00,672.00,7689600,0
DGE.L,D,20030604,000000,669.00,679.00,666.50,677.00,5591600,0
DGE.L,D,20030605,000000,679.00,680.00,668.00,675.00,4380000,0
DGE.L,D,20030606,000000,675.00,687.50,674.50,680.50,5388500,0
DGE.L,D,20030609,000000,678.50,681.00,670.50,676.50,2731700,0
DGE.L,D,20030610,000000,676.00,681.50,673.00,675.00,3970000,0
DGE.L,D,20030611,000000,679.00,687.00,672.00,684.00,4809200,0
DGE.L,D,20030612,000000,683.00,686.00,672.50,673.00,6951300,0
DGE.L,D,20030613,000000,675.00,683.00,669.50,676.00,3044600,0
DGE.L,D,20030616,000000,679.00,682.00,671.00,678.50,5772600,0
DGE.L,D,20030617,000000,683.50,683.50,671.00,676.50,6067500,0
DGE.L,D,20030618,000000,672.50,681.00,672.50,679.50,7879900,0
DGE.L,D,20030619,000000,679.00,710.00,678.00,687.00,10944900,0
DGE.L,D,20030620,000000,688.00,704.00,684.00,699.50,8395200,0
DGE.L,D,20030623,000000,679.00,698.00,657.50,665.50,10952900,0
DGE.L,D,20030624,000000,671.50,675.00,662.50,662.50,11383400,0
DGE.L,D,20030625,000000,669.03,678.00,667.00,676.50,7241600,0
DGE.L,D,20030626,000000,671.00,683.00,658.50,663.50,10202900,0
DGE.L,D,20030627,000000,669.00,669.00,655.00,658.00,6496800,0
DGE.L,D,20030630,000000,655.00,666.50,644.00,647.00,8850600,0
DGE.L,D,20030701,000000,644.00,654.00,638.50,644.00,7843900,0
DGE.L,D,20030702,000000,652.00,654.50,646.00,650.00,7909000,0
DGE.L,D,20030703,000000,655.00,663.00,652.50,663.00,5225900,0
DGE.L,D,20030704,000000,662.00,662.50,654.50,659.50,3298800,0
DGE.L,D,20030707,000000,653.00,665.00,646.50,650.00,8313100,0
DGE.L,D,20030708,000000,650.00,656.50,634.00,637.00,13635000,0
DGE.L,D,20030709,000000,636.00,655.00,635.00,647.50,12302100,0
DGE.L,D,20030710,000000,647.00,647.00,629.00,636.00,10726300,0
DGE.L,D,20030711,000000,635.00,644.00,635.00,638.00,5758700,0
DGE.L,D,20030714,000000,643.00,643.50,625.50,632.00,11546000,0
DGE.L,D,20030715,000000,634.00,638.00,612.00,628.00,15284300,0
DGE.L,D,20030716,000000,634.00,634.00,620.00,625.00,10757500,0
DGE.L,D,20030717,000000,624.00,634.50,623.00,633.00,8307000,0
DGE.L,D,20030718,000000,634.00,643.00,634.00,637.00,7278500,0
DGE.L,D,20030721,000000,640.50,644.50,634.00,637.00,3861100,0
DGE.L,D,20030722,000000,637.50,646.50,636.50,645.50,4881900,0
DGE.L,D,20030723,000000,647.00,650.00,642.00,646.50,4889700,0
DGE.L,D,20030724,000000,644.00,646.00,639.00,643.00,4400600,0
DGE.L,D,20030725,000000,640.00,642.00,626.00,630.00,10435200,0
DGE.L,D,20030728,000000,632.50,638.00,627.50,632.50,5337500,0
DGE.L,D,20030729,000000,630.50,636.00,629.50,632.00,4880500,0
DGE.L,D,20030730,000000,636.50,638.00,630.00,635.50,4711400,0
DGE.L,D,20030731,000000,638.50,638.50,629.00,635.50,5010300,0
DGE.L,D,20030801,000000,631.50,640.00,631.00,633.50,8484600,0
DGE.L,D,20030804,000000,633.50,637.50,627.50,634.00,4716200,0
DGE.L,D,20030805,000000,638.00,640.00,632.00,636.50,4590500,0
DGE.L,D,20030806,000000,633.50,641.00,628.00,637.50,6778200,0
DGE.L,D,20030807,000000,641.00,646.50,639.00,643.00,6338300,0
DGE.L,D,20030808,000000,655.00,657.50,645.00,656.00,7735100,0
DGE.L,D,20030811,000000,658.50,669.50,655.00,665.50,6755400,0
DGE.L,D,20030812,000000,664.00,665.00,657.50,660.00,4968900,0
DGE.L,D,20030813,000000,658.00,667.00,652.50,657.00,3439900,0
DGE.L,D,20030814,000000,660.50,665.00,655.00,661.00,6155600,0
DGE.L,D,20030815,000000,661.00,667.00,651.00,657.00,4713000,0
DGE.L,D,20030818,000000,655.00,664.00,655.00,661.00,3335900,0
DGE.L,D,20030819,000000,668.00,670.00,661.00,668.00,7122300,0
DGE.L,D,20030820,000000,670.00,675.00,663.50,674.00,4779600,0
DGE.L,D,20030821,000000,672.00,685.00,672.00,682.00,6600200,0
DGE.L,D,20030822,000000,682.00,696.50,677.00,685.00,5780900,0
DGE.L,D,20030825,000000,685.00,685.00,685.00,685.00,000,0
DGE.L,D,20030826,000000,686.00,687.00,667.50,673.50,8559000,0
DGE.L,D,20030827,000000,674.00,682.00,672.00,679.00,6615800,0
DGE.L,D,20030828,000000,682.00,685.00,673.50,682.00,6605900,0
DGE.L,D,20030829,000000,682.00,686.00,677.50,678.00,5936000,0
DGE.L,D,20030901,000000,679.50,686.50,674.50,676.00,6747000,0
DGE.L,D,20030902,000000,677.50,678.00,668.50,670.00,8168200,0
DGE.L,D,20030903,000000,675.50,684.00,674.50,679.50,10042000,0
DGE.L,D,20030904,000000,679.00,685.00,656.00,669.00,13300200,0
DGE.L,D,20030905,000000,669.00,670.50,650.50,655.00,11018300,0
DGE.L,D,20030908,000000,657.00,669.00,653.85,668.00,9737400,0
DGE.L,D,20030909,000000,663.50,669.00,656.00,657.50,6699100,0
DGE.L,D,20030910,000000,658.00,659.00,650.50,656.00,10395800,0
DGE.L,D,20030911,000000,657.00,662.50,653.00,660.50,8381200,0
DGE.L,D,20030912,000000,665.00,667.00,660.00,663.50,5960000,0
DGE.L,D,20030915,000000,664.00,673.00,664.00,671.00,6643400,0
DGE.L,D,20030916,000000,671.50,676.00,670.50,674.00,5838400,0
DGE.L,D,20030917,000000,662.00,665.50,655.50,665.50,8471700,0
DGE.L,D,20030918,000000,664.50,677.00,660.00,677.00,7139500,0
DGE.L,D,20030919,000000,678.50,679.00,658.50,662.50,11313500,0
DGE.L,D,20030922,000000,657.00,658.50,649.50,654.00,7424200,0
DGE.L,D,20030923,000000,653.50,657.50,652.50,655.00,7169100,0
DGE.L,D,20030924,000000,660.50,661.00,654.00,655.00,7839400,0
DGE.L,D,20030925,000000,651.00,662.50,645.50,656.00,7751600,0
DGE.L,D,20030926,000000,657.00,661.00,651.00,658.00,6638200,0
DGE.L,D,20030929,000000,655.00,665.50,652.00,656.00,6724300,0
DGE.L,D,20030930,000000,662.50,662.50,647.00,649.50,8367900,0
DGE.L,D,20031001,000000,651.50,656.50,646.00,654.00,8380200,0
DGE.L,D,20031002,000000,659.00,662.00,654.00,662.00,7734700,0
DGE.L,D,20031003,000000,661.50,666.00,657.00,658.00,9758100,0
DGE.L,D,20031006,000000,658.00,658.50,647.50,648.50,10838800,0
DGE.L,D,20031007,000000,651.00,653.00,645.00,652.00,10282800,0
DGE.L,D,20031008,000000,649.50,651.50,642.50,646.00,9634000,0
DGE.L,D,20031009,000000,648.50,651.00,644.00,650.00,6866200,0
DGE.L,D,20031010,000000,648.00,651.00,642.50,647.50,7362500,0
DGE.L,D,20031013,000000,652.00,662.50,651.50,661.00,5018500,0
DGE.L,D,20031014,000000,665.00,671.00,659.50,662.50,7428400,0
DGE.L,D,20031015,000000,665.00,681.50,665.00,673.50,9288400,0
DGE.L,D,20031016,000000,668.00,675.50,663.00,675.00,8557800,0
DGE.L,D,20031017,000000,674.00,685.50,672.00,685.50,7754800,0
DGE.L,D,20031020,000000,682.00,690.50,680.00,690.00,12420100,0
DGE.L,D,20031021,000000,690.00,690.00,678.00,683.00,11459700,0
DGE.L,D,20031022,000000,682.50,686.00,676.00,684.00,6627500,0
DGE.L,D,20031023,000000,679.50,687.00,676.50,681.00,9355500,0
DGE.L,D,20031024,000000,691.50,691.50,672.00,681.00,8173300,0
DGE.L,D,20031027,000000,684.00,700.00,682.50,697.00,8448400,0
DGE.L,D,20031028,000000,700.00,700.00,691.00,694.00,11539300,0
DGE.L,D,20031029,000000,699.00,699.00,684.00,688.00,11067800,0
DGE.L,D,20031030,000000,686.50,707.00,686.50,703.50,7241200,0
DGE.L,D,20031031,000000,699.00,701.00,690.50,693.00,7700400,0
DGE.L,D,20031103,000000,699.00,701.00,693.50,697.50,7428200,0
DGE.L,D,20031104,000000,696.00,711.00,694.50,702.50,7667000,0
DGE.L,D,20031105,000000,702.00,709.50,697.50,705.00,7524300,0
DGE.L,D,20031106,000000,706.50,709.50,700.50,706.50,8203800,0
DGE.L,D,20031107,000000,705.00,721.00,705.00,721.00,7984900,0
DGE.L,D,20031110,000000,717.00,724.00,710.00,710.00,6053900,0
DGE.L,D,20031111,000000,710.50,715.50,706.50,712.50,5292800,0
DGE.L,D,20031112,000000,715.00,724.50,713.00,720.00,5269000,0
DGE.L,D,20031113,000000,721.00,733.00,721.00,726.50,7816400,0
DGE.L,D,20031114,000000,726.50,727.50,721.50,727.00,7108200,0
DGE.L,D,20031117,000000,715.00,732.00,715.00,726.00,6649700,0
DGE.L,D,20031118,000000,728.00,729.00,720.50,723.50,8953500,0
DGE.L,D,20031119,000000,717.72,725.50,713.50,716.50,8833900,0
DGE.L,D,20031120,000000,720.50,720.50,708.50,713.00,5001100,0
DGE.L,D,20031121,000000,717.50,717.50,708.00,714.00,4816300,0
DGE.L,D,20031124,000000,712.50,720.00,708.00,714.00,5673000,0
DGE.L,D,20031125,000000,716.50,720.50,709.00,716.50,6437900,0
DGE.L,D,20031126,000000,720.00,732.00,718.00,724.50,7728500,0
DGE.L,D,20031127,000000,730.77,729.00,718.50,723.50,3829100,0
DGE.L,D,20031128,000000,723.50,727.50,720.00,725.00,5991900,0
DGE.L,D,20031201,000000,728.00,739.00,723.50,736.50,7211800,0
DGE.L,D,20031202,000000,732.00,741.50,732.00,738.00,7291600,0
DGE.L,D,20031203,000000,735.00,745.00,734.00,742.50,6589800,0
DGE.L,D,20031204,000000,743.00,743.00,734.50,735.50,7889600,0
DGE.L,D,20031205,000000,731.76,736.00,728.00,734.00,4018200,0
DGE.L,D,20031208,000000,733.00,733.00,726.50,730.50,4795000,0
DGE.L,D,20031209,000000,735.00,736.50,730.00,732.00,5547400,0
DGE.L,D,20031210,000000,732.00,732.50,716.00,718.00,7225500,0
DGE.L,D,20031211,000000,726.11,729.00,716.00,729.00,5732300,0
