<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HMSO.L,D,20030101,000000,473.00,473.00,473.00,473.00,000,0
HMSO.L,D,20030102,000000,471.00,475.00,467.40,474.00,1109600,0
HMSO.L,D,20030103,000000,474.00,477.00,473.00,477.00,956900,0
HMSO.L,D,20030106,000000,477.00,477.00,462.00,466.00,756200,0
HMSO.L,D,20030107,000000,469.00,473.50,465.53,468.50,1143600,0
HMSO.L,D,20030108,000000,470.00,470.00,463.75,468.50,748300,0
HMSO.L,D,20030109,000000,468.00,468.00,463.50,465.00,1138700,0
HMSO.L,D,20030110,000000,467.00,470.00,465.05,467.50,1148100,0
HMSO.L,D,20030113,000000,467.40,470.00,462.00,470.00,967700,0
HMSO.L,D,20030114,000000,469.00,478.00,465.00,471.82,1850800,0
HMSO.L,D,20030115,000000,480.00,480.00,475.00,477.74,1441200,0
HMSO.L,D,20030116,000000,479.00,482.00,474.40,474.76,763300,0
HMSO.L,D,20030117,000000,478.00,482.00,475.00,478.00,1044300,0
HMSO.L,D,20030120,000000,477.50,480.00,476.00,480.00,535600,0
HMSO.L,D,20030121,000000,479.00,481.00,477.00,478.00,649400,0
HMSO.L,D,20030122,000000,478.23,482.00,477.25,480.00,677800,0
HMSO.L,D,20030123,000000,480.00,482.00,478.26,479.00,818100,0
HMSO.L,D,20030124,000000,481.00,482.00,477.00,482.00,1183200,0
HMSO.L,D,20030127,000000,475.00,479.00,470.20,475.88,1293700,0
HMSO.L,D,20030128,000000,468.50,471.00,455.00,461.21,2017400,0
HMSO.L,D,20030129,000000,455.25,457.00,445.18,452.09,348600,0
HMSO.L,D,20030130,000000,449.94,455.00,444.11,452.00,1084700,0
HMSO.L,D,20030131,000000,454.25,457.00,447.35,454.50,1627600,0
HMSO.L,D,20030203,000000,458.00,458.00,453.00,454.94,537800,0
HMSO.L,D,20030204,000000,455.00,460.23,455.00,460.00,1456700,0
HMSO.L,D,20030205,000000,457.00,460.00,455.00,457.00,1016200,0
HMSO.L,D,20030206,000000,454.24,457.00,450.00,455.00,541900,0
HMSO.L,D,20030207,000000,454.67,455.00,450.00,453.25,1035600,0
HMSO.L,D,20030210,000000,452.00,458.00,452.00,456.18,839600,0
HMSO.L,D,20030211,000000,453.00,459.00,452.30,454.34,570800,0
HMSO.L,D,20030212,000000,453.77,460.00,452.00,457.00,489100,0
HMSO.L,D,20030213,000000,458.00,462.00,455.35,457.31,295800,0
HMSO.L,D,20030214,000000,462.00,462.00,455.00,460.00,224700,0
HMSO.L,D,20030217,000000,461.40,467.00,459.00,461.92,306200,0
HMSO.L,D,20030218,000000,462.27,474.00,462.27,471.92,554700,0
HMSO.L,D,20030219,000000,472.01,492.00,472.01,482.00,438300,0
HMSO.L,D,20030220,000000,483.00,483.00,477.00,480.00,1852500,0
HMSO.L,D,20030221,000000,477.81,478.00,470.00,472.00,2338300,0
HMSO.L,D,20030224,000000,474.75,475.00,465.00,470.00,847400,0
HMSO.L,D,20030225,000000,474.00,475.00,468.00,473.00,253800,0
HMSO.L,D,20030226,000000,472.69,475.00,465.50,469.61,1159600,0
HMSO.L,D,20030227,000000,468.79,477.00,465.00,476.00,823400,0
HMSO.L,D,20030228,000000,470.78,491.00,470.78,490.00,695200,0
HMSO.L,D,20030303,000000,488.28,500.00,488.28,495.67,443900,0
HMSO.L,D,20030304,000000,496.53,496.53,484.76,492.37,759300,0
HMSO.L,D,20030305,000000,484.78,484.78,470.00,472.19,348000,0
HMSO.L,D,20030306,000000,472.13,480.00,472.13,478.50,182300,0
HMSO.L,D,20030307,000000,479.18,482.00,474.76,475.76,762000,0
HMSO.L,D,20030310,000000,478.00,478.00,473.76,475.50,268000,0
HMSO.L,D,20030311,000000,469.00,469.00,461.00,467.00,1002100,0
HMSO.L,D,20030312,000000,462.50,465.00,455.00,460.02,759500,0
HMSO.L,D,20030313,000000,460.13,461.65,435.00,436.50,2386300,0
HMSO.L,D,20030314,000000,448.16,448.16,437.00,439.50,1058900,0
HMSO.L,D,20030317,000000,435.00,440.70,414.00,432.00,3505200,0
HMSO.L,D,20030318,000000,430.00,434.00,423.00,425.50,2444000,0
HMSO.L,D,20030319,000000,426.59,428.50,415.00,428.50,2461900,0
HMSO.L,D,20030320,000000,426.22,436.50,426.22,430.00,1120400,0
HMSO.L,D,20030321,000000,431.22,450.00,430.00,448.50,1470000,0
HMSO.L,D,20030324,000000,442.00,446.00,426.00,428.25,274300,0
HMSO.L,D,20030325,000000,434.00,435.00,418.50,418.50,356300,0
HMSO.L,D,20030326,000000,415.50,428.00,415.50,422.00,454700,0
HMSO.L,D,20030327,000000,422.00,430.25,422.00,424.50,312100,0
HMSO.L,D,20030328,000000,426.00,437.25,426.00,434.00,74400,0
HMSO.L,D,20030331,000000,432.00,433.00,427.00,430.00,136100,0
HMSO.L,D,20030401,000000,419.75,433.50,419.75,425.00,175900,0
HMSO.L,D,20030402,000000,426.00,430.00,418.00,419.00,262200,0
HMSO.L,D,20030403,000000,412.75,423.00,412.75,416.50,507200,0
HMSO.L,D,20030404,000000,415.00,420.00,414.50,419.25,275000,0
HMSO.L,D,20030407,000000,420.00,430.00,420.00,425.00,200300,0
HMSO.L,D,20030408,000000,428.00,436.00,428.00,433.00,335000,0
HMSO.L,D,20030409,000000,433.00,433.00,420.00,420.00,192800,0
HMSO.L,D,20030410,000000,418.00,429.00,418.00,429.00,248300,0
HMSO.L,D,20030411,000000,426.00,439.75,425.25,436.00,223600,0
HMSO.L,D,20030414,000000,434.00,450.00,432.25,450.00,322000,0
HMSO.L,D,20030415,000000,449.75,454.00,445.00,449.00,453700,0
HMSO.L,D,20030416,000000,448.00,455.00,440.00,446.50,330000,0
HMSO.L,D,20030417,000000,449.50,449.50,435.00,438.00,311800,0
HMSO.L,D,20030418,000000,438.00,438.00,438.00,438.00,000,0
HMSO.L,D,20030421,000000,438.00,438.00,438.00,438.00,000,0
HMSO.L,D,20030422,000000,438.00,450.00,428.00,445.00,158300,0
HMSO.L,D,20030423,000000,444.75,463.00,444.75,460.25,228500,0
HMSO.L,D,20030424,000000,464.75,465.25,452.00,457.00,400400,0
HMSO.L,D,20030425,000000,451.00,459.00,421.00,441.00,197100,0
HMSO.L,D,20030428,000000,441.00,455.00,441.00,451.00,113600,0
HMSO.L,D,20030429,000000,455.00,456.00,445.00,455.00,76300,0
HMSO.L,D,20030430,000000,445.25,455.00,445.25,455.00,138500,0
HMSO.L,D,20030501,000000,455.25,455.25,450.00,450.00,8100,0
HMSO.L,D,20030502,000000,450.25,457.50,440.00,443.00,131200,0
HMSO.L,D,20030505,000000,443.00,443.00,443.00,443.00,000,0
HMSO.L,D,20030506,000000,447.25,448.50,440.00,443.00,385400,0
HMSO.L,D,20030507,000000,443.00,455.00,442.75,445.00,491800,0
HMSO.L,D,20030508,000000,443.50,448.00,442.75,442.75,697900,0
HMSO.L,D,20030509,000000,442.75,478.25,442.25,469.50,272500,0
HMSO.L,D,20030512,000000,478.25,485.75,470.00,472.50,357200,0
HMSO.L,D,20030513,000000,472.50,512.00,472.50,512.00,219000,0
HMSO.L,D,20030514,000000,505.00,505.25,488.00,490.00,418100,0
HMSO.L,D,20030515,000000,495.00,497.00,485.00,485.00,432000,0
HMSO.L,D,20030516,000000,485.00,528.00,485.00,516.25,466600,0
HMSO.L,D,20030519,000000,515.00,523.50,510.00,515.00,281000,0
HMSO.L,D,20030520,000000,507.00,520.00,502.00,515.25,511500,0
HMSO.L,D,20030521,000000,516.75,517.00,511.00,516.50,171200,0
HMSO.L,D,20030522,000000,520.00,522.50,516.00,522.50,441400,0
HMSO.L,D,20030523,000000,522.50,530.00,515.00,515.00,109700,0
HMSO.L,D,20030526,000000,515.00,515.00,515.00,515.00,000,0
HMSO.L,D,20030527,000000,518.00,520.00,512.00,512.00,218900,0
HMSO.L,D,20030528,000000,515.00,537.00,515.00,535.00,435000,0
HMSO.L,D,20030529,000000,532.00,535.00,527.00,531.00,233700,0
HMSO.L,D,20030530,000000,531.00,539.00,507.25,507.25,525600,0
HMSO.L,D,20030602,000000,518.50,544.00,518.50,533.00,273700,0
HMSO.L,D,20030603,000000,531.25,531.25,520.00,520.00,212900,0
HMSO.L,D,20030604,000000,520.00,539.00,515.25,537.50,146400,0
HMSO.L,D,20030605,000000,525.00,543.50,525.00,543.00,141500,0
HMSO.L,D,20030606,000000,543.00,558.00,540.00,546.00,405900,0
HMSO.L,D,20030609,000000,546.00,552.00,535.00,540.00,316900,0
HMSO.L,D,20030610,000000,535.25,539.00,526.00,528.75,197500,0
HMSO.L,D,20030611,000000,536.00,540.25,529.00,540.00,260600,0
HMSO.L,D,20030612,000000,539.00,550.00,525.00,544.00,196500,0
HMSO.L,D,20030613,000000,538.00,540.00,532.75,540.00,163500,0
HMSO.L,D,20030616,000000,534.00,537.00,530.00,534.50,333700,0
HMSO.L,D,20030617,000000,535.75,540.25,535.75,539.00,389000,0
HMSO.L,D,20030618,000000,540.00,552.00,534.50,535.00,556600,0
HMSO.L,D,20030619,000000,534.75,546.25,530.00,534.25,166300,0
HMSO.L,D,20030620,000000,540.00,549.50,535.50,546.25,323300,0
HMSO.L,D,20030623,000000,545.00,546.00,520.00,530.00,260400,0
HMSO.L,D,20030624,000000,529.75,537.50,521.50,528.50,120600,0
