<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IPR.L,D,20030101,000000,95.75,95.75,95.75,95.75,000,0
IPR.L,D,20030102,000000,98.00,100.25,95.25,99.50,1664300,0
IPR.L,D,20030103,000000,101.25,101.25,99.75,101.00,1765400,0
IPR.L,D,20030106,000000,101.00,102.25,99.25,100.00,2173200,0
IPR.L,D,20030107,000000,102.50,104.75,100.25,104.50,2664000,0
IPR.L,D,20030108,000000,103.25,105.25,98.75,100.50,3116300,0
IPR.L,D,20030109,000000,99.75,103.75,99.75,100.50,2965500,0
IPR.L,D,20030110,000000,100.00,103.75,100.00,103.00,1179400,0
IPR.L,D,20030113,000000,100.75,105.00,102.00,103.50,1585600,0
IPR.L,D,20030114,000000,104.00,104.50,102.00,103.25,1305300,0
IPR.L,D,20030115,000000,104.00,104.00,100.00,101.75,2996900,0
IPR.L,D,20030116,000000,101.75,102.00,100.25,100.75,3443400,0
IPR.L,D,20030117,000000,100.75,101.00,99.25,99.50,1753600,0
IPR.L,D,20030120,000000,100.50,100.50,96.75,97.50,2200400,0
IPR.L,D,20030121,000000,98.00,98.00,95.00,96.00,2107200,0
IPR.L,D,20030122,000000,96.00,97.50,93.00,94.75,3634700,0
IPR.L,D,20030123,000000,95.25,99.00,95.00,96.00,1826600,0
IPR.L,D,20030124,000000,98.00,98.25,90.25,94.00,2359800,0
IPR.L,D,20030127,000000,94.25,94.25,87.00,90.00,5152700,0
IPR.L,D,20030128,000000,90.00,91.75,87.00,87.50,3786400,0
IPR.L,D,20030129,000000,87.00,89.00,84.50,88.00,2624800,0
IPR.L,D,20030130,000000,88.25,91.00,87.50,89.25,1912000,0
IPR.L,D,20030131,000000,89.25,89.75,84.50,87.75,5532800,0
IPR.L,D,20030203,000000,94.00,94.00,89.00,91.25,2199800,0
IPR.L,D,20030204,000000,91.00,93.25,89.75,89.75,2233300,0
IPR.L,D,20030205,000000,89.00,91.00,85.00,87.50,3038700,0
IPR.L,D,20030206,000000,88.25,88.75,84.25,86.25,1857500,0
IPR.L,D,20030207,000000,85.25,89.00,85.25,87.00,2415100,0
IPR.L,D,20030210,000000,87.50,91.00,86.25,90.25,2490100,0
IPR.L,D,20030211,000000,90.00,94.75,90.00,92.25,3205600,0
IPR.L,D,20030212,000000,94.75,96.50,91.00,93.00,2911400,0
IPR.L,D,20030213,000000,91.25,95.75,90.00,94.00,2635700,0
IPR.L,D,20030214,000000,93.25,95.00,91.25,92.75,2924300,0
IPR.L,D,20030217,000000,94.75,95.00,89.00,92.75,1656300,0
IPR.L,D,20030218,000000,90.00,96.25,89.75,93.75,1341500,0
IPR.L,D,20030219,000000,94.50,94.75,89.50,94.50,1693500,0
IPR.L,D,20030220,000000,92.75,95.00,89.25,91.25,1774800,0
IPR.L,D,20030221,000000,92.50,92.50,88.25,90.50,2207800,0
IPR.L,D,20030224,000000,90.50,93.50,89.00,91.50,1355700,0
IPR.L,D,20030225,000000,91.00,91.00,85.25,87.75,3176100,0
IPR.L,D,20030226,000000,87.50,88.00,86.75,87.00,2403900,0
IPR.L,D,20030227,000000,87.00,89.75,87.00,88.00,2753200,0
IPR.L,D,20030228,000000,90.00,91.25,87.50,90.75,1740200,0
IPR.L,D,20030303,000000,93.25,93.25,87.00,89.25,2688200,0
IPR.L,D,20030304,000000,91.50,94.25,85.75,89.50,1163100,0
IPR.L,D,20030305,000000,88.25,92.50,88.25,91.00,1526600,0
IPR.L,D,20030306,000000,87.00,90.75,83.25,83.25,6517800,0
IPR.L,D,20030307,000000,80.00,80.25,70.00,70.00,21089800,0
IPR.L,D,20030310,000000,72.50,74.00,68.00,71.00,6259700,0
IPR.L,D,20030311,000000,71.50,71.50,68.00,70.50,5583300,0
IPR.L,D,20030312,000000,69.00,72.50,68.75,70.00,5647300,0
IPR.L,D,20030313,000000,70.25,75.00,70.25,74.00,3525500,0
IPR.L,D,20030314,000000,73.50,78.00,72.00,74.25,7364300,0
IPR.L,D,20030317,000000,73.00,76.00,72.50,75.00,3597000,0
IPR.L,D,20030318,000000,78.00,79.75,76.00,76.75,3183000,0
IPR.L,D,20030319,000000,78.50,78.50,74.00,76.50,3885000,0
IPR.L,D,20030320,000000,77.25,79.75,75.00,77.00,2816300,0
IPR.L,D,20030321,000000,78.50,82.50,78.00,82.00,4248900,0
IPR.L,D,20030324,000000,82.00,82.00,80.00,80.00,1073100,0
IPR.L,D,20030325,000000,80.00,82.00,80.00,81.75,2300500,0
IPR.L,D,20030326,000000,82.25,83.25,82.00,83.00,2291100,0
IPR.L,D,20030327,000000,83.00,85.75,83.00,84.00,2569900,0
IPR.L,D,20030328,000000,85.50,88.75,83.75,87.25,3669600,0
IPR.L,D,20030331,000000,86.00,86.50,83.00,84.25,2547500,0
IPR.L,D,20030401,000000,85.50,86.00,83.00,84.75,1587500,0
IPR.L,D,20030402,000000,85.75,88.00,85.00,86.25,1992900,0
IPR.L,D,20030403,000000,86.50,91.00,84.75,90.75,2811400,0
IPR.L,D,20030404,000000,90.00,90.00,87.00,89.50,2067000,0
IPR.L,D,20030407,000000,91.50,93.00,90.50,93.00,1541600,0
IPR.L,D,20030408,000000,92.00,94.00,90.25,92.25,1791800,0
IPR.L,D,20030409,000000,91.75,94.00,91.75,93.75,2408700,0
IPR.L,D,20030410,000000,89.25,93.00,89.25,92.75,1507600,0
IPR.L,D,20030411,000000,92.00,93.75,92.00,93.00,2607900,0
IPR.L,D,20030414,000000,92.50,95.00,92.50,94.50,4349700,0
IPR.L,D,20030415,000000,94.00,94.75,92.50,93.25,3988300,0
IPR.L,D,20030416,000000,93.00,94.25,89.25,92.00,5077700,0
IPR.L,D,20030417,000000,91.00,97.00,90.00,95.00,2688300,0
IPR.L,D,20030418,000000,95.00,95.00,95.00,95.00,000,0
IPR.L,D,20030421,000000,95.00,95.00,95.00,95.00,000,0
IPR.L,D,20030422,000000,95.00,97.50,95.00,97.25,2557900,0
IPR.L,D,20030423,000000,97.00,108.75,97.00,107.75,4566500,0
IPR.L,D,20030424,000000,107.75,108.00,102.00,104.50,5959100,0
IPR.L,D,20030425,000000,103.00,107.75,102.00,107.25,1814800,0
IPR.L,D,20030428,000000,109.00,110.25,106.50,109.00,1363900,0
IPR.L,D,20030429,000000,110.00,114.00,109.25,110.25,2127700,0
IPR.L,D,20030430,000000,106.25,113.00,106.25,112.00,3398500,0
IPR.L,D,20030501,000000,107.00,112.75,107.00,111.50,1604300,0
