<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ISYS.L,D,20030101,000000,527.50,527.50,527.50,527.50,000,0
ISYS.L,D,20030102,000000,520.00,555.00,507.50,555.00,812600,0
ISYS.L,D,20030103,000000,560.00,562.50,545.00,557.50,700100,0
ISYS.L,D,20030106,000000,562.50,567.50,550.00,565.00,678200,0
ISYS.L,D,20030107,000000,570.00,570.00,540.00,562.50,634200,0
ISYS.L,D,20030108,000000,560.00,560.00,520.00,527.50,881600,0
ISYS.L,D,20030109,000000,510.00,547.50,510.00,542.50,1253900,0
ISYS.L,D,20030110,000000,545.00,595.00,545.00,585.00,1906500,0
ISYS.L,D,20030113,000000,590.00,600.00,580.00,590.00,1092900,0
ISYS.L,D,20030114,000000,585.00,605.00,582.50,595.00,969500,0
ISYS.L,D,20030115,000000,605.00,617.50,582.50,585.00,1828200,0
ISYS.L,D,20030116,000000,587.50,602.50,580.00,592.50,768000,0
ISYS.L,D,20030117,000000,592.50,592.50,550.00,560.00,1920100,0
ISYS.L,D,20030120,000000,560.00,560.00,535.00,555.00,559400,0
ISYS.L,D,20030121,000000,562.50,565.00,527.50,530.00,699400,0
ISYS.L,D,20030122,000000,527.50,535.00,500.00,510.00,2184800,0
ISYS.L,D,20030123,000000,517.50,537.50,460.00,487.50,2965300,0
ISYS.L,D,20030124,000000,487.50,505.00,462.50,465.00,3603300,0
ISYS.L,D,20030127,000000,470.00,472.50,430.00,465.00,3174400,0
ISYS.L,D,20030128,000000,460.00,480.00,460.00,470.00,1310000,0
ISYS.L,D,20030129,000000,462.50,467.50,435.00,457.50,1432600,0
ISYS.L,D,20030130,000000,457.50,492.50,457.50,480.00,1429300,0
ISYS.L,D,20030131,000000,470.00,490.00,452.50,480.00,1304700,0
ISYS.L,D,20030203,000000,482.50,530.00,480.00,525.00,1666500,0
ISYS.L,D,20030204,000000,527.50,527.50,470.00,470.00,2269800,0
ISYS.L,D,20030205,000000,472.50,472.50,440.00,457.50,2723900,0
ISYS.L,D,20030206,000000,457.50,465.00,445.00,455.00,1117000,0
ISYS.L,D,20030207,000000,460.00,460.00,420.00,427.50,1254100,0
ISYS.L,D,20030210,000000,437.50,437.50,402.50,405.00,1637600,0
ISYS.L,D,20030211,000000,415.00,427.50,382.50,390.00,2816100,0
ISYS.L,D,20030212,000000,392.50,397.50,375.00,375.00,2485900,0
ISYS.L,D,20030213,000000,375.00,385.00,365.00,370.00,1977600,0
ISYS.L,D,20030214,000000,240.00,260.00,170.00,200.00,18323200,0
ISYS.L,D,20030217,000000,212.50,217.50,200.00,210.00,3139400,0
ISYS.L,D,20030218,000000,210.00,212.50,195.00,202.50,1424700,0
ISYS.L,D,20030219,000000,202.50,205.00,177.50,177.50,2353500,0
ISYS.L,D,20030220,000000,177.50,182.50,157.50,175.00,1486900,0
ISYS.L,D,20030221,000000,177.50,177.50,155.00,162.50,1347000,0
ISYS.L,D,20030224,000000,167.50,170.00,137.50,145.00,2676700,0
ISYS.L,D,20030225,000000,145.00,145.00,122.50,125.00,4080200,0
ISYS.L,D,20030226,000000,132.50,140.00,115.00,130.00,3799600,0
ISYS.L,D,20030227,000000,130.00,150.00,127.50,137.50,3575900,0
ISYS.L,D,20030228,000000,145.00,162.50,100.00,160.00,2756400,0
ISYS.L,D,20030303,000000,160.00,167.50,150.00,152.50,1155300,0
ISYS.L,D,20030304,000000,155.00,162.50,145.00,145.00,2416700,0
ISYS.L,D,20030305,000000,147.50,150.00,130.00,132.50,3083700,0
ISYS.L,D,20030306,000000,135.00,135.00,127.50,130.00,1199600,0
ISYS.L,D,20030307,000000,132.50,140.00,125.00,127.50,1905000,0
ISYS.L,D,20030310,000000,130.00,130.00,120.00,120.00,991300,0
ISYS.L,D,20030311,000000,120.00,120.00,102.50,107.50,2686100,0
ISYS.L,D,20030312,000000,107.50,112.50,92.50,97.50,1833100,0
ISYS.L,D,20030313,000000,100.00,105.00,87.50,100.00,1726500,0
ISYS.L,D,20030314,000000,100.00,110.00,97.50,102.50,2539900,0
ISYS.L,D,20030317,000000,100.00,112.50,97.50,110.00,1083400,0
ISYS.L,D,20030318,000000,110.00,132.50,110.00,127.50,2266600,0
ISYS.L,D,20030319,000000,127.50,137.50,122.50,125.00,1668000,0
ISYS.L,D,20030320,000000,125.00,140.00,125.00,132.50,1277300,0
ISYS.L,D,20030321,000000,137.50,147.50,135.00,145.00,5581600,0
ISYS.L,D,20030324,000000,142.50,142.50,132.50,140.00,2036100,0
ISYS.L,D,20030325,000000,137.50,137.50,107.50,125.00,3804700,0
ISYS.L,D,20030326,000000,127.50,130.00,115.00,117.50,1186400,0
ISYS.L,D,20030327,000000,120.00,122.50,110.00,117.50,665200,0
ISYS.L,D,20030328,000000,92.50,120.00,92.50,112.50,533700,0
ISYS.L,D,20030331,000000,115.00,115.00,97.50,105.00,1829400,0
ISYS.L,D,20030401,000000,105.00,107.50,92.50,100.00,2058700,0
ISYS.L,D,20030402,000000,109.40,110.00,100.00,107.50,1156900,0
