<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AMEC.L,D,20030101,000000,143.25,143.25,143.25,143.25,000,0
AMEC.L,D,20030102,000000,147.00,150.75,144.75,148.50,373600,0
AMEC.L,D,20030103,000000,152.25,156.25,150.50,152.00,681300,0
AMEC.L,D,20030106,000000,154.25,155.50,153.50,155.50,328100,0
AMEC.L,D,20030107,000000,154.75,160.50,154.25,155.00,917400,0
AMEC.L,D,20030108,000000,157.00,157.00,145.50,148.00,1267100,0
AMEC.L,D,20030109,000000,145.75,152.25,145.00,152.25,302800,0
AMEC.L,D,20030110,000000,151.75,160.00,151.00,156.25,1341400,0
AMEC.L,D,20030113,000000,156.00,162.00,156.00,156.00,684600,0
AMEC.L,D,20030114,000000,156.00,157.00,151.75,154.00,220100,0
AMEC.L,D,20030115,000000,155.05,157.25,153.25,154.50,908100,0
AMEC.L,D,20030116,000000,154.00,160.00,154.00,159.00,261400,0
AMEC.L,D,20030117,000000,162.75,170.50,160.25,168.50,1382100,0
AMEC.L,D,20030120,000000,165.50,169.75,165.25,169.75,544200,0
AMEC.L,D,20030121,000000,169.25,171.75,169.25,171.00,248500,0
AMEC.L,D,20030122,000000,171.00,175.00,171.00,172.75,575300,0
AMEC.L,D,20030123,000000,170.75,177.75,170.50,175.00,621600,0
AMEC.L,D,20030124,000000,172.25,176.00,170.50,175.25,759400,0
AMEC.L,D,20030127,000000,172.00,175.50,170.00,174.75,1652900,0
AMEC.L,D,20030128,000000,173.50,175.00,157.25,164.25,820100,0
AMEC.L,D,20030129,000000,169.00,169.00,158.50,162.00,605700,0
AMEC.L,D,20030130,000000,161.00,170.00,159.75,167.75,1504700,0
AMEC.L,D,20030131,000000,162.00,171.50,160.25,170.00,774700,0
AMEC.L,D,20030203,000000,179.25,179.50,162.50,177.00,664100,0
AMEC.L,D,20030204,000000,177.75,183.00,176.25,180.00,699900,0
AMEC.L,D,20030205,000000,177.50,195.00,177.50,193.25,1050800,0
AMEC.L,D,20030206,000000,192.25,202.25,186.25,195.00,2270500,0
AMEC.L,D,20030207,000000,193.75,193.75,186.50,186.75,973100,0
