<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AV.L,D,20030101,000000,443.00,443.00,443.00,443.00,000,0
AV.L,D,20030102,000000,439.50,480.00,434.50,476.00,3525000,0
AV.L,D,20030103,000000,478.50,487.50,472.00,479.50,3952700,0
AV.L,D,20030106,000000,454.75,474.00,447.00,463.00,6007800,0
AV.L,D,20030107,000000,464.00,464.00,441.75,450.50,5077000,0
AV.L,D,20030108,000000,433.50,450.00,427.50,435.50,5591200,0
AV.L,D,20030109,000000,430.50,446.50,422.75,440.00,4211000,0
AV.L,D,20030110,000000,443.50,469.50,440.00,453.00,6999500,0
AV.L,D,20030113,000000,454.50,467.25,443.75,453.50,5135400,0
AV.L,D,20030114,000000,454.00,457.50,436.00,447.50,6445800,0
AV.L,D,20030115,000000,450.00,455.00,438.00,441.00,4382200,0
AV.L,D,20030116,000000,442.00,444.00,430.75,433.00,3681500,0
AV.L,D,20030117,000000,433.00,433.00,414.00,420.00,5072100,0
AV.L,D,20030120,000000,423.00,431.00,415.00,415.00,5087800,0
AV.L,D,20030121,000000,424.25,434.00,396.50,397.50,8498400,0
AV.L,D,20030122,000000,398.00,405.50,376.50,384.50,7990100,0
AV.L,D,20030123,000000,391.25,401.00,374.25,382.25,9645000,0
AV.L,D,20030124,000000,401.50,411.75,382.25,398.00,10409400,0
AV.L,D,20030127,000000,398.50,398.50,364.00,366.50,12034200,0
AV.L,D,20030128,000000,367.00,383.00,357.50,367.00,8883500,0
AV.L,D,20030129,000000,370.00,380.00,345.50,373.00,11235400,0
AV.L,D,20030130,000000,374.00,399.00,374.00,389.00,8555000,0
AV.L,D,20030131,000000,384.00,400.00,373.50,392.75,9046300,0
AV.L,D,20030203,000000,440.00,442.00,412.00,430.25,16793600,0
AV.L,D,20030204,000000,429.75,433.00,409.00,413.00,10577000,0
AV.L,D,20030205,000000,415.00,434.50,403.25,431.25,7484400,0
AV.L,D,20030206,000000,429.75,446.00,413.00,417.00,12086600,0
AV.L,D,20030207,000000,425.50,435.75,406.50,424.25,6882000,0
AV.L,D,20030210,000000,425.00,425.00,414.00,415.00,6548000,0
AV.L,D,20030211,000000,420.50,433.25,413.00,422.50,7165100,0
AV.L,D,20030212,000000,422.50,428.50,415.25,418.00,7793800,0
AV.L,D,20030213,000000,415.00,428.00,408.50,421.25,6560000,0
