<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BATS.L,D,20030101,000000,620.50,620.50,620.50,620.50,000,0
BATS.L,D,20030102,000000,624.00,630.00,620.50,627.00,1982200,0
BATS.L,D,20030103,000000,629.50,630.00,608.50,629.00,2508200,0
BATS.L,D,20030106,000000,630.00,630.50,614.00,618.00,5138100,0
BATS.L,D,20030107,000000,625.00,625.00,610.00,615.50,3624000,0
BATS.L,D,20030108,000000,615.50,630.50,613.00,623.00,4633400,0
BATS.L,D,20030109,000000,618.50,626.00,615.50,623.00,3027400,0
BATS.L,D,20030110,000000,625.00,625.00,616.00,625.00,3812600,0
BATS.L,D,20030113,000000,629.88,628.50,605.50,609.50,3795100,0
BATS.L,D,20030114,000000,608.00,619.00,607.00,619.00,3099900,0
BATS.L,D,20030115,000000,623.50,623.50,605.50,609.50,2226200,0
BATS.L,D,20030116,000000,615.50,615.50,603.00,605.00,2367000,0
BATS.L,D,20030117,000000,605.00,614.00,603.00,606.50,3635000,0
BATS.L,D,20030120,000000,610.00,610.00,604.50,609.50,1980600,0
BATS.L,D,20030121,000000,606.50,610.00,601.00,601.50,3679200,0
BATS.L,D,20030122,000000,606.50,606.50,587.00,590.00,4585300,0
BATS.L,D,20030123,000000,596.00,603.50,578.00,578.00,3871100,0
BATS.L,D,20030124,000000,581.00,589.00,575.00,580.00,4227000,0
BATS.L,D,20030127,000000,570.00,582.00,562.50,563.50,6628300,0
BATS.L,D,20030128,000000,570.50,570.50,554.00,555.00,6230600,0
BATS.L,D,20030129,000000,554.00,566.50,548.00,566.00,7086300,0
BATS.L,D,20030130,000000,569.50,569.50,555.00,565.00,6813900,0
BATS.L,D,20030131,000000,570.00,578.00,556.00,575.00,5419600,0
BATS.L,D,20030203,000000,582.50,583.50,570.00,579.50,3639700,0
BATS.L,D,20030204,000000,581.50,581.50,566.50,566.50,5902800,0
BATS.L,D,20030205,000000,566.00,579.00,566.00,578.00,4794600,0
BATS.L,D,20030206,000000,575.00,579.50,563.50,568.00,4040200,0
BATS.L,D,20030207,000000,568.00,575.50,563.00,565.00,2974500,0
BATS.L,D,20030210,000000,568.50,576.50,562.00,572.00,3373800,0
BATS.L,D,20030211,000000,579.00,582.00,572.50,579.50,3227700,0
BATS.L,D,20030212,000000,577.00,579.50,571.00,575.00,2879000,0
BATS.L,D,20030213,000000,572.00,585.00,562.50,580.50,4356700,0
BATS.L,D,20030214,000000,580.50,583.00,568.00,574.00,4780900,0
BATS.L,D,20030217,000000,578.50,582.00,575.00,580.00,3432200,0
BATS.L,D,20030218,000000,581.50,588.00,579.00,588.00,2982500,0
BATS.L,D,20030219,000000,588.00,595.00,580.00,580.00,4031800,0
BATS.L,D,20030220,000000,586.00,597.00,579.00,584.00,4303600,0
BATS.L,D,20030221,000000,583.50,604.00,580.00,602.00,6894000,0
BATS.L,D,20030224,000000,605.00,608.00,595.00,604.50,5106300,0
BATS.L,D,20030225,000000,602.00,607.00,586.00,591.50,10725400,0
BATS.L,D,20030226,000000,598.00,604.00,592.00,595.00,5976800,0
BATS.L,D,20030227,000000,595.00,612.50,594.50,611.00,4612200,0
BATS.L,D,20030228,000000,606.50,620.00,605.00,620.00,3692000,0
BATS.L,D,20030303,000000,620.00,624.00,610.50,619.00,4236600,0
BATS.L,D,20030304,000000,619.00,635.50,614.00,624.00,5838500,0
BATS.L,D,20030305,000000,609.50,609.50,598.00,603.00,5729000,0
BATS.L,D,20030306,000000,602.50,608.50,601.00,605.00,4094100,0
BATS.L,D,20030307,000000,601.00,602.00,586.00,597.00,6465900,0
BATS.L,D,20030310,000000,597.00,597.00,585.00,588.00,5626100,0
BATS.L,D,20030311,000000,589.50,604.00,585.50,600.50,4894300,0
BATS.L,D,20030312,000000,601.50,602.50,575.50,578.00,6206300,0
BATS.L,D,20030313,000000,583.00,606.00,578.50,606.00,6072700,0
BATS.L,D,20030314,000000,610.00,618.00,591.50,599.00,7999100,0
BATS.L,D,20030317,000000,590.00,611.00,590.00,605.00,5765500,0
BATS.L,D,20030318,000000,605.00,617.00,586.00,590.00,10699000,0
BATS.L,D,20030319,000000,587.00,604.50,578.50,595.00,9962400,0
BATS.L,D,20030320,000000,600.00,607.00,592.00,604.00,3748300,0
BATS.L,D,20030321,000000,603.50,621.00,603.50,621.00,6156400,0
BATS.L,D,20030324,000000,610.00,616.00,602.50,602.50,6220300,0
BATS.L,D,20030325,000000,613.00,613.00,595.50,607.00,5265700,0
BATS.L,D,20030326,000000,609.50,609.50,597.50,605.50,4105000,0
BATS.L,D,20030327,000000,608.00,608.00,595.00,595.00,4510200,0
BATS.L,D,20030328,000000,598.50,602.50,590.00,596.50,3787200,0
BATS.L,D,20030331,000000,596.50,597.00,584.50,591.50,5699300,0
BATS.L,D,20030401,000000,585.00,588.00,570.00,574.00,7478900,0
BATS.L,D,20030402,000000,577.00,581.00,565.00,575.00,6620600,0
BATS.L,D,20030403,000000,575.00,588.00,575.00,582.50,3884200,0
BATS.L,D,20030404,000000,580.50,582.00,567.00,570.00,5970800,0
BATS.L,D,20030407,000000,567.00,600.50,567.00,586.00,6498200,0
BATS.L,D,20030408,000000,583.50,597.00,583.00,587.50,6751400,0
BATS.L,D,20030409,000000,586.50,597.00,586.00,594.00,4659100,0
BATS.L,D,20030410,000000,590.00,602.00,586.00,597.50,4165400,0
BATS.L,D,20030411,000000,599.50,600.00,586.00,587.00,4494300,0
BATS.L,D,20030414,000000,588.00,594.50,588.00,589.50,2570600,0
BATS.L,D,20030415,000000,596.50,601.50,592.00,599.50,4598800,0
BATS.L,D,20030416,000000,602.00,602.50,594.00,594.00,6044900,0
BATS.L,D,20030417,000000,596.00,603.00,594.00,602.00,2377700,0
BATS.L,D,20030418,000000,602.00,602.00,602.00,602.00,000,0
BATS.L,D,20030421,000000,602.00,602.00,602.00,602.00,000,0
BATS.L,D,20030422,000000,603.00,608.50,594.50,606.50,2967300,0
BATS.L,D,20030423,000000,610.50,611.00,604.50,607.00,3693900,0
BATS.L,D,20030424,000000,605.00,611.00,602.00,606.00,3135100,0
BATS.L,D,20030425,000000,607.00,607.00,584.00,594.00,5629000,0
