<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BP.L,D,20030101,000000,427.00,427.00,427.00,427.00,000,0
BP.L,D,20030102,000000,426.50,430.50,420.50,428.00,30223700,0
BP.L,D,20030103,000000,430.00,430.75,423.00,427.00,19148400,0
BP.L,D,20030106,000000,424.25,431.00,418.50,429.00,39576800,0
BP.L,D,20030107,000000,426.00,432.00,420.50,424.00,32886400,0
BP.L,D,20030108,000000,421.50,421.50,416.50,418.50,32224600,0
BP.L,D,20030109,000000,415.75,420.25,410.50,420.25,25150900,0
BP.L,D,20030110,000000,420.00,427.00,416.25,424.00,38110500,0
BP.L,D,20030113,000000,422.50,428.25,413.50,416.00,34188500,0
BP.L,D,20030114,000000,417.00,422.75,401.50,410.50,70865600,0
BP.L,D,20030115,000000,409.00,412.25,405.25,405.75,50643700,0
BP.L,D,20030116,000000,405.25,411.75,405.00,408.75,36589400,0
BP.L,D,20030117,000000,408.50,409.00,403.25,403.50,38349400,0
BP.L,D,20030120,000000,403.50,405.00,395.00,395.00,36779600,0
BP.L,D,20030121,000000,397.50,398.50,387.00,388.75,37049900,0
BP.L,D,20030122,000000,389.00,392.50,373.00,379.75,57419700,0
BP.L,D,20030123,000000,383.50,386.00,370.25,374.00,53417000,0
BP.L,D,20030124,000000,373.00,378.00,364.50,369.00,58974900,0
BP.L,D,20030127,000000,358.00,368.75,348.75,356.50,91745300,0
BP.L,D,20030128,000000,360.50,365.50,353.00,362.50,66657800,0
BP.L,D,20030129,000000,364.50,383.50,360.25,383.00,94552200,0
BP.L,D,20030130,000000,386.25,388.50,376.00,382.50,64100200,0
BP.L,D,20030131,000000,374.00,382.50,373.25,382.00,52718000,0
BP.L,D,20030203,000000,389.00,393.50,387.75,393.50,42765500,0
BP.L,D,20030204,000000,390.00,395.50,386.50,386.50,53617400,0
BP.L,D,20030205,000000,389.75,397.50,384.00,397.50,43958600,0
BP.L,D,20030206,000000,394.50,398.50,377.50,382.50,60016500,0
