<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CPI.L,D,20030101,000000,255.75,255.75,255.75,255.75,000,0
CPI.L,D,20030102,000000,268.15,268.15,252.91,260.40,881100,0
CPI.L,D,20030103,000000,256.52,257.04,242.83,252.91,1108800,0
CPI.L,D,20030106,000000,256.78,264.79,252.65,262.47,1764700,0
CPI.L,D,20030107,000000,266.34,269.70,242.83,253.43,2715000,0
CPI.L,D,20030108,000000,252.91,259.11,243.09,245.93,1835500,0
CPI.L,D,20030109,000000,242.06,254.20,230.95,249.03,4100800,0
CPI.L,D,20030110,000000,251.62,254.98,239.99,244.90,2063800,0
CPI.L,D,20030113,000000,251.10,254.98,248.26,251.36,2268700,0
CPI.L,D,20030114,000000,253.17,262.47,244.64,248.00,1151300,0
CPI.L,D,20030115,000000,253.00,252.13,236.89,241.80,4944500,0
CPI.L,D,20030116,000000,242.83,246.45,238.44,240.77,1941500,0
CPI.L,D,20030117,000000,245.42,248.00,239.22,240.77,1577400,0
CPI.L,D,20030120,000000,240.51,240.51,228.37,230.43,2183700,0
CPI.L,D,20030121,000000,232.50,235.08,228.62,231.98,2491300,0
CPI.L,D,20030122,000000,231.47,233.53,216.48,221.39,3199000,0
CPI.L,D,20030123,000000,225.78,231.47,215.71,218.55,4183100,0
CPI.L,D,20030124,000000,219.07,223.72,209.77,213.12,4360600,0
CPI.L,D,20030127,000000,213.12,213.12,197.11,197.11,3765600,0
CPI.L,D,20030128,000000,198.66,206.41,189.36,193.23,4726700,0
CPI.L,D,20030129,000000,191.17,205.38,188.07,200.47,5159100,0
CPI.L,D,20030130,000000,206.67,221.13,204.60,219.84,4608400,0
CPI.L,D,20030131,000000,218.03,218.03,207.18,211.57,3032700,0
CPI.L,D,20030203,000000,211.57,219.58,211.57,216.48,2247500,0
CPI.L,D,20030204,000000,213.90,218.55,209.25,210.80,2624700,0
CPI.L,D,20030205,000000,210.80,218.55,207.70,218.55,1442000,0
CPI.L,D,20030206,000000,214.42,214.42,204.60,208.73,3470000,0
CPI.L,D,20030207,000000,210.80,215.97,205.38,208.48,3251400,0
CPI.L,D,20030210,000000,211.83,214.42,202.27,207.96,2335400,0
CPI.L,D,20030211,000000,213.12,218.55,207.70,214.68,2230200,0
CPI.L,D,20030212,000000,212.35,212.35,198.14,201.50,4214300,0
CPI.L,D,20030213,000000,197.62,207.18,197.62,204.34,4594900,0
CPI.L,D,20030214,000000,204.60,209.77,202.53,204.08,2655600,0
CPI.L,D,20030217,000000,209.77,219.07,209.51,215.97,2379200,0
CPI.L,D,20030218,000000,217.77,224.23,210.54,220.62,4729600,0
CPI.L,D,20030219,000000,220.10,222.94,210.28,221.65,3520900,0
CPI.L,D,20030220,000000,223.72,235.60,223.72,234.57,10179000,0
CPI.L,D,20030221,000000,234.57,245.93,232.50,245.93,5817800,0
CPI.L,D,20030224,000000,245.93,249.81,240.77,245.93,4579100,0
CPI.L,D,20030225,000000,242.83,245.42,239.99,240.77,5800900,0
CPI.L,D,20030226,000000,243.35,245.68,235.60,240.25,4323300,0
CPI.L,D,20030227,000000,242.32,252.91,235.34,242.06,2992600,0
CPI.L,D,20030228,000000,242.83,253.17,241.80,251.10,4981800,0
CPI.L,D,20030303,000000,244.38,255.75,243.87,251.10,2568800,0
CPI.L,D,20030304,000000,254.20,258.33,243.87,249.03,3848800,0
CPI.L,D,20030305,000000,250.07,250.07,241.28,241.28,3298400,0
CPI.L,D,20030306,000000,241.80,245.42,235.86,239.22,3941200,0
CPI.L,D,20030307,000000,235.60,244.90,235.08,239.73,4405600,0
CPI.L,D,20030310,000000,239.73,244.38,236.38,240.77,3321400,0
CPI.L,D,20030311,000000,239.73,239.73,231.21,237.41,3114400,0
CPI.L,D,20030312,000000,236.63,239.22,228.37,228.37,4199200,0
CPI.L,D,20030313,000000,231.73,240.51,229.40,237.41,4073200,0
CPI.L,D,20030314,000000,237.41,251.10,236.89,243.61,3216000,0
CPI.L,D,20030317,000000,239.48,266.08,239.48,259.88,2432400,0
CPI.L,D,20030318,000000,259.88,278.48,259.88,270.22,4118900,0
CPI.L,D,20030319,000000,280.29,280.29,264.53,265.05,2591100,0
CPI.L,D,20030320,000000,267.63,271.77,257.82,261.43,2435800,0
CPI.L,D,20030321,000000,263.50,270.73,262.21,266.08,4328800,0
CPI.L,D,20030324,000000,271.25,271.25,249.03,255.23,4803200,0
CPI.L,D,20030325,000000,253.17,267.38,251.88,264.02,5289900,0
CPI.L,D,20030326,000000,264.02,266.60,253.17,262.21,3778300,0
