<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CW.L,D,20030101,000000,44.75,44.75,44.75,44.75,000,0
CW.L,D,20030102,000000,44.00,46.25,44.00,46.00,3752800,0
CW.L,D,20030103,000000,46.25,46.75,45.50,46.50,3288200,0
CW.L,D,20030106,000000,47.00,47.00,46.25,47.00,2750900,0
CW.L,D,20030107,000000,46.00,46.00,44.50,46.00,5861700,0
CW.L,D,20030108,000000,46.00,46.75,44.50,46.75,5402900,0
CW.L,D,20030109,000000,45.00,48.50,45.00,48.00,9008500,0
CW.L,D,20030110,000000,50.00,57.50,50.00,57.00,41058700,0
CW.L,D,20030113,000000,56.50,63.50,56.50,58.50,45000000,0
CW.L,D,20030114,000000,58.50,63.50,56.00,63.25,21698200,0
CW.L,D,20030115,000000,61.79,64.25,60.75,61.50,4906000,0
CW.L,D,20030116,000000,61.50,64.50,61.50,64.00,2447800,0
CW.L,D,20030117,000000,62.75,63.75,61.50,62.25,3586100,0
CW.L,D,20030120,000000,61.50,63.50,60.50,61.75,3329900,0
CW.L,D,20030121,000000,65.00,69.25,63.25,64.00,44417100,0
CW.L,D,20030122,000000,63.00,67.75,59.50,66.50,22082800,0
CW.L,D,20030123,000000,66.75,70.25,65.75,66.00,35881400,0
CW.L,D,20030124,000000,67.00,70.50,65.25,69.50,22922300,0
CW.L,D,20030127,000000,70.00,70.00,66.25,66.50,12164500,0
CW.L,D,20030128,000000,67.00,67.00,62.25,63.00,15364600,0
CW.L,D,20030129,000000,64.00,64.00,57.25,58.75,21377200,0
CW.L,D,20030130,000000,60.25,61.00,56.50,57.00,10441200,0
CW.L,D,20030131,000000,57.50,57.50,53.50,55.50,11543700,0
CW.L,D,20030203,000000,55.75,57.75,55.25,57.75,20880400,0
CW.L,D,20030204,000000,57.00,59.00,55.00,55.50,8462800,0
CW.L,D,20030205,000000,55.50,58.00,55.25,57.75,8168800,0
CW.L,D,20030206,000000,59.75,65.75,59.50,63.50,41381100,0
CW.L,D,20030207,000000,64.25,65.75,63.00,64.75,17059000,0
CW.L,D,20030210,000000,67.00,67.00,64.00,64.25,18933300,0
CW.L,D,20030211,000000,64.50,67.00,64.00,66.50,4871300,0
CW.L,D,20030212,000000,66.00,68.25,64.75,67.00,7403300,0
CW.L,D,20030213,000000,66.50,66.75,65.25,66.00,8047900,0
CW.L,D,20030214,000000,65.00,65.50,62.25,63.75,6316900,0
CW.L,D,20030217,000000,65.00,65.50,63.75,64.00,3592800,0
CW.L,D,20030218,000000,64.25,65.25,63.00,64.50,6958400,0
CW.L,D,20030219,000000,64.25,65.00,62.50,63.25,7633400,0
CW.L,D,20030220,000000,64.50,65.00,63.25,64.00,6326200,0
CW.L,D,20030221,000000,63.25,64.25,62.25,63.00,3300300,0
CW.L,D,20030224,000000,63.50,64.75,63.00,63.50,7515800,0
CW.L,D,20030225,000000,62.50,63.50,59.00,59.75,7954700,0
CW.L,D,20030226,000000,61.00,63.00,58.25,60.00,8206900,0
CW.L,D,20030227,000000,59.50,60.50,59.00,59.00,4791400,0
CW.L,D,20030228,000000,59.00,60.50,59.00,60.00,2370100,0
CW.L,D,20030303,000000,60.00,63.50,60.00,63.25,12230400,0
CW.L,D,20030304,000000,63.25,64.00,61.50,62.75,4699000,0
CW.L,D,20030305,000000,62.00,63.00,58.75,59.25,14860000,0
CW.L,D,20030306,000000,60.00,60.75,57.50,58.00,7400200,0
CW.L,D,20030307,000000,57.00,58.75,57.00,58.00,3912600,0
CW.L,D,20030310,000000,58.00,60.25,57.25,57.25,4750900,0
CW.L,D,20030311,000000,58.00,58.25,56.50,57.75,4829200,0
CW.L,D,20030312,000000,57.25,59.00,57.00,58.75,9287700,0
CW.L,D,20030313,000000,58.50,59.50,57.00,58.00,7914400,0
CW.L,D,20030314,000000,58.00,65.50,58.00,62.00,13703000,0
CW.L,D,20030317,000000,60.00,62.50,58.75,62.50,6527300,0
CW.L,D,20030318,000000,60.25,65.75,60.25,61.50,10871900,0
CW.L,D,20030319,000000,62.25,62.25,59.50,60.25,9008200,0
CW.L,D,20030320,000000,61.00,64.75,58.50,62.00,8216300,0
CW.L,D,20030321,000000,61.75,63.50,56.25,59.50,32181300,0
CW.L,D,20030324,000000,57.75,60.00,55.50,60.00,17154500,0
CW.L,D,20030325,000000,58.50,77.00,55.75,73.25,63424400,0
CW.L,D,20030326,000000,72.25,74.50,70.00,71.00,25371700,0
CW.L,D,20030327,000000,72.00,73.75,70.00,70.50,12538000,0
CW.L,D,20030328,000000,70.50,73.50,70.25,72.50,3128700,0
CW.L,D,20030331,000000,70.00,71.25,68.50,69.00,7607700,0
CW.L,D,20030401,000000,69.75,71.50,68.50,71.00,6616100,0
CW.L,D,20030402,000000,75.00,79.50,74.00,79.50,20838400,0
