<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IMT.L,D,20030101,000000,1055.00,1055.00,1055.00,1055.00,000,0
IMT.L,D,20030102,000000,1048.00,1083.00,1045.00,1083.00,1457000,0
IMT.L,D,20030103,000000,1083.00,1083.00,1067.00,1083.00,1682500,0
IMT.L,D,20030106,000000,1070.50,1072.00,1045.50,1055.00,1949000,0
IMT.L,D,20030107,000000,1059.50,1059.50,1027.00,1040.00,1683000,0
IMT.L,D,20030108,000000,1042.00,1058.00,1030.00,1040.00,1753200,0
IMT.L,D,20030109,000000,1020.00,1043.50,1020.00,1037.00,1348400,0
IMT.L,D,20030110,000000,1037.00,1040.00,1019.50,1034.00,2062900,0
IMT.L,D,20030113,000000,1023.12,1038.50,1014.50,1020.00,1221100,0
IMT.L,D,20030114,000000,1025.00,1038.00,1000.00,1023.00,2313700,0
IMT.L,D,20030115,000000,1018.76,1028.50,995.50,1006.00,1991300,0
IMT.L,D,20030116,000000,1005.00,1025.00,1003.00,1010.00,1837600,0
IMT.L,D,20030117,000000,1015.00,1019.50,997.00,1004.00,1273900,0
IMT.L,D,20030120,000000,1012.50,1030.00,1002.00,1008.00,1153500,0
IMT.L,D,20030121,000000,1014.50,1014.50,987.00,990.00,1350700,0
IMT.L,D,20030122,000000,961.00,994.00,958.00,976.00,2287700,0
IMT.L,D,20030123,000000,976.00,976.00,933.50,933.50,2423500,0
IMT.L,D,20030124,000000,936.00,950.50,928.00,939.50,2427700,0
IMT.L,D,20030127,000000,925.00,942.00,903.00,922.00,3130200,0
IMT.L,D,20030128,000000,934.50,935.50,898.50,935.50,2406800,0
IMT.L,D,20030129,000000,926.00,936.50,902.00,925.50,2289800,0
IMT.L,D,20030130,000000,932.00,938.00,924.00,938.00,2379400,0
IMT.L,D,20030131,000000,920.00,944.00,917.00,929.00,2238800,0
IMT.L,D,20030203,000000,929.00,951.00,910.00,926.00,2126600,0
IMT.L,D,20030204,000000,926.00,940.00,906.00,912.50,2371200,0
IMT.L,D,20030205,000000,912.00,938.50,904.00,938.50,1776000,0
IMT.L,D,20030206,000000,930.50,939.00,915.50,924.00,1788300,0
IMT.L,D,20030207,000000,929.00,944.00,919.00,920.00,1531900,0
IMT.L,D,20030210,000000,925.00,937.00,925.00,928.50,1382500,0
IMT.L,D,20030211,000000,951.50,951.50,923.00,935.00,1570400,0
IMT.L,D,20030212,000000,929.50,944.50,917.00,920.00,1259600,0
