<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JMAT.L,D,20030101,000000,800.00,800.00,800.00,800.00,000,0
JMAT.L,D,20030102,000000,799.00,805.00,781.00,805.00,329700,0
JMAT.L,D,20030103,000000,805.50,818.00,787.00,787.50,354600,0
JMAT.L,D,20030106,000000,800.00,816.00,791.50,796.00,262500,0
JMAT.L,D,20030107,000000,798.50,804.50,787.00,790.00,285500,0
JMAT.L,D,20030108,000000,789.00,800.00,765.00,770.00,517000,0
JMAT.L,D,20030109,000000,764.00,775.00,742.00,750.00,634800,0
JMAT.L,D,20030110,000000,750.00,768.00,746.00,768.00,794200,0
JMAT.L,D,20030113,000000,775.00,795.50,772.00,781.00,382500,0
JMAT.L,D,20030114,000000,788.63,799.00,779.50,795.50,431700,0
JMAT.L,D,20030115,000000,792.86,801.00,780.00,780.00,852000,0
JMAT.L,D,20030116,000000,780.50,786.50,757.00,762.50,416800,0
JMAT.L,D,20030117,000000,768.50,777.50,758.50,758.50,171600,0
JMAT.L,D,20030120,000000,775.00,778.00,760.00,760.00,361700,0
JMAT.L,D,20030121,000000,767.50,778.50,757.50,758.00,582500,0
JMAT.L,D,20030122,000000,761.00,767.00,755.50,765.00,884900,0
JMAT.L,D,20030123,000000,760.50,763.00,731.00,731.00,949200,0
JMAT.L,D,20030124,000000,735.00,767.50,735.00,763.50,867700,0
JMAT.L,D,20030127,000000,764.50,764.50,725.00,725.00,1099200,0
JMAT.L,D,20030128,000000,740.50,747.50,718.00,735.50,608900,0
JMAT.L,D,20030129,000000,734.50,740.00,708.50,735.00,879900,0
JMAT.L,D,20030130,000000,726.50,759.50,726.50,755.00,1182500,0
JMAT.L,D,20030131,000000,753.50,757.00,748.00,752.00,905200,0
JMAT.L,D,20030203,000000,755.00,794.50,752.00,773.50,546000,0
JMAT.L,D,20030204,000000,775.50,777.50,750.00,760.00,590600,0
JMAT.L,D,20030205,000000,756.00,786.50,756.00,777.00,603800,0
JMAT.L,D,20030206,000000,761.00,774.50,760.00,764.00,635700,0
