<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LGEN.L,D,20030101,000000,96.00,96.00,96.00,96.00,000,0
LGEN.L,D,20030102,000000,95.75,99.25,95.50,99.25,6504700,0
LGEN.L,D,20030103,000000,99.25,102.50,99.00,100.50,10739800,0
LGEN.L,D,20030106,000000,96.00,100.00,94.50,96.50,20711900,0
LGEN.L,D,20030107,000000,93.75,96.75,92.50,93.25,21052500,0
LGEN.L,D,20030108,000000,92.25,93.00,88.00,89.75,24261900,0
LGEN.L,D,20030109,000000,88.75,92.50,88.75,91.50,17991300,0
LGEN.L,D,20030110,000000,92.00,94.00,89.50,92.00,30517000,0
LGEN.L,D,20030113,000000,92.75,93.25,90.00,91.25,13324800,0
LGEN.L,D,20030114,000000,91.25,91.25,89.00,89.50,18881900,0
LGEN.L,D,20030115,000000,90.25,91.00,88.50,89.00,15370900,0
LGEN.L,D,20030116,000000,89.50,90.50,88.50,89.00,15087000,0
LGEN.L,D,20030117,000000,89.00,89.50,85.50,86.00,20835700,0
LGEN.L,D,20030120,000000,87.00,87.50,83.25,83.75,23755300,0
LGEN.L,D,20030121,000000,85.00,85.50,81.00,81.25,23011300,0
LGEN.L,D,20030122,000000,81.50,81.50,77.50,77.75,36223100,0
LGEN.L,D,20030123,000000,79.25,79.50,75.75,78.50,37660200,0
LGEN.L,D,20030124,000000,79.75,84.00,79.75,81.00,48512500,0
LGEN.L,D,20030127,000000,78.75,80.50,76.75,76.75,44942400,0
LGEN.L,D,20030128,000000,77.50,79.25,73.00,74.75,28961400,0
LGEN.L,D,20030129,000000,74.25,76.00,71.00,74.75,36688800,0
LGEN.L,D,20030130,000000,76.00,78.50,75.50,77.25,25730900,0
LGEN.L,D,20030131,000000,77.50,77.50,74.25,75.25,28102700,0
LGEN.L,D,20030203,000000,80.25,81.25,78.00,80.50,38075000,0
LGEN.L,D,20030204,000000,80.25,80.75,73.25,73.75,34935900,0
LGEN.L,D,20030205,000000,74.00,77.00,72.75,77.00,21954200,0
LGEN.L,D,20030206,000000,76.50,78.75,73.50,74.00,26199000,0
LGEN.L,D,20030207,000000,74.50,75.50,73.00,74.00,24391400,0
LGEN.L,D,20030210,000000,75.25,76.75,71.75,72.00,16279800,0
LGEN.L,D,20030211,000000,73.75,75.50,72.75,74.75,25336500,0
LGEN.L,D,20030212,000000,74.00,74.00,70.75,71.25,27782300,0
LGEN.L,D,20030213,000000,71.50,73.00,70.25,72.50,23193400,0
LGEN.L,D,20030214,000000,71.75,77.00,71.75,74.25,33549700,0
LGEN.L,D,20030217,000000,75.50,77.25,74.50,76.25,26456300,0
LGEN.L,D,20030218,000000,76.50,77.25,74.00,77.25,23364700,0
LGEN.L,D,20030219,000000,77.00,78.00,73.75,74.25,26481100,0
LGEN.L,D,20030220,000000,74.75,76.75,73.75,75.50,23497500,0
LGEN.L,D,20030221,000000,77.00,77.00,72.25,73.25,18343900,0
LGEN.L,D,20030224,000000,74.00,75.50,73.50,74.25,17286700,0
LGEN.L,D,20030225,000000,73.75,73.75,65.75,66.00,57855800,0
LGEN.L,D,20030226,000000,68.50,70.50,64.00,70.50,44838000,0
LGEN.L,D,20030227,000000,71.25,74.50,65.00,74.25,85258900,0
LGEN.L,D,20030228,000000,75.00,75.00,72.00,74.75,39908900,0
LGEN.L,D,20030303,000000,75.50,76.50,73.00,73.50,15755500,0
LGEN.L,D,20030304,000000,73.50,73.50,70.50,71.00,20355900,0
LGEN.L,D,20030305,000000,71.00,71.00,67.75,68.25,17899100,0
LGEN.L,D,20030306,000000,70.00,70.25,67.25,69.25,25830100,0
LGEN.L,D,20030307,000000,69.00,69.00,65.50,66.00,15929100,0
LGEN.L,D,20030310,000000,66.50,67.00,62.75,62.75,20306500,0
LGEN.L,D,20030311,000000,62.50,65.25,61.00,65.25,24531300,0
LGEN.L,D,20030312,000000,65.25,66.25,59.50,60.00,30587700,0
LGEN.L,D,20030313,000000,61.75,64.75,61.50,64.75,33653600,0
LGEN.L,D,20030314,000000,65.50,69.50,65.50,67.50,36106400,0
LGEN.L,D,20030317,000000,65.75,74.00,65.00,72.75,33380800,0
LGEN.L,D,20030318,000000,73.00,77.00,72.75,75.75,39246000,0
LGEN.L,D,20030319,000000,76.25,80.00,74.25,78.00,30529900,0
LGEN.L,D,20030320,000000,77.00,79.50,75.75,77.25,17774500,0
LGEN.L,D,20030321,000000,77.75,82.75,77.75,82.75,24349100,0
LGEN.L,D,20030324,000000,81.25,81.25,76.25,77.00,16616600,0
LGEN.L,D,20030325,000000,76.50,77.00,72.25,76.25,22695000,0
LGEN.L,D,20030326,000000,77.00,77.75,74.50,76.50,14142300,0
LGEN.L,D,20030327,000000,76.00,76.00,73.75,75.00,8037900,0
LGEN.L,D,20030328,000000,74.25,76.00,71.50,74.00,8953400,0
LGEN.L,D,20030331,000000,73.75,73.75,68.00,69.50,21721800,0
LGEN.L,D,20030401,000000,70.25,71.75,69.25,71.75,17570400,0
LGEN.L,D,20030402,000000,70.75,75.50,69.75,74.25,28923800,0
LGEN.L,D,20030403,000000,74.50,77.25,72.50,72.75,23171800,0
LGEN.L,D,20030404,000000,72.75,76.75,72.50,76.25,20742100,0
LGEN.L,D,20030407,000000,78.00,82.50,78.00,81.00,21668100,0
LGEN.L,D,20030408,000000,79.00,79.75,77.50,77.50,23022100,0
LGEN.L,D,20030409,000000,77.00,77.50,74.00,75.00,26451700,0
LGEN.L,D,20030410,000000,74.00,75.50,73.00,73.00,20778500,0
LGEN.L,D,20030411,000000,73.50,75.50,73.25,73.50,15013300,0
LGEN.L,D,20030414,000000,74.50,75.25,73.25,75.00,13598900,0
LGEN.L,D,20030415,000000,75.50,79.25,75.50,79.25,22038100,0
LGEN.L,D,20030416,000000,80.50,82.00,74.50,75.25,27105000,0
LGEN.L,D,20030417,000000,75.25,77.00,74.00,76.25,13661500,0
LGEN.L,D,20030418,000000,76.25,76.25,76.25,76.25,000,0
LGEN.L,D,20030421,000000,76.25,76.25,76.25,76.25,000,0
LGEN.L,D,20030422,000000,77.50,77.50,76.00,77.25,9127200,0
LGEN.L,D,20030423,000000,79.00,81.00,78.50,79.50,28928800,0
LGEN.L,D,20030424,000000,80.00,80.50,74.75,75.00,24260300,0
LGEN.L,D,20030425,000000,74.25,76.50,71.75,72.50,23926800,0
LGEN.L,D,20030428,000000,72.50,76.75,72.50,76.25,13334300,0
LGEN.L,D,20030429,000000,76.75,80.00,76.00,76.75,31943700,0
LGEN.L,D,20030430,000000,76.75,79.00,75.50,77.50,42166800,0
LGEN.L,D,20030501,000000,76.50,77.50,75.00,75.50,14563100,0
LGEN.L,D,20030502,000000,75.00,79.00,75.00,78.50,18236100,0
LGEN.L,D,20030505,000000,78.50,78.50,78.50,78.50,000,0
LGEN.L,D,20030506,000000,78.00,81.50,77.25,81.00,24026700,0
LGEN.L,D,20030507,000000,81.00,84.00,80.00,82.25,36545300,0
LGEN.L,D,20030508,000000,81.25,82.25,78.75,80.00,17453800,0
LGEN.L,D,20030509,000000,79.00,80.75,78.50,80.00,17081200,0
LGEN.L,D,20030512,000000,80.75,81.25,78.75,80.00,11778700,0
LGEN.L,D,20030513,000000,80.75,80.75,78.25,78.75,19073000,0
LGEN.L,D,20030514,000000,79.00,80.00,78.50,79.00,21012900,0
LGEN.L,D,20030515,000000,79.25,86.00,78.00,86.00,53136400,0
LGEN.L,D,20030516,000000,90.00,90.25,83.50,89.00,64555400,0
LGEN.L,D,20030519,000000,88.00,88.00,83.25,83.75,30679000,0
LGEN.L,D,20030520,000000,84.50,88.25,83.25,88.00,38091300,0
LGEN.L,D,20030521,000000,87.00,87.50,84.00,85.25,25268400,0
LGEN.L,D,20030522,000000,86.00,87.25,84.25,86.00,25057200,0
LGEN.L,D,20030523,000000,86.00,87.00,84.00,84.50,22227200,0
LGEN.L,D,20030526,000000,84.50,84.50,84.50,84.50,000,0
LGEN.L,D,20030527,000000,84.00,86.00,82.50,84.25,21358000,0
LGEN.L,D,20030528,000000,85.75,86.50,84.50,85.50,25792400,0
LGEN.L,D,20030529,000000,85.50,87.00,85.00,86.50,15593900,0
LGEN.L,D,20030530,000000,85.50,89.00,85.25,86.25,22193500,0
LGEN.L,D,20030602,000000,88.00,90.50,87.75,90.50,14927800,0
LGEN.L,D,20030603,000000,89.50,89.50,86.75,88.00,12596100,0
LGEN.L,D,20030604,000000,87.25,88.25,85.50,87.25,15467700,0
LGEN.L,D,20030605,000000,88.00,88.00,85.75,86.25,17797300,0
LGEN.L,D,20030606,000000,87.75,88.50,85.25,86.00,19530000,0
LGEN.L,D,20030609,000000,86.50,87.50,85.25,86.00,15046200,0
LGEN.L,D,20030610,000000,86.00,86.25,85.00,85.25,10207200,0
LGEN.L,D,20030611,000000,85.50,87.00,85.25,86.50,11677500,0
LGEN.L,D,20030612,000000,87.00,88.75,86.50,87.75,21201100,0
LGEN.L,D,20030613,000000,87.25,90.50,87.25,88.00,21661400,0
LGEN.L,D,20030616,000000,89.00,90.00,87.25,89.50,19024700,0
LGEN.L,D,20030617,000000,90.25,93.25,89.50,91.00,26767800,0
LGEN.L,D,20030618,000000,90.75,94.50,90.00,94.00,24850300,0
LGEN.L,D,20030619,000000,94.25,95.00,90.00,91.00,20485700,0
LGEN.L,D,20030620,000000,90.50,91.75,90.00,90.25,10214500,0
LGEN.L,D,20030623,000000,91.75,91.75,88.00,88.00,12350500,0
LGEN.L,D,20030624,000000,88.75,88.75,85.50,87.00,24663500,0
LGEN.L,D,20030625,000000,87.50,88.00,85.75,86.50,12515400,0
LGEN.L,D,20030626,000000,85.75,86.75,84.00,84.50,12457100,0
LGEN.L,D,20030627,000000,85.25,86.25,84.00,85.25,10928700,0
LGEN.L,D,20030630,000000,85.25,86.75,83.75,84.00,8644200,0
LGEN.L,D,20030701,000000,85.00,85.00,81.75,81.75,21751200,0
LGEN.L,D,20030702,000000,83.50,85.00,83.25,84.25,11249800,0
LGEN.L,D,20030703,000000,82.75,86.00,82.75,85.50,26018000,0
LGEN.L,D,20030704,000000,84.75,86.25,84.75,85.50,8930400,0
LGEN.L,D,20030707,000000,87.00,88.50,86.25,88.50,15793100,0
LGEN.L,D,20030708,000000,88.50,89.25,87.00,87.50,19829900,0
LGEN.L,D,20030709,000000,88.00,88.25,86.00,87.50,12459300,0
LGEN.L,D,20030710,000000,87.50,88.00,85.75,86.25,10332100,0
LGEN.L,D,20030711,000000,86.00,90.25,85.50,90.25,19236600,0
LGEN.L,D,20030714,000000,90.50,94.00,88.50,92.50,16799200,0
LGEN.L,D,20030715,000000,92.00,94.00,91.00,93.25,15919800,0
LGEN.L,D,20030716,000000,93.50,96.75,92.00,92.50,28941100,0
LGEN.L,D,20030717,000000,91.75,92.50,88.00,90.25,36675700,0
LGEN.L,D,20030718,000000,90.00,91.00,88.75,89.25,18679000,0
LGEN.L,D,20030721,000000,89.75,90.00,87.50,88.50,11084900,0
LGEN.L,D,20030722,000000,89.25,90.25,88.00,89.00,16232000,0
LGEN.L,D,20030723,000000,89.25,89.75,87.75,88.25,15945600,0
