<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LLOY.L,D,20030101,000000,446.00,446.00,446.00,446.00,000,0
LLOY.L,D,20030102,000000,453.00,465.50,444.50,459.00,10390100,0
LLOY.L,D,20030103,000000,459.25,465.00,447.00,449.50,8653800,0
LLOY.L,D,20030106,000000,451.00,455.00,428.25,434.50,18012300,0
LLOY.L,D,20030107,000000,425.00,442.50,417.00,424.25,21837600,0
LLOY.L,D,20030108,000000,429.00,430.50,411.25,430.00,18044500,0
LLOY.L,D,20030109,000000,429.00,446.75,429.00,440.00,21485900,0
LLOY.L,D,20030110,000000,444.50,454.75,438.50,445.00,17214100,0
LLOY.L,D,20030113,000000,446.75,458.50,440.00,445.50,13414500,0
LLOY.L,D,20030114,000000,445.55,456.50,438.00,440.75,12903500,0
LLOY.L,D,20030115,000000,438.50,446.50,429.25,437.50,13746500,0
LLOY.L,D,20030116,000000,436.50,440.75,430.50,431.25,12978000,0
LLOY.L,D,20030117,000000,425.00,432.25,424.00,425.75,14003800,0
LLOY.L,D,20030120,000000,426.25,429.50,414.00,416.75,9139600,0
LLOY.L,D,20030121,000000,419.00,423.00,406.75,409.50,16216900,0
LLOY.L,D,20030122,000000,393.44,411.00,389.00,395.00,24681800,0
LLOY.L,D,20030123,000000,404.00,406.00,389.00,391.50,20453700,0
LLOY.L,D,20030124,000000,401.50,411.00,391.25,400.00,26751600,0
LLOY.L,D,20030127,000000,388.00,398.00,377.00,378.00,20586100,0
LLOY.L,D,20030128,000000,379.50,395.00,373.00,375.00,22314700,0
LLOY.L,D,20030129,000000,376.00,379.00,360.25,370.50,25988400,0
LLOY.L,D,20030130,000000,377.00,385.00,374.00,385.00,21485700,0
LLOY.L,D,20030131,000000,375.25,384.25,373.00,379.00,14120100,0
LLOY.L,D,20030203,000000,402.00,411.25,402.00,408.25,25986600,0
LLOY.L,D,20030204,000000,398.00,408.50,395.00,395.50,13898100,0
LLOY.L,D,20030205,000000,396.00,409.00,391.00,408.00,13383000,0
LLOY.L,D,20030206,000000,402.00,416.00,397.75,402.00,28179500,0
LLOY.L,D,20030207,000000,401.25,413.75,396.00,408.75,14121700,0
LLOY.L,D,20030210,000000,407.75,414.00,397.00,398.50,14982300,0
LLOY.L,D,20030211,000000,402.00,421.25,401.50,419.25,22503100,0
LLOY.L,D,20030212,000000,418.00,419.00,410.00,410.00,15743700,0
LLOY.L,D,20030213,000000,408.25,436.00,403.50,431.25,21357600,0
LLOY.L,D,20030214,000000,446.00,448.50,390.00,400.00,50706600,0
LLOY.L,D,20030217,000000,411.00,412.50,399.25,407.00,19310400,0
LLOY.L,D,20030218,000000,405.75,413.75,399.00,413.50,16009100,0
LLOY.L,D,20030219,000000,412.50,419.50,405.25,405.25,11644800,0
LLOY.L,D,20030220,000000,398.00,403.00,385.00,394.25,26952000,0
LLOY.L,D,20030221,000000,392.00,394.25,382.75,394.00,14356200,0
LLOY.L,D,20030224,000000,397.75,401.00,389.25,392.25,8597700,0
LLOY.L,D,20030225,000000,385.50,386.00,372.25,379.75,20846600,0
LLOY.L,D,20030226,000000,368.00,368.50,340.00,352.25,21800200,0
LLOY.L,D,20030227,000000,350.25,357.50,331.75,341.00,23240100,0
LLOY.L,D,20030228,000000,340.00,354.00,336.25,354.00,21814000,0
LLOY.L,D,20030303,000000,354.75,360.75,347.75,355.00,15000200,0
LLOY.L,D,20030304,000000,352.00,352.75,333.00,341.00,17224400,0
LLOY.L,D,20030305,000000,335.25,340.75,330.00,334.00,12204200,0
LLOY.L,D,20030306,000000,335.75,338.00,320.75,325.00,16940800,0
LLOY.L,D,20030307,000000,320.25,320.50,306.00,311.25,25094500,0
LLOY.L,D,20030310,000000,311.25,315.00,300.75,302.00,16049600,0
LLOY.L,D,20030311,000000,300.00,317.75,295.25,312.50,22228100,0
LLOY.L,D,20030312,000000,313.00,322.50,295.75,295.75,30717400,0
LLOY.L,D,20030313,000000,303.00,325.25,301.50,321.25,28654100,0
LLOY.L,D,20030314,000000,329.00,342.00,328.00,336.00,26717200,0
LLOY.L,D,20030317,000000,358.00,364.00,325.00,353.50,20719800,0
LLOY.L,D,20030318,000000,354.00,368.00,352.25,362.50,23153000,0
LLOY.L,D,20030319,000000,360.25,367.50,350.50,355.75,51625300,0
LLOY.L,D,20030320,000000,359.25,363.75,346.00,355.75,13005600,0
LLOY.L,D,20030321,000000,354.00,371.50,354.00,369.75,18841100,0
LLOY.L,D,20030324,000000,365.00,365.00,350.50,353.00,12051000,0
LLOY.L,D,20030325,000000,346.00,353.50,336.75,348.75,16596200,0
LLOY.L,D,20030326,000000,349.25,357.00,345.25,354.00,14919400,0
LLOY.L,D,20030327,000000,349.00,355.00,336.00,340.00,12770300,0
LLOY.L,D,20030328,000000,340.00,343.75,325.25,333.50,12096100,0
LLOY.L,D,20030331,000000,325.50,338.00,317.50,322.00,12176100,0
LLOY.L,D,20030401,000000,325.50,331.75,322.50,326.00,13360800,0
LLOY.L,D,20030402,000000,330.00,344.00,329.25,335.00,19619500,0
LLOY.L,D,20030403,000000,340.00,351.00,336.25,340.00,16418900,0
LLOY.L,D,20030404,000000,339.00,358.50,339.00,352.00,19646800,0
LLOY.L,D,20030407,000000,361.00,382.00,361.00,379.50,21163200,0
LLOY.L,D,20030408,000000,371.00,379.25,367.25,369.00,15629000,0
LLOY.L,D,20030409,000000,366.00,377.50,359.25,368.00,16471300,0
LLOY.L,D,20030410,000000,362.00,375.00,358.00,364.75,9419500,0
LLOY.L,D,20030411,000000,377.00,386.00,365.00,373.00,17801900,0
LLOY.L,D,20030414,000000,375.50,392.00,375.50,386.50,15140200,0
LLOY.L,D,20030415,000000,391.50,408.00,391.50,408.00,24636000,0
LLOY.L,D,20030416,000000,417.00,427.00,379.00,388.25,36586200,0
LLOY.L,D,20030417,000000,384.25,401.00,380.00,398.50,13846100,0
LLOY.L,D,20030418,000000,398.50,398.50,398.50,398.50,000,0
LLOY.L,D,20030421,000000,398.50,398.50,398.50,398.50,000,0
LLOY.L,D,20030422,000000,401.50,407.00,394.50,400.00,11803800,0
LLOY.L,D,20030423,000000,407.75,424.00,407.75,423.00,19541800,0
LLOY.L,D,20030424,000000,418.75,432.75,414.00,419.50,19201200,0
LLOY.L,D,20030425,000000,417.00,424.00,401.75,406.00,19911000,0
LLOY.L,D,20030428,000000,404.00,424.50,401.25,421.50,13538700,0
LLOY.L,D,20030429,000000,427.25,437.50,419.00,421.50,17703900,0
LLOY.L,D,20030430,000000,421.50,424.75,407.25,411.50,20211100,0
LLOY.L,D,20030501,000000,409.00,411.25,400.00,405.25,9356300,0
LLOY.L,D,20030502,000000,407.00,416.25,399.50,416.00,14683800,0
LLOY.L,D,20030505,000000,416.00,416.00,416.00,416.00,000,0
LLOY.L,D,20030506,000000,420.00,425.00,410.00,423.50,14076900,0
LLOY.L,D,20030507,000000,422.75,434.00,418.75,427.00,15808600,0
LLOY.L,D,20030508,000000,426.00,426.00,412.75,416.50,13916800,0
LLOY.L,D,20030509,000000,415.50,420.00,409.50,417.00,14946200,0
LLOY.L,D,20030512,000000,420.75,423.50,405.00,420.00,15327500,0
LLOY.L,D,20030513,000000,421.50,426.00,412.00,419.25,10848300,0
LLOY.L,D,20030514,000000,410.98,422.75,409.25,416.50,16632900,0
LLOY.L,D,20030515,000000,421.00,424.75,414.25,424.00,10034000,0
LLOY.L,D,20030516,000000,436.75,438.50,422.50,430.00,13628100,0
LLOY.L,D,20030519,000000,430.50,430.50,416.25,417.25,12615000,0
LLOY.L,D,20030520,000000,419.75,430.00,417.50,421.50,16665800,0
LLOY.L,D,20030521,000000,420.75,421.00,405.75,410.00,19290100,0
LLOY.L,D,20030522,000000,414.00,426.00,409.00,426.00,16324500,0
LLOY.L,D,20030523,000000,426.75,427.00,414.50,419.75,8720900,0
LLOY.L,D,20030526,000000,419.75,419.75,419.75,419.75,000,0
LLOY.L,D,20030527,000000,420.50,426.25,408.75,423.00,8347200,0
LLOY.L,D,20030528,000000,430.00,439.00,429.00,437.00,17298100,0
LLOY.L,D,20030529,000000,435.00,464.75,435.00,454.50,30558800,0
LLOY.L,D,20030530,000000,459.25,463.00,443.75,447.50,21495000,0
