<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LMI.L,D,20030101,000000,866.00,866.00,866.00,866.00,000,0
LMI.L,D,20030102,000000,851.00,865.00,851.00,853.50,310800,0
LMI.L,D,20030103,000000,875.00,878.50,851.50,873.50,344800,0
LMI.L,D,20030106,000000,874.00,874.00,851.00,873.00,475600,0
LMI.L,D,20030107,000000,871.50,876.50,854.00,865.00,594300,0
LMI.L,D,20030108,000000,852.50,852.50,805.00,810.00,1152000,0
LMI.L,D,20030109,000000,815.00,815.00,798.00,799.00,935800,0
LMI.L,D,20030110,000000,798.00,812.00,798.00,807.00,2010800,0
LMI.L,D,20030113,000000,812.20,814.00,803.00,808.00,941700,0
LMI.L,D,20030114,000000,808.73,809.00,798.00,798.00,373700,0
LMI.L,D,20030115,000000,801.00,803.50,785.50,790.00,608800,0
LMI.L,D,20030116,000000,787.00,788.50,779.50,781.00,680800,0
LMI.L,D,20030117,000000,782.00,807.50,781.00,799.50,518700,0
LMI.L,D,20030120,000000,799.50,809.00,795.00,803.00,363800,0
LMI.L,D,20030121,000000,803.00,804.00,790.00,797.00,556600,0
LMI.L,D,20030122,000000,780.50,794.00,769.50,770.00,1050100,0
LMI.L,D,20030123,000000,780.00,792.50,778.50,780.00,856300,0
LMI.L,D,20030124,000000,780.00,780.00,760.00,765.00,1011800,0
LMI.L,D,20030127,000000,763.00,770.00,755.00,766.50,748000,0
LMI.L,D,20030128,000000,770.00,770.00,750.50,763.00,621500,0
LMI.L,D,20030129,000000,763.00,763.00,738.00,756.00,670000,0
LMI.L,D,20030130,000000,765.50,785.50,753.00,774.00,939000,0
LMI.L,D,20030131,000000,774.50,784.00,732.50,760.00,624600,0
LMI.L,D,20030203,000000,767.50,776.00,755.00,769.00,661800,0
LMI.L,D,20030204,000000,788.00,792.00,775.00,790.00,858900,0
LMI.L,D,20030205,000000,785.00,821.00,756.50,821.00,1177400,0
LMI.L,D,20030206,000000,815.00,828.00,775.00,815.00,639800,0
LMI.L,D,20030207,000000,814.00,825.50,796.00,817.50,421300,0
LMI.L,D,20030210,000000,817.50,826.50,812.00,816.00,262700,0
LMI.L,D,20030211,000000,799.50,833.50,799.50,826.00,676400,0
LMI.L,D,20030212,000000,824.00,838.00,820.00,825.00,377500,0
LMI.L,D,20030213,000000,825.00,830.00,815.00,818.00,784000,0
LMI.L,D,20030214,000000,825.00,825.00,810.00,812.00,414200,0
LMI.L,D,20030217,000000,810.00,850.00,810.00,840.50,486800,0
LMI.L,D,20030218,000000,840.00,856.50,829.50,848.00,314900,0
LMI.L,D,20030219,000000,848.00,867.00,838.00,867.00,282200,0
LMI.L,D,20030220,000000,859.00,859.00,819.00,831.50,833200,0
LMI.L,D,20030221,000000,831.00,862.50,825.50,862.50,432300,0
LMI.L,D,20030224,000000,862.00,876.50,841.00,870.00,362800,0
LMI.L,D,20030225,000000,868.00,868.00,840.00,856.00,679600,0
LMI.L,D,20030226,000000,859.50,859.50,836.00,840.00,358600,0
LMI.L,D,20030227,000000,835.00,839.00,810.00,826.00,388500,0
LMI.L,D,20030228,000000,821.50,831.00,820.50,825.50,455000,0
LMI.L,D,20030303,000000,827.50,830.00,822.00,827.00,803300,0
LMI.L,D,20030304,000000,823.50,825.00,816.00,820.00,687700,0
LMI.L,D,20030305,000000,815.00,840.00,809.00,825.00,592800,0
LMI.L,D,20030306,000000,820.00,822.00,804.50,810.50,377400,0
LMI.L,D,20030307,000000,819.00,819.00,766.00,772.00,537900,0
LMI.L,D,20030310,000000,776.50,790.00,772.00,772.00,309200,0
LMI.L,D,20030311,000000,775.00,775.00,747.00,749.00,576400,0
LMI.L,D,20030312,000000,749.50,750.00,730.00,740.00,461500,0
LMI.L,D,20030313,000000,737.00,778.50,736.00,769.00,536700,0
LMI.L,D,20030314,000000,773.00,777.00,761.50,765.50,519200,0
LMI.L,D,20030317,000000,765.50,778.50,758.00,772.00,388400,0
LMI.L,D,20030318,000000,779.50,786.50,765.00,777.00,492100,0
LMI.L,D,20030319,000000,779.50,781.50,774.00,775.00,481300,0
LMI.L,D,20030320,000000,777.00,777.00,750.50,760.00,428900,0
LMI.L,D,20030321,000000,760.00,765.00,755.00,760.00,776300,0
LMI.L,D,20030324,000000,747.00,748.50,713.50,730.00,433500,0
LMI.L,D,20030325,000000,740.00,740.00,722.50,730.00,420600,0
LMI.L,D,20030326,000000,735.00,738.00,719.00,722.50,506500,0
LMI.L,D,20030327,000000,715.50,729.00,710.00,711.50,463200,0
