<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MKS.L,D,20030101,000000,315.00,315.00,315.00,315.00,000,0
MKS.L,D,20030102,000000,311.50,321.50,311.50,321.00,3815100,0
MKS.L,D,20030103,000000,321.50,323.75,312.50,316.00,4756000,0
MKS.L,D,20030106,000000,319.00,325.00,315.00,321.50,4957800,0
MKS.L,D,20030107,000000,325.50,327.75,317.75,323.00,4022900,0
MKS.L,D,20030108,000000,323.00,324.25,307.50,310.50,8974000,0
MKS.L,D,20030109,000000,307.50,326.00,306.00,324.50,6764500,0
MKS.L,D,20030110,000000,321.00,337.00,321.00,331.75,10546000,0
MKS.L,D,20030113,000000,336.50,339.00,330.75,335.00,5178000,0
MKS.L,D,20030114,000000,337.25,336.25,321.00,323.00,10008400,0
MKS.L,D,20030115,000000,314.25,322.00,303.25,304.00,16066000,0
MKS.L,D,20030116,000000,307.00,317.00,307.00,314.50,11407600,0
MKS.L,D,20030117,000000,315.75,318.50,312.00,317.00,5274400,0
MKS.L,D,20030120,000000,317.00,320.50,310.00,310.25,5135400,0
MKS.L,D,20030121,000000,314.00,314.00,302.00,303.50,5117000,0
MKS.L,D,20030122,000000,303.50,303.50,295.25,296.75,7362000,0
MKS.L,D,20030123,000000,303.50,311.50,296.25,300.00,6673400,0
MKS.L,D,20030124,000000,301.00,304.00,295.25,299.25,5351600,0
MKS.L,D,20030127,000000,299.50,299.50,285.25,288.00,6300600,0
MKS.L,D,20030128,000000,295.00,295.00,283.50,287.50,5871800,0
MKS.L,D,20030129,000000,290.75,294.75,280.25,291.00,7053100,0
MKS.L,D,20030130,000000,290.75,298.00,288.25,297.75,4277500,0
MKS.L,D,20030131,000000,293.50,299.75,289.25,297.50,5237900,0
MKS.L,D,20030203,000000,302.50,307.00,300.00,306.50,4155300,0
MKS.L,D,20030204,000000,304.50,309.75,296.00,299.25,5427000,0
MKS.L,D,20030205,000000,298.50,313.00,296.50,310.00,3592600,0
MKS.L,D,20030206,000000,306.00,317.50,306.00,312.00,9578700,0
MKS.L,D,20030207,000000,309.25,317.75,303.75,311.25,5611500,0
MKS.L,D,20030210,000000,314.00,314.00,306.00,309.00,3486200,0
MKS.L,D,20030211,000000,315.50,315.50,306.75,310.25,4942700,0
MKS.L,D,20030212,000000,308.00,308.50,295.00,297.00,8244600,0
MKS.L,D,20030213,000000,295.75,295.75,287.50,289.00,10383200,0
MKS.L,D,20030214,000000,292.25,297.00,289.50,289.50,7172100,0
MKS.L,D,20030217,000000,295.00,299.25,293.50,297.25,5705400,0
MKS.L,D,20030218,000000,302.00,308.00,295.25,305.00,6549500,0
MKS.L,D,20030219,000000,308.00,308.75,301.50,301.50,4391700,0
MKS.L,D,20030220,000000,306.00,310.75,300.00,305.00,4515500,0
MKS.L,D,20030221,000000,300.00,310.75,300.00,310.50,5884700,0
MKS.L,D,20030224,000000,312.00,312.00,308.00,309.50,5302500,0
MKS.L,D,20030225,000000,306.00,308.00,301.25,303.00,7875700,0
MKS.L,D,20030226,000000,306.00,307.50,300.00,304.50,4926200,0
MKS.L,D,20030227,000000,304.50,309.50,299.25,300.50,4785900,0
MKS.L,D,20030228,000000,300.00,307.50,299.00,305.50,5095200,0
MKS.L,D,20030303,000000,305.00,307.75,300.00,306.00,3498700,0
MKS.L,D,20030304,000000,304.25,307.75,302.25,303.00,3835100,0
MKS.L,D,20030305,000000,306.75,306.75,286.00,286.00,10897500,0
MKS.L,D,20030306,000000,286.00,293.00,285.75,287.00,5726900,0
MKS.L,D,20030307,000000,289.00,289.00,276.50,280.00,7368400,0
MKS.L,D,20030310,000000,279.50,279.50,268.00,268.00,9959100,0
MKS.L,D,20030311,000000,262.75,276.50,262.75,276.50,8514200,0
MKS.L,D,20030312,000000,266.00,277.75,258.50,262.50,8308500,0
MKS.L,D,20030313,000000,265.00,277.00,265.00,276.00,8241900,0
MKS.L,D,20030314,000000,281.00,291.75,279.00,286.00,7665100,0
MKS.L,D,20030317,000000,282.25,302.75,279.75,295.50,6296900,0
MKS.L,D,20030318,000000,294.75,306.50,291.00,303.00,11933200,0
MKS.L,D,20030319,000000,302.50,304.75,295.25,301.50,6594100,0
MKS.L,D,20030320,000000,304.00,305.00,296.25,301.00,4363600,0
MKS.L,D,20030321,000000,303.75,308.50,301.50,308.00,5729100,0
MKS.L,D,20030324,000000,305.75,306.25,297.00,301.25,4604000,0
MKS.L,D,20030325,000000,295.25,296.50,287.00,289.75,7119300,0
MKS.L,D,20030326,000000,294.00,298.00,289.50,293.50,6404900,0
MKS.L,D,20030327,000000,283.25,289.75,283.25,286.25,4741700,0
MKS.L,D,20030328,000000,287.25,293.75,286.25,289.25,5265100,0
MKS.L,D,20030331,000000,278.00,288.75,274.00,282.00,4152300,0
MKS.L,D,20030401,000000,283.75,288.50,269.75,284.00,4394400,0
MKS.L,D,20030402,000000,281.00,294.75,281.00,289.75,6409400,0
MKS.L,D,20030403,000000,290.00,294.50,283.00,287.00,7173900,0
MKS.L,D,20030404,000000,285.25,294.00,281.50,294.00,5324900,0
MKS.L,D,20030407,000000,297.00,302.50,292.00,295.25,7643500,0
MKS.L,D,20030408,000000,281.00,287.00,278.25,280.75,10411900,0
MKS.L,D,20030409,000000,278.75,282.75,271.00,275.50,8791800,0
MKS.L,D,20030410,000000,273.00,277.25,273.00,273.50,5986800,0
MKS.L,D,20030411,000000,276.00,280.50,275.75,275.75,7590700,0
MKS.L,D,20030414,000000,277.00,277.50,275.00,275.25,2929100,0
MKS.L,D,20030415,000000,278.00,289.00,278.00,282.50,5445400,0
MKS.L,D,20030416,000000,282.00,288.00,279.25,280.50,4739600,0
MKS.L,D,20030417,000000,279.75,288.25,279.00,285.00,3921700,0
MKS.L,D,20030418,000000,285.00,285.00,285.00,285.00,000,0
MKS.L,D,20030421,000000,285.00,285.00,285.00,285.00,000,0
MKS.L,D,20030422,000000,291.50,291.50,280.75,289.25,6360400,0
MKS.L,D,20030423,000000,292.00,303.00,291.00,299.50,11561600,0
MKS.L,D,20030424,000000,297.00,301.75,290.50,294.50,4902200,0
MKS.L,D,20030425,000000,292.50,296.00,288.50,290.50,3812100,0
MKS.L,D,20030428,000000,289.00,291.75,283.50,289.25,4272300,0
MKS.L,D,20030429,000000,291.75,296.00,287.75,288.25,3862800,0
MKS.L,D,20030430,000000,289.75,295.00,287.50,291.50,4772900,0
MKS.L,D,20030501,000000,293.00,293.00,281.00,281.50,2321100,0
MKS.L,D,20030502,000000,283.75,294.00,282.25,293.25,4102400,0
MKS.L,D,20030505,000000,293.25,293.25,293.25,293.25,000,0
MKS.L,D,20030506,000000,295.50,302.00,289.25,302.00,5698800,0
MKS.L,D,20030507,000000,302.00,302.75,294.25,299.75,5168700,0
MKS.L,D,20030508,000000,298.50,298.75,291.00,291.00,4429700,0
MKS.L,D,20030509,000000,293.00,298.50,290.25,295.75,4011800,0
MKS.L,D,20030512,000000,298.00,301.25,295.75,301.25,4365700,0
MKS.L,D,20030513,000000,300.75,315.75,300.75,315.00,10553400,0
MKS.L,D,20030514,000000,313.00,320.00,312.75,315.75,7268300,0
MKS.L,D,20030515,000000,315.00,315.00,311.50,315.00,5083900,0
MKS.L,D,20030516,000000,312.50,320.00,312.00,318.50,7369900,0
MKS.L,D,20030519,000000,317.00,317.25,304.25,306.00,5883000,0
MKS.L,D,20030520,000000,309.00,313.00,298.50,300.00,14955000,0
MKS.L,D,20030521,000000,301.00,301.50,296.00,300.00,7071600,0
MKS.L,D,20030522,000000,298.25,302.75,298.00,299.50,5641500,0
MKS.L,D,20030523,000000,299.00,301.75,290.00,294.00,6353500,0
MKS.L,D,20030526,000000,294.00,294.00,294.00,294.00,000,0
MKS.L,D,20030527,000000,296.00,296.00,289.00,292.75,7421900,0
MKS.L,D,20030528,000000,291.00,295.00,289.00,295.00,6992800,0
MKS.L,D,20030529,000000,295.50,295.50,286.50,292.25,5782500,0
MKS.L,D,20030530,000000,289.00,291.00,284.50,286.00,8169300,0
MKS.L,D,20030602,000000,285.50,289.75,285.25,288.50,6333000,0
MKS.L,D,20030603,000000,285.00,289.75,285.00,288.50,5181000,0
MKS.L,D,20030604,000000,285.00,287.50,282.00,282.50,6486400,0
MKS.L,D,20030605,000000,282.50,284.00,273.00,278.00,19012800,0
MKS.L,D,20030606,000000,280.00,289.50,279.00,284.50,11462700,0
MKS.L,D,20030609,000000,283.75,288.75,283.50,286.00,6369500,0
MKS.L,D,20030610,000000,285.75,289.50,283.25,283.25,4635000,0
MKS.L,D,20030611,000000,285.00,297.00,285.00,294.75,14777800,0
MKS.L,D,20030612,000000,295.00,301.50,293.25,297.25,11436700,0
MKS.L,D,20030613,000000,299.75,302.50,294.00,297.00,6806400,0
MKS.L,D,20030616,000000,300.50,304.75,295.50,302.50,5997600,0
MKS.L,D,20030617,000000,306.50,313.00,304.25,310.25,14605400,0
MKS.L,D,20030618,000000,309.50,312.00,309.00,310.00,10858900,0
MKS.L,D,20030619,000000,312.00,312.00,302.50,304.00,5929900,0
MKS.L,D,20030620,000000,304.75,308.75,304.00,306.75,3059700,0
MKS.L,D,20030623,000000,304.00,307.25,303.50,304.50,4187600,0
MKS.L,D,20030624,000000,307.00,307.00,300.00,302.75,4647000,0
MKS.L,D,20030625,000000,306.75,310.50,303.25,306.25,5910300,0
MKS.L,D,20030626,000000,302.00,311.00,302.00,310.25,6346800,0
MKS.L,D,20030627,000000,314.00,316.25,310.75,314.50,7155800,0
MKS.L,D,20030630,000000,314.25,319.25,311.50,315.75,5956900,0
MKS.L,D,20030701,000000,315.75,316.50,308.50,309.25,9637700,0
MKS.L,D,20030702,000000,311.00,315.50,310.25,315.00,6051500,0
MKS.L,D,20030703,000000,313.50,322.00,313.50,322.00,7757000,0
MKS.L,D,20030704,000000,320.00,321.75,315.25,318.00,4569000,0
MKS.L,D,20030707,000000,316.00,321.75,316.00,319.50,3385000,0
MKS.L,D,20030708,000000,320.25,327.75,319.00,325.00,5207400,0
MKS.L,D,20030709,000000,325.50,332.00,323.25,325.00,7034700,0
MKS.L,D,20030710,000000,324.50,325.00,320.00,320.00,4044700,0
MKS.L,D,20030711,000000,317.25,327.75,317.00,326.50,6391200,0
MKS.L,D,20030714,000000,330.00,339.00,328.00,339.00,8257500,0
MKS.L,D,20030715,000000,335.00,338.75,332.75,335.00,9421300,0
MKS.L,D,20030716,000000,328.00,328.00,310.00,311.25,27792100,0
MKS.L,D,20030717,000000,310.00,312.00,307.00,308.00,9396000,0
MKS.L,D,20030718,000000,310.00,321.00,310.00,317.50,6256200,0
MKS.L,D,20030721,000000,317.00,319.00,312.25,312.25,4095900,0
MKS.L,D,20030722,000000,312.50,316.75,312.50,316.75,4680700,0
MKS.L,D,20030723,000000,317.75,321.50,315.75,319.75,5279000,0
MKS.L,D,20030724,000000,320.00,320.00,314.25,318.25,6674000,0
MKS.L,D,20030725,000000,315.50,319.25,314.75,316.00,4860400,0
MKS.L,D,20030728,000000,314.75,320.00,313.50,316.75,2670400,0
MKS.L,D,20030729,000000,316.00,317.50,311.25,313.50,4939700,0
MKS.L,D,20030730,000000,314.25,315.00,312.00,312.75,3103700,0
MKS.L,D,20030731,000000,315.50,315.50,309.00,312.00,5134900,0
MKS.L,D,20030801,000000,311.25,313.25,305.00,305.00,3668800,0
MKS.L,D,20030804,000000,303.50,309.75,303.50,304.50,5699300,0
MKS.L,D,20030805,000000,304.25,306.25,302.00,302.25,4582300,0
MKS.L,D,20030806,000000,304.00,306.50,298.00,304.00,4737500,0
MKS.L,D,20030807,000000,305.75,306.25,301.25,305.00,5621800,0
MKS.L,D,20030808,000000,307.00,307.00,303.50,305.50,2812200,0
MKS.L,D,20030811,000000,306.00,308.75,305.00,307.25,2197200,0
MKS.L,D,20030812,000000,308.00,311.00,308.00,310.25,3199500,0
MKS.L,D,20030813,000000,311.00,316.75,311.00,313.00,5104900,0
MKS.L,D,20030814,000000,314.00,316.50,311.25,312.00,3202600,0
MKS.L,D,20030815,000000,313.50,314.75,305.75,311.50,3986800,0
MKS.L,D,20030818,000000,308.00,314.50,308.00,311.50,2472600,0
MKS.L,D,20030819,000000,312.00,312.00,307.25,309.00,3557000,0
MKS.L,D,20030820,000000,310.50,315.00,307.00,313.50,4403300,0
MKS.L,D,20030821,000000,314.00,317.00,312.50,316.25,5257100,0
MKS.L,D,20030822,000000,316.50,319.00,311.75,313.50,2460900,0
MKS.L,D,20030825,000000,313.50,313.50,313.50,313.50,000,0
MKS.L,D,20030826,000000,311.00,318.00,307.25,309.50,5205500,0
MKS.L,D,20030827,000000,310.25,312.25,306.50,310.50,3438600,0
MKS.L,D,20030828,000000,308.25,310.00,303.25,304.25,6629400,0
MKS.L,D,20030829,000000,305.50,307.75,303.00,304.50,4576900,0
MKS.L,D,20030901,000000,303.25,307.75,303.25,306.25,4223300,0
MKS.L,D,20030902,000000,308.00,308.00,301.50,302.50,8228500,0
MKS.L,D,20030903,000000,306.50,310.00,304.75,307.50,7494800,0
MKS.L,D,20030904,000000,308.00,309.00,304.25,308.00,5545600,0
MKS.L,D,20030905,000000,306.75,311.00,306.75,310.50,6019500,0
MKS.L,D,20030908,000000,306.75,314.00,306.75,312.75,6621700,0
MKS.L,D,20030909,000000,313.00,314.00,309.56,310.25,4509500,0
MKS.L,D,20030910,000000,312.00,312.10,308.00,310.00,6790200,0
MKS.L,D,20030911,000000,307.75,311.50,307.75,309.75,5447500,0
MKS.L,D,20030912,000000,312.00,312.00,308.25,309.25,6737200,0
MKS.L,D,20030915,000000,310.25,316.75,310.25,315.25,7237400,0
MKS.L,D,20030916,000000,315.00,322.25,315.00,320.00,8115400,0
MKS.L,D,20030917,000000,322.25,326.25,319.25,324.50,12639500,0
MKS.L,D,20030918,000000,321.50,324.00,315.50,322.25,12856800,0
MKS.L,D,20030919,000000,322.25,322.50,312.75,315.00,8898900,0
MKS.L,D,20030922,000000,313.50,317.50,308.50,311.25,5827100,0
MKS.L,D,20030923,000000,311.00,321.25,317.75,317.75,8209000,0
MKS.L,D,20030924,000000,320.00,321.25,316.50,319.00,5020400,0
MKS.L,D,20030925,000000,318.00,318.00,312.25,314.75,4705200,0
MKS.L,D,20030926,000000,315.00,315.75,311.00,314.00,3870300,0
MKS.L,D,20030929,000000,317.75,317.75,310.00,310.75,4349400,0
MKS.L,D,20030930,000000,310.75,307.75,303.00,306.00,6169700,0
MKS.L,D,20031001,000000,306.75,312.00,303.50,310.75,6681800,0
MKS.L,D,20031002,000000,313.75,314.00,305.25,309.50,7079600,0
MKS.L,D,20031003,000000,309.75,314.00,308.00,312.50,5976100,0
MKS.L,D,20031006,000000,310.25,317.75,309.50,315.75,5131300,0
MKS.L,D,20031007,000000,310.00,311.75,305.50,306.25,13208400,0
MKS.L,D,20031008,000000,306.50,306.75,303.25,303.50,13160600,0
MKS.L,D,20031009,000000,304.00,304.00,295.75,297.00,17304700,0
MKS.L,D,20031010,000000,301.00,302.50,296.00,299.25,11611400,0
MKS.L,D,20031013,000000,300.00,304.00,300.00,303.75,5717500,0
MKS.L,D,20031014,000000,303.00,301.25,300.00,301.00,5549500,0
MKS.L,D,20031015,000000,301.75,311.75,311.25,311.50,12999300,0
MKS.L,D,20031016,000000,307.00,311.25,303.00,304.25,8090300,0
MKS.L,D,20031017,000000,306.75,307.75,298.25,299.50,8410300,0
MKS.L,D,20031020,000000,299.75,300.50,296.75,298.75,4934100,0
MKS.L,D,20031021,000000,299.50,299.75,293.75,293.75,5289300,0
MKS.L,D,20031022,000000,296.00,297.00,287.50,290.75,12771300,0
MKS.L,D,20031023,000000,289.00,289.75,285.50,286.00,5977200,0
MKS.L,D,20031024,000000,285.75,290.00,282.50,287.25,8717400,0
MKS.L,D,20031027,000000,288.50,293.00,288.50,289.75,6124500,0
MKS.L,D,20031028,000000,291.00,295.25,289.50,292.75,6728300,0
MKS.L,D,20031029,000000,294.50,296.00,292.25,293.50,4400300,0
MKS.L,D,20031030,000000,292.00,294.00,283.50,287.50,12763300,0
MKS.L,D,20031031,000000,289.75,289.75,285.00,287.75,5769700,0
MKS.L,D,20031103,000000,285.00,289.00,284.50,287.25,8000100,0
MKS.L,D,20031104,000000,294.50,298.50,282.25,285.00,20894300,0
MKS.L,D,20031105,000000,286.25,286.50,282.25,284.00,12776900,0
MKS.L,D,20031106,000000,285.50,289.00,284.75,287.00,9641900,0
MKS.L,D,20031107,000000,289.00,289.00,280.25,284.00,12696400,0
MKS.L,D,20031110,000000,282.00,286.50,282.00,283.75,8089000,0
MKS.L,D,20031111,000000,284.25,285.50,282.25,283.25,8755300,0
MKS.L,D,20031112,000000,281.50,287.75,280.00,283.00,13881100,0
MKS.L,D,20031113,000000,286.50,287.50,283.25,286.50,8557200,0
MKS.L,D,20031114,000000,287.25,287.50,285.50,286.00,4844200,0
MKS.L,D,20031117,000000,284.00,286.25,279.00,279.25,5854400,0
MKS.L,D,20031118,000000,280.50,281.00,269.25,273.75,14118200,0
MKS.L,D,20031119,000000,273.00,277.50,272.00,277.00,11052000,0
MKS.L,D,20031120,000000,278.00,278.00,268.00,275.25,11840200,0
MKS.L,D,20031121,000000,275.50,275.50,269.50,270.00,9297200,0
MKS.L,D,20031124,000000,272.75,275.75,270.25,275.75,6563500,0
MKS.L,D,20031125,000000,274.25,276.00,270.25,272.50,7836100,0
MKS.L,D,20031126,000000,272.50,276.50,272.00,274.50,6743700,0
MKS.L,D,20031127,000000,274.25,274.25,269.25,270.75,5105400,0
MKS.L,D,20031128,000000,270.00,271.00,266.00,268.50,6938500,0
MKS.L,D,20031201,000000,269.00,273.25,269.00,272.50,4879900,0
MKS.L,D,20031202,000000,270.25,275.00,268.50,270.25,5853800,0
MKS.L,D,20031203,000000,271.50,274.00,269.25,272.00,9598500,0
MKS.L,D,20031204,000000,272.00,279.00,272.00,278.25,14753700,0
MKS.L,D,20031205,000000,278.50,279.00,275.00,276.00,7528000,0
MKS.L,D,20031208,000000,275.25,281.50,275.25,280.00,9420400,0
MKS.L,D,20031209,000000,282.00,287.25,280.25,285.00,16762900,0
MKS.L,D,20031210,000000,283.50,287.75,275.00,278.25,13671700,0
MKS.L,D,20031211,000000,274.00,278.75,276.50,277.25,16970500,0
MKS.L,D,20031212,000000,278.50,279.00,274.00,277.50,6969600,0
MKS.L,D,20031215,000000,280.00,280.00,274.25,276.00,7279600,0
MKS.L,D,20031216,000000,275.50,275.75,272.00,273.50,5565900,0
MKS.L,D,20031217,000000,273.00,276.00,269.25,273.00,8982400,0
MKS.L,D,20031218,000000,273.00,278.75,277.25,278.00,6191600,0
MKS.L,D,20031219,000000,279.75,284.75,278.50,282.50,13222600,0
MKS.L,D,20031222,000000,274.00,282.00,273.75,276.00,8882800,0
MKS.L,D,20031223,000000,282.00,284.50,276.25,284.25,7818900,0
MKS.L,D,20031224,000000,283.00,286.00,282.25,286.00,1639400,0
MKS.L,D,20031225,000000,286.00,286.00,286.00,286.00,000,0
MKS.L,D,20031226,000000,286.00,286.00,286.00,286.00,000,0
MKS.L,D,20031229,000000,288.50,289.75,283.25,289.75,4157500,0
MKS.L,D,20031230,000000,289.00,290.00,285.75,288.75,4835200,0
MKS.L,D,20031231,000000,289.75,290.00,288.25,289.00,1466800,0
MKS.L,D,20040101,000000,289.00,289.00,289.00,289.00,000,0
MKS.L,D,20040102,000000,286.00,290.00,282.75,289.25,3961800,0
MKS.L,D,20040105,000000,290.00,290.00,283.75,284.75,5939500,0
MKS.L,D,20040106,000000,287.00,289.75,279.00,279.00,13757600,0
MKS.L,D,20040107,000000,280.50,283.00,278.00,279.75,6717900,0
MKS.L,D,20040108,000000,282.50,285.00,280.00,283.25,6927700,0
MKS.L,D,20040109,000000,282.00,282.00,274.25,277.25,13352500,0
MKS.L,D,20040112,000000,277.50,280.00,273.00,277.50,8083400,0
MKS.L,D,20040113,000000,278.00,278.00,274.00,274.25,7706800,0
MKS.L,D,20040114,000000,277.00,283.50,273.50,276.25,14478200,0
MKS.L,D,20040115,000000,276.50,276.50,267.00,270.50,15909500,0
MKS.L,D,20040116,000000,270.75,272.00,266.00,270.75,12760900,0
MKS.L,D,20040119,000000,270.50,273.25,270.50,271.75,6717100,0
MKS.L,D,20040120,000000,271.75,277.75,271.75,273.25,9808400,0
MKS.L,D,20040121,000000,273.75,282.00,273.75,277.75,14070200,0
MKS.L,D,20040122,000000,278.25,280.25,274.75,275.75,6782100,0
MKS.L,D,20040123,000000,276.51,278.50,274.00,275.00,8109400,0
MKS.L,D,20040126,000000,278.50,278.50,271.50,272.50,6301200,0
MKS.L,D,20040127,000000,276.50,277.50,272.00,275.25,11199800,0
MKS.L,D,20040128,000000,275.25,281.25,274.75,275.50,8399200,0
MKS.L,D,20040129,000000,274.00,276.50,273.00,273.25,5056400,0
MKS.L,D,20040130,000000,273.75,275.25,269.00,270.50,9512600,0
MKS.L,D,20040202,000000,272.75,272.75,268.25,269.75,7788400,0
MKS.L,D,20040203,000000,270.00,270.75,267.25,269.75,6318800,0
MKS.L,D,20040204,000000,269.00,271.50,269.00,271.00,3297200,0
MKS.L,D,20040205,000000,272.25,272.50,268.50,269.75,5732100,0
MKS.L,D,20040206,000000,271.50,281.00,270.25,278.75,21122900,0
MKS.L,D,20040209,000000,278.50,279.50,275.50,278.00,6501700,0
MKS.L,D,20040210,000000,278.00,278.25,275.50,276.50,3778300,0
MKS.L,D,20040211,000000,277.50,278.00,274.50,277.00,3172800,0
MKS.L,D,20040212,000000,276.50,280.00,275.75,276.75,7114100,0
MKS.L,D,20040213,000000,275.50,281.00,275.00,275.25,6265100,0
MKS.L,D,20040216,000000,274.50,277.00,273.00,276.00,4097200,0
MKS.L,D,20040217,000000,278.00,287.75,275.00,286.50,13826300,0
MKS.L,D,20040218,000000,286.50,291.00,284.50,285.50,7687000,0
MKS.L,D,20040219,000000,287.25,299.00,287.25,298.50,14494700,0
MKS.L,D,20040220,000000,299.75,299.75,294.25,298.00,13237700,0
MKS.L,D,20040223,000000,296.00,300.25,296.00,299.00,4207500,0
MKS.L,D,20040224,000000,298.00,299.00,293.75,294.25,7107700,0
MKS.L,D,20040225,000000,295.00,296.50,293.00,294.00,6434500,0
MKS.L,D,20040226,000000,296.25,297.25,293.00,294.00,3272500,0
MKS.L,D,20040227,000000,293.25,299.25,292.50,293.00,8522200,0
MKS.L,D,20040301,000000,295.75,300.75,298.25,299.00,6751700,0
MKS.L,D,20040302,000000,302.00,304.25,297.50,298.25,7951500,0
MKS.L,D,20040303,000000,298.25,303.25,298.00,302.25,6779100,0
MKS.L,D,20040304,000000,300.00,302.00,292.25,292.25,13160400,0
MKS.L,D,20040305,000000,292.25,293.50,286.75,292.00,13862200,0
MKS.L,D,20040308,000000,292.50,293.50,290.25,292.25,5377700,0
MKS.L,D,20040309,000000,289.00,292.25,287.50,288.50,4882500,0
MKS.L,D,20040310,000000,285.75,286.00,283.00,284.75,8846100,0
MKS.L,D,20040311,000000,283.00,284.75,277.50,282.50,16002600,0
MKS.L,D,20040312,000000,278.50,285.75,278.00,283.00,6159200,0
MKS.L,D,20040315,000000,281.25,284.75,279.50,279.50,5756200,0
MKS.L,D,20040316,000000,279.00,281.00,277.75,279.25,4988500,0
MKS.L,D,20040317,000000,281.25,288.25,279.00,285.00,7570700,0
MKS.L,D,20040318,000000,286.50,288.25,280.50,282.25,9447100,0
MKS.L,D,20040319,000000,284.25,292.00,284.00,290.50,7867800,0
MKS.L,D,20040322,000000,289.50,289.50,281.50,283.00,5008400,0
MKS.L,D,20040323,000000,283.50,285.00,279.00,281.25,4866800,0
MKS.L,D,20040324,000000,281.00,283.00,277.25,278.75,3949400,0
MKS.L,D,20040325,000000,280.00,285.50,279.00,284.00,8436300,0
MKS.L,D,20040326,000000,286.50,286.50,276.50,279.50,7180000,0
MKS.L,D,20040329,000000,279.25,279.25,275.00,278.25,6157900,0
MKS.L,D,20040330,000000,278.00,280.00,274.00,279.75,7000900,0
MKS.L,D,20040331,000000,279.00,283.50,276.75,278.50,6348500,0
MKS.L,D,20040401,000000,281.00,285.00,279.50,283.25,7129800,0
MKS.L,D,20040402,000000,284.25,284.75,281.50,284.00,8273300,0
MKS.L,D,20040405,000000,283.75,283.75,280.50,283.00,5220200,0
MKS.L,D,20040406,000000,283.00,283.00,278.00,281.25,4232100,0
MKS.L,D,20040407,000000,282.00,284.00,280.25,283.25,5870900,0
MKS.L,D,20040408,000000,284.50,284.50,272.50,275.25,12798300,0
MKS.L,D,20040409,000000,275.25,275.25,275.25,275.25,000,0
MKS.L,D,20040412,000000,275.25,275.25,275.25,275.25,000,0
MKS.L,D,20040413,000000,275.25,278.25,271.25,276.50,9705200,0
MKS.L,D,20040414,000000,264.00,267.00,261.50,264.00,26330400,0
MKS.L,D,20040415,000000,262.75,267.75,260.50,266.00,12540600,0
MKS.L,D,20040416,000000,266.25,266.25,261.50,264.50,8883500,0
MKS.L,D,20040419,000000,270.00,280.00,269.00,277.50,24373300,0
MKS.L,D,20040420,000000,276.00,278.75,275.00,277.50,7473000,0
MKS.L,D,20040421,000000,275.00,278.00,272.25,277.00,10373700,0
MKS.L,D,20040422,000000,277.75,279.00,274.00,279.00,5626600,0
MKS.L,D,20040423,000000,279.00,283.00,278.50,282.50,10867900,0
MKS.L,D,20040426,000000,282.25,283.25,280.75,282.25,6465800,0
MKS.L,D,20040427,000000,280.75,283.00,275.50,278.00,6470900,0
MKS.L,D,20040428,000000,280.00,280.00,276.00,276.75,5735000,0
MKS.L,D,20040429,000000,276.25,278.25,273.50,275.75,9135200,0
MKS.L,D,20040430,000000,275.75,277.25,275.50,276.25,5752700,0
MKS.L,D,20040503,000000,276.25,276.25,276.25,276.25,000,0
MKS.L,D,20040504,000000,276.00,280.00,275.00,279.75,10514100,0
MKS.L,D,20040505,000000,278.00,282.50,277.00,281.75,8625700,0
MKS.L,D,20040506,000000,281.25,282.00,277.25,278.50,9497100,0
MKS.L,D,20040507,000000,279.00,280.50,276.00,277.00,7784600,0
MKS.L,D,20040510,000000,274.00,276.75,269.25,270.00,9590400,0
MKS.L,D,20040511,000000,273.00,275.75,271.50,274.00,6846100,0
MKS.L,D,20040512,000000,272.75,273.25,269.25,271.00,7172300,0
MKS.L,D,20040513,000000,271.00,276.50,270.75,275.25,10129600,0
MKS.L,D,20040514,000000,275.75,282.75,275.75,282.00,15526800,0
MKS.L,D,20040517,000000,278.50,279.25,274.25,279.25,10790200,0
MKS.L,D,20040518,000000,280.00,283.50,279.75,282.25,7579700,0
MKS.L,D,20040519,000000,280.75,287.75,280.75,286.00,10565700,0
MKS.L,D,20040520,000000,282.50,285.25,280.75,281.75,5185000,0
MKS.L,D,20040521,000000,281.00,283.75,279.50,279.75,6252100,0
MKS.L,D,20040524,000000,278.00,281.00,276.00,279.50,9059200,0
MKS.L,D,20040525,000000,280.50,284.00,274.75,280.25,9583600,0
MKS.L,D,20040526,000000,277.50,291.00,277.50,290.50,19479500,0
MKS.L,D,20040527,000000,291.25,360.00,290.00,345.00,54200300,0
MKS.L,D,20040528,000000,355.00,366.50,350.00,359.50,93722600,0
MKS.L,D,20040531,000000,359.50,359.50,359.50,359.50,000,0
MKS.L,D,20040601,000000,359.25,370.00,358.00,365.50,50133800,0
