<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MRW.L,D,20030101,000000,216.00,216.00,216.00,216.00,000,0
MRW.L,D,20030102,000000,214.00,218.00,213.00,218.00,2018500,0
MRW.L,D,20030103,000000,216.75,220.75,214.25,216.25,1229600,0
MRW.L,D,20030106,000000,216.75,216.75,211.00,215.00,1332000,0
MRW.L,D,20030107,000000,214.00,218.00,211.50,213.00,1675500,0
MRW.L,D,20030108,000000,213.00,213.00,207.00,210.25,2772400,0
MRW.L,D,20030109,000000,198.00,200.00,179.75,180.00,48420700,0
MRW.L,D,20030110,000000,186.00,192.00,178.75,190.50,41947200,0
MRW.L,D,20030113,000000,194.00,194.00,183.50,185.00,25896200,0
MRW.L,D,20030114,000000,188.00,189.00,182.50,184.25,13148900,0
MRW.L,D,20030115,000000,186.49,186.00,175.50,179.00,8335500,0
MRW.L,D,20030116,000000,178.75,180.00,172.75,178.00,11044700,0
MRW.L,D,20030117,000000,178.00,183.75,177.00,182.25,9217800,0
MRW.L,D,20030120,000000,184.50,187.00,183.50,186.50,5588400,0
MRW.L,D,20030121,000000,186.50,187.75,183.50,184.00,6689500,0
MRW.L,D,20030122,000000,186.00,187.00,181.00,182.50,6215700,0
MRW.L,D,20030123,000000,181.50,184.25,175.00,178.00,6334700,0
MRW.L,D,20030124,000000,183.00,183.00,169.75,172.50,6503500,0
MRW.L,D,20030127,000000,172.00,172.25,166.00,168.00,7513500,0
MRW.L,D,20030128,000000,171.50,172.00,164.50,164.75,4139100,0
MRW.L,D,20030129,000000,164.00,166.00,159.00,159.00,5356800,0
MRW.L,D,20030130,000000,161.75,172.50,159.00,169.50,4033300,0
MRW.L,D,20030131,000000,166.25,167.25,158.50,158.50,7306900,0
MRW.L,D,20030203,000000,162.00,170.00,162.00,169.75,5553300,0
MRW.L,D,20030204,000000,172.00,173.00,168.00,169.00,6028600,0
MRW.L,D,20030205,000000,169.00,175.00,166.50,171.50,3802500,0
MRW.L,D,20030206,000000,170.00,171.25,166.75,167.00,3284800,0
MRW.L,D,20030207,000000,167.50,170.50,166.25,170.00,1536600,0
MRW.L,D,20030210,000000,170.00,170.00,165.00,167.00,1922000,0
MRW.L,D,20030211,000000,165.00,169.75,163.50,169.00,2897300,0
MRW.L,D,20030212,000000,168.00,168.25,163.00,163.25,3339600,0
MRW.L,D,20030213,000000,162.25,165.00,160.50,162.00,2371000,0
