<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NXT.L,D,20030101,000000,736.50,736.50,736.50,736.50,000,0
NXT.L,D,20030102,000000,727.50,750.00,715.50,747.75,625800,0
NXT.L,D,20030103,000000,745.50,745.50,714.00,733.00,2225200,0
NXT.L,D,20030106,000000,733.00,742.50,719.50,732.50,1240500,0
NXT.L,D,20030107,000000,736.00,762.00,727.00,746.00,2145000,0
NXT.L,D,20030108,000000,760.00,788.00,760.00,770.00,5236400,0
NXT.L,D,20030109,000000,767.00,788.50,767.00,775.00,2178800,0
NXT.L,D,20030110,000000,775.00,806.00,775.00,796.00,2222100,0
NXT.L,D,20030113,000000,793.22,795.00,787.50,792.00,876400,0
NXT.L,D,20030114,000000,792.00,798.00,780.50,790.00,1599300,0
NXT.L,D,20030115,000000,790.01,795.00,771.00,775.00,2895200,0
NXT.L,D,20030116,000000,771.00,793.00,769.00,782.00,1290700,0
NXT.L,D,20030117,000000,782.00,790.00,772.00,775.00,748300,0
NXT.L,D,20030120,000000,778.50,794.50,778.50,787.00,893800,0
NXT.L,D,20030121,000000,794.50,794.50,771.00,777.00,1116600,0
NXT.L,D,20030122,000000,776.00,782.50,771.50,774.50,1372300,0
NXT.L,D,20030123,000000,760.00,786.00,753.00,770.00,2164600,0
NXT.L,D,20030124,000000,768.00,779.00,762.50,775.00,2185100,0
NXT.L,D,20030127,000000,763.00,770.00,743.00,752.50,1782900,0
NXT.L,D,20030128,000000,760.00,774.50,748.50,764.50,1685900,0
NXT.L,D,20030129,000000,760.50,768.50,753.50,763.50,2200300,0
NXT.L,D,20030130,000000,765.50,772.00,742.50,760.00,2935900,0
NXT.L,D,20030131,000000,750.00,769.00,750.00,760.00,2037400,0
NXT.L,D,20030203,000000,770.50,810.50,768.00,808.50,3700800,0
NXT.L,D,20030204,000000,790.00,808.00,783.00,785.00,2488300,0
NXT.L,D,20030205,000000,778.50,800.00,771.00,800.00,1995200,0
NXT.L,D,20030206,000000,793.00,814.00,778.00,791.50,3829400,0
