<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OML.L,D,20030101,000000,88.00,88.00,88.00,88.00,000,0
OML.L,D,20030102,000000,87.75,91.00,86.50,91.00,2941000,0
OML.L,D,20030103,000000,90.50,91.00,89.25,90.00,2831800,0
OML.L,D,20030106,000000,90.00,90.00,86.75,88.50,3501200,0
OML.L,D,20030107,000000,89.00,89.00,87.00,88.00,6032600,0
OML.L,D,20030108,000000,87.75,88.50,87.00,87.50,5280200,0
OML.L,D,20030109,000000,87.75,88.25,87.00,88.00,3053700,0
OML.L,D,20030110,000000,88.00,91.00,87.50,90.00,5754800,0
OML.L,D,20030113,000000,90.75,92.00,90.00,91.25,6388300,0
OML.L,D,20030114,000000,90.75,93.00,90.75,92.25,3246700,0
OML.L,D,20030115,000000,91.78,93.25,89.25,89.50,4358300,0
OML.L,D,20030116,000000,89.50,89.50,87.00,87.50,5566100,0
OML.L,D,20030117,000000,87.25,87.25,84.50,84.50,5965800,0
OML.L,D,20030120,000000,85.50,88.00,84.00,84.00,4858200,0
OML.L,D,20030121,000000,84.75,86.25,83.75,83.75,4648200,0
OML.L,D,20030122,000000,83.00,83.25,81.25,81.50,4164800,0
OML.L,D,20030123,000000,82.50,83.00,80.75,80.75,5705500,0
OML.L,D,20030124,000000,81.00,82.00,79.00,79.25,6182900,0
OML.L,D,20030127,000000,79.75,80.25,77.50,79.00,11336900,0
OML.L,D,20030128,000000,81.50,81.50,78.25,78.25,8594400,0
OML.L,D,20030129,000000,78.25,79.25,76.25,77.50,8384200,0
OML.L,D,20030130,000000,80.00,82.25,79.25,82.25,6035500,0
OML.L,D,20030131,000000,79.75,83.00,79.75,80.25,6394000,0
OML.L,D,20030203,000000,82.50,87.00,82.50,86.75,5034400,0
OML.L,D,20030204,000000,87.00,87.00,84.00,84.75,5116700,0
OML.L,D,20030205,000000,84.75,88.50,84.25,88.50,4404800,0
OML.L,D,20030206,000000,87.00,88.50,84.00,85.25,11361000,0
OML.L,D,20030207,000000,85.75,86.75,84.25,85.75,6321300,0
OML.L,D,20030210,000000,87.50,87.50,84.00,85.75,6714600,0
OML.L,D,20030211,000000,87.00,88.00,84.50,87.75,7707700,0
OML.L,D,20030212,000000,86.25,87.50,85.00,86.50,5606400,0
OML.L,D,20030213,000000,85.50,87.00,82.50,85.00,9573000,0
OML.L,D,20030214,000000,84.50,90.25,84.00,86.00,5038100,0
OML.L,D,20030217,000000,87.50,89.75,86.00,89.25,4002600,0
OML.L,D,20030218,000000,89.00,89.00,84.75,87.50,5558800,0
OML.L,D,20030219,000000,87.50,88.75,87.00,87.00,5699700,0
OML.L,D,20030220,000000,87.00,87.00,85.25,85.50,8954300,0
OML.L,D,20030221,000000,85.75,89.75,85.75,89.50,4647500,0
OML.L,D,20030224,000000,90.00,90.25,88.50,89.75,3564900,0
