<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PRU.L,D,20030101,000000,439.00,439.00,439.00,439.00,000,0
PRU.L,D,20030102,000000,435.50,462.00,434.50,459.50,2742900,0
PRU.L,D,20030103,000000,462.00,470.00,454.00,461.00,4553300,0
PRU.L,D,20030106,000000,443.50,453.00,435.00,448.50,5695700,0
PRU.L,D,20030107,000000,454.00,454.00,427.50,431.00,8366700,0
PRU.L,D,20030108,000000,430.00,430.00,416.00,423.00,5543700,0
PRU.L,D,20030109,000000,420.00,433.00,413.25,426.25,5291500,0
PRU.L,D,20030110,000000,427.00,450.50,427.00,439.50,5505300,0
PRU.L,D,20030113,000000,430.15,446.50,425.50,436.00,5316600,0
PRU.L,D,20030114,000000,439.00,443.25,422.75,428.50,6155500,0
PRU.L,D,20030115,000000,420.50,437.00,414.00,417.00,5813200,0
PRU.L,D,20030116,000000,418.00,421.50,406.00,410.50,5893000,0
PRU.L,D,20030117,000000,408.75,409.00,394.50,396.00,4879900,0
PRU.L,D,20030120,000000,400.75,402.50,385.00,385.00,5179500,0
PRU.L,D,20030121,000000,394.00,403.00,374.50,378.00,6262100,0
PRU.L,D,20030122,000000,373.75,381.00,355.00,367.50,9039500,0
PRU.L,D,20030123,000000,381.00,391.25,363.00,380.00,14957400,0
PRU.L,D,20030124,000000,392.00,399.00,380.00,388.50,11048900,0
PRU.L,D,20030127,000000,371.53,386.00,360.50,360.50,9251900,0
PRU.L,D,20030128,000000,366.25,374.00,344.00,354.00,10103100,0
PRU.L,D,20030129,000000,353.00,361.50,336.00,356.75,9617600,0
PRU.L,D,20030130,000000,361.00,379.25,360.00,375.00,8945700,0
PRU.L,D,20030131,000000,370.50,385.50,360.75,380.75,10269600,0
PRU.L,D,20030203,000000,416.50,426.50,397.25,403.75,16722300,0
PRU.L,D,20030204,000000,401.50,414.50,383.00,385.50,10906900,0
PRU.L,D,20030205,000000,385.50,403.50,377.50,400.00,8348800,0
PRU.L,D,20030206,000000,400.00,415.00,387.50,391.50,12813200,0
PRU.L,D,20030207,000000,405.00,409.50,382.00,400.00,9832900,0
PRU.L,D,20030210,000000,400.00,403.00,387.25,391.00,5379700,0
PRU.L,D,20030211,000000,391.00,408.25,388.00,405.50,4782900,0
PRU.L,D,20030212,000000,402.50,403.00,385.00,386.50,6233700,0
PRU.L,D,20030213,000000,383.00,397.00,376.00,392.25,5964700,0
PRU.L,D,20030214,000000,397.50,427.50,397.25,415.00,9318900,0
PRU.L,D,20030217,000000,424.00,431.75,406.75,412.00,9236600,0
PRU.L,D,20030218,000000,413.00,428.75,405.00,425.50,5488900,0
PRU.L,D,20030219,000000,423.25,425.00,393.25,396.00,12960500,0
PRU.L,D,20030220,000000,400.25,410.00,388.75,390.25,8682200,0
PRU.L,D,20030221,000000,390.25,395.00,381.25,392.25,6342000,0
PRU.L,D,20030224,000000,395.00,408.25,383.00,393.00,8940800,0
PRU.L,D,20030225,000000,369.00,370.00,310.00,323.75,47713900,0
PRU.L,D,20030226,000000,328.75,338.25,310.00,333.00,22198400,0
PRU.L,D,20030227,000000,333.00,338.50,321.00,330.25,13143200,0
PRU.L,D,20030228,000000,337.00,338.00,327.00,338.00,7684300,0
PRU.L,D,20030303,000000,337.75,345.00,328.50,331.75,7604200,0
PRU.L,D,20030304,000000,331.50,332.50,322.75,331.75,5299400,0
PRU.L,D,20030305,000000,329.75,329.75,310.50,315.00,10585400,0
PRU.L,D,20030306,000000,315.00,321.25,301.00,308.00,9334800,0
PRU.L,D,20030307,000000,304.75,307.00,294.00,299.50,9236200,0
PRU.L,D,20030310,000000,300.00,309.50,288.25,292.00,9261900,0
PRU.L,D,20030311,000000,292.00,310.25,284.25,304.25,12686700,0
PRU.L,D,20030312,000000,304.50,312.00,280.00,281.00,15546600,0
PRU.L,D,20030313,000000,291.50,313.75,283.25,311.00,10303200,0
PRU.L,D,20030314,000000,317.00,331.75,317.00,330.00,12200400,0
