<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PSON.L,D,20030101,000000,574.50,574.50,574.50,574.50,000,0
PSON.L,D,20030102,000000,580.00,583.00,564.50,575.00,2034500,0
PSON.L,D,20030103,000000,590.00,595.50,580.00,595.50,4109800,0
PSON.L,D,20030106,000000,588.00,599.50,579.50,591.50,1883500,0
PSON.L,D,20030107,000000,585.50,600.00,573.50,585.00,2342400,0
PSON.L,D,20030108,000000,585.00,589.50,567.50,576.00,2589300,0
PSON.L,D,20030109,000000,590.00,598.00,573.00,594.00,2957900,0
PSON.L,D,20030110,000000,591.00,611.50,579.00,603.50,4651300,0
PSON.L,D,20030113,000000,609.50,612.50,578.00,583.00,3563500,0
PSON.L,D,20030114,000000,580.00,592.00,577.00,580.00,2228600,0
PSON.L,D,20030115,000000,585.00,589.50,560.00,568.00,2523400,0
PSON.L,D,20030116,000000,568.00,572.00,557.00,570.00,3350600,0
PSON.L,D,20030117,000000,570.00,570.00,557.50,560.00,2154100,0
PSON.L,D,20030120,000000,560.00,574.50,531.00,549.00,2149600,0
PSON.L,D,20030121,000000,554.00,559.00,533.00,540.00,2128900,0
PSON.L,D,20030122,000000,538.00,554.00,538.00,551.00,3990100,0
PSON.L,D,20030123,000000,550.00,565.00,537.00,538.50,3673500,0
PSON.L,D,20030124,000000,540.00,550.50,535.00,537.00,2458900,0
PSON.L,D,20030127,000000,537.00,537.00,505.50,508.00,3827800,0
PSON.L,D,20030128,000000,507.00,532.00,507.00,527.50,5127300,0
PSON.L,D,20030129,000000,520.00,530.50,510.00,516.00,4706000,0
PSON.L,D,20030130,000000,519.00,548.50,511.50,544.50,3975400,0
PSON.L,D,20030131,000000,544.00,548.50,525.50,543.50,3686200,0
PSON.L,D,20030203,000000,554.50,570.00,540.50,567.00,3513800,0
PSON.L,D,20030204,000000,562.50,571.00,542.00,546.50,3371600,0
PSON.L,D,20030205,000000,550.00,553.50,534.50,550.50,2159800,0
PSON.L,D,20030206,000000,538.50,570.00,524.50,540.00,2693700,0
PSON.L,D,20030207,000000,535.00,541.00,521.00,533.00,3133400,0
PSON.L,D,20030210,000000,532.00,543.50,521.00,525.50,1454000,0
PSON.L,D,20030211,000000,515.00,524.50,505.00,522.50,5562300,0
PSON.L,D,20030212,000000,523.00,523.00,509.00,511.00,2984000,0
PSON.L,D,20030213,000000,509.00,521.00,497.00,497.00,4338600,0
PSON.L,D,20030214,000000,498.00,513.50,498.00,501.00,2908300,0
PSON.L,D,20030217,000000,507.00,515.00,505.00,508.50,2333800,0
PSON.L,D,20030218,000000,505.50,525.00,487.50,520.00,2584500,0
PSON.L,D,20030219,000000,518.00,523.50,503.50,507.00,2806600,0
PSON.L,D,20030220,000000,507.00,515.50,488.00,492.00,4881100,0
PSON.L,D,20030221,000000,492.00,497.00,477.50,487.50,3373800,0
PSON.L,D,20030224,000000,485.00,496.00,480.50,490.00,3292700,0
PSON.L,D,20030225,000000,480.50,485.00,466.00,470.00,3849700,0
PSON.L,D,20030226,000000,470.00,476.50,452.00,455.50,3277400,0
PSON.L,D,20030227,000000,459.00,464.00,442.50,454.00,3259100,0
PSON.L,D,20030228,000000,452.50,486.00,450.00,480.00,4773600,0
PSON.L,D,20030303,000000,490.00,521.00,490.00,516.00,7022100,0
PSON.L,D,20030304,000000,514.50,518.00,504.00,508.00,3984600,0
PSON.L,D,20030305,000000,508.00,511.50,495.00,499.00,5137600,0
PSON.L,D,20030306,000000,499.00,509.50,490.00,495.50,3683500,0
PSON.L,D,20030307,000000,493.00,511.00,485.50,501.00,4140200,0
PSON.L,D,20030310,000000,499.50,501.50,482.00,485.00,3091400,0
PSON.L,D,20030311,000000,485.00,485.00,446.00,462.50,10367800,0
PSON.L,D,20030312,000000,458.00,458.00,420.00,429.50,6319400,0
PSON.L,D,20030313,000000,440.00,459.00,435.50,453.50,6023200,0
PSON.L,D,20030314,000000,471.00,499.00,464.50,496.00,4453700,0
PSON.L,D,20030317,000000,475.50,516.50,470.50,511.00,4352300,0
PSON.L,D,20030318,000000,504.50,534.00,502.00,514.50,2766300,0
PSON.L,D,20030319,000000,515.50,538.00,510.00,525.50,3911100,0
PSON.L,D,20030320,000000,540.00,540.00,517.00,520.00,3375100,0
PSON.L,D,20030321,000000,520.00,542.50,520.00,528.50,2321800,0
PSON.L,D,20030324,000000,526.00,526.00,496.50,509.00,3028900,0
PSON.L,D,20030325,000000,507.00,526.00,492.50,524.00,2278200,0
PSON.L,D,20030326,000000,531.75,531.75,511.50,516.50,2960300,0
PSON.L,D,20030327,000000,510.00,510.00,497.75,503.00,3370900,0
PSON.L,D,20030328,000000,502.50,514.00,491.50,502.25,1861400,0
PSON.L,D,20030331,000000,502.00,502.00,468.50,480.50,2917700,0
PSON.L,D,20030401,000000,469.25,502.75,469.25,497.25,3271700,0
PSON.L,D,20030402,000000,499.75,529.25,499.75,520.50,3228300,0
PSON.L,D,20030403,000000,519.00,549.00,518.00,536.00,4604500,0
PSON.L,D,20030404,000000,538.50,544.00,524.25,532.00,2908800,0
PSON.L,D,20030407,000000,539.50,561.75,539.50,560.00,2822000,0
PSON.L,D,20030408,000000,555.00,555.00,532.25,540.00,2310000,0
PSON.L,D,20030409,000000,537.00,537.00,522.25,531.00,2103700,0
PSON.L,D,20030410,000000,525.00,525.00,508.50,514.25,3087300,0
PSON.L,D,20030411,000000,514.50,522.50,507.00,513.00,2946300,0
PSON.L,D,20030414,000000,510.00,524.50,508.00,520.25,1390800,0
PSON.L,D,20030415,000000,522.50,544.00,522.50,538.00,1810100,0
PSON.L,D,20030416,000000,543.00,556.75,543.00,547.00,3531100,0
PSON.L,D,20030417,000000,546.75,554.50,536.00,541.25,2315800,0
PSON.L,D,20030418,000000,541.25,541.25,541.25,541.25,000,0
PSON.L,D,20030421,000000,541.25,541.25,541.25,541.25,000,0
PSON.L,D,20030422,000000,556.50,556.50,537.00,543.00,2040400,0
PSON.L,D,20030423,000000,548.00,567.00,548.00,554.00,3274100,0
PSON.L,D,20030424,000000,549.00,567.00,549.00,553.25,1731800,0
PSON.L,D,20030425,000000,553.00,558.00,534.50,539.00,3761000,0
PSON.L,D,20030428,000000,537.00,557.00,530.00,550.25,2424200,0
PSON.L,D,20030429,000000,555.25,555.25,532.25,533.50,3279300,0
PSON.L,D,20030430,000000,535.00,545.00,516.25,521.50,4101500,0
PSON.L,D,20030501,000000,521.00,524.00,507.75,511.50,2214800,0
PSON.L,D,20030502,000000,509.00,517.25,504.50,507.00,4578500,0
PSON.L,D,20030505,000000,507.00,507.00,507.00,507.00,000,0
PSON.L,D,20030506,000000,507.50,533.50,503.25,526.25,5108600,0
PSON.L,D,20030507,000000,526.25,556.50,522.00,535.00,5033400,0
PSON.L,D,20030508,000000,533.00,533.00,506.50,511.75,4330500,0
PSON.L,D,20030509,000000,516.50,517.25,506.75,514.75,3039600,0
PSON.L,D,20030512,000000,504.00,519.50,494.50,498.00,4148500,0
PSON.L,D,20030513,000000,498.00,519.00,489.25,519.00,5835400,0
PSON.L,D,20030514,000000,514.00,528.50,511.00,520.75,3936600,0
PSON.L,D,20030515,000000,518.00,525.75,513.25,525.75,2622000,0
PSON.L,D,20030516,000000,529.75,554.75,524.50,547.00,4353100,0
PSON.L,D,20030519,000000,552.00,552.00,515.00,520.00,3363200,0
PSON.L,D,20030520,000000,520.00,530.00,518.00,520.25,3901600,0
PSON.L,D,20030521,000000,524.75,524.75,502.00,512.50,3065400,0
PSON.L,D,20030522,000000,512.50,531.00,510.00,531.00,2888200,0
PSON.L,D,20030523,000000,533.00,544.00,530.75,533.75,2966300,0
PSON.L,D,20030526,000000,533.75,533.75,533.75,533.75,000,0
PSON.L,D,20030527,000000,538.50,538.50,516.00,531.75,1620900,0
PSON.L,D,20030528,000000,542.00,561.50,531.75,557.00,4157700,0
PSON.L,D,20030529,000000,552.00,580.25,548.00,574.00,5149100,0
