<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RBS.L,D,20030101,000000,496.00,496.00,496.00,496.00,000,0
RBS.L,D,20030102,000000,497.00,509.00,490.00,508.00,13302000,0
RBS.L,D,20030103,000000,509.00,518.00,506.00,513.00,11927900,0
RBS.L,D,20030106,000000,512.00,517.00,495.00,504.00,13347000,0
RBS.L,D,20030107,000000,492.00,505.00,485.00,496.00,15147000,0
RBS.L,D,20030108,000000,493.00,494.00,481.00,488.00,18199500,0
RBS.L,D,20030109,000000,487.00,491.00,473.00,487.00,14628200,0
RBS.L,D,20030110,000000,493.00,504.00,486.00,502.00,18367400,0
RBS.L,D,20030113,000000,502.00,515.00,485.00,496.00,19057300,0
RBS.L,D,20030114,000000,498.00,505.00,492.00,498.00,14491100,0
RBS.L,D,20030115,000000,496.00,504.00,485.00,485.00,21118800,0
RBS.L,D,20030116,000000,485.00,491.00,474.00,480.00,12168900,0
RBS.L,D,20030117,000000,480.00,480.00,467.00,472.00,16020500,0
RBS.L,D,20030120,000000,471.00,480.00,452.00,457.00,13023800,0
RBS.L,D,20030121,000000,461.00,465.00,447.00,450.00,19710100,0
RBS.L,D,20030122,000000,450.00,454.00,441.00,447.00,23812600,0
RBS.L,D,20030123,000000,451.00,455.00,437.00,440.00,28659300,0
RBS.L,D,20030124,000000,440.00,456.00,434.00,442.00,26262800,0
RBS.L,D,20030127,000000,438.00,446.00,420.00,435.00,36271300,0
RBS.L,D,20030128,000000,438.00,447.00,426.00,431.00,30641200,0
RBS.L,D,20030129,000000,431.00,435.00,423.00,433.00,32160400,0
RBS.L,D,20030130,000000,435.00,450.00,432.00,447.00,25264500,0
RBS.L,D,20030131,000000,438.00,451.00,438.00,446.00,19985900,0
RBS.L,D,20030203,000000,462.00,476.00,461.00,473.00,21827400,0
RBS.L,D,20030204,000000,461.00,472.00,461.00,461.00,19425300,0
RBS.L,D,20030205,000000,464.00,482.00,455.00,480.00,15518100,0
RBS.L,D,20030206,000000,474.00,483.00,453.00,458.00,29417200,0
RBS.L,D,20030207,000000,458.00,474.00,451.00,466.00,17136900,0
RBS.L,D,20030210,000000,466.00,477.00,454.00,459.00,17735500,0
RBS.L,D,20030211,000000,469.00,480.00,463.00,479.00,18155300,0
RBS.L,D,20030212,000000,476.00,488.00,472.00,483.00,18792900,0
RBS.L,D,20030213,000000,483.00,502.00,475.00,495.00,25667200,0
RBS.L,D,20030214,000000,494.00,501.00,480.00,481.00,21171700,0
RBS.L,D,20030217,000000,490.00,495.00,485.00,492.00,10982000,0
RBS.L,D,20030218,000000,492.00,495.00,485.00,490.00,17309500,0
RBS.L,D,20030219,000000,485.00,499.00,479.00,481.00,13716400,0
RBS.L,D,20030220,000000,478.00,492.00,478.00,484.00,12457900,0
RBS.L,D,20030221,000000,480.00,483.00,457.00,475.00,19185000,0
RBS.L,D,20030224,000000,471.00,478.00,471.00,475.00,10325900,0
RBS.L,D,20030225,000000,469.00,474.00,455.00,470.00,17447500,0
RBS.L,D,20030226,000000,473.00,478.00,457.00,466.00,13284100,0
RBS.L,D,20030227,000000,459.00,478.00,458.00,464.00,26600100,0
RBS.L,D,20030228,000000,469.00,484.00,463.00,484.00,16771600,0
RBS.L,D,20030303,000000,486.00,495.00,478.00,485.00,14609800,0
RBS.L,D,20030304,000000,485.00,485.00,463.00,469.00,15850400,0
RBS.L,D,20030305,000000,463.00,470.00,455.00,458.00,20594700,0
RBS.L,D,20030306,000000,458.00,469.00,455.00,466.00,21833500,0
RBS.L,D,20030307,000000,460.00,463.00,445.00,456.00,21479100,0
RBS.L,D,20030310,000000,453.00,457.00,439.00,440.00,16988600,0
RBS.L,D,20030311,000000,437.00,456.00,435.00,451.00,20957100,0
RBS.L,D,20030312,000000,445.00,448.00,412.00,412.00,38570800,0
RBS.L,D,20030313,000000,420.00,448.00,420.00,441.00,33274000,0
RBS.L,D,20030314,000000,455.00,468.00,449.00,456.00,28569900,0
RBS.L,D,20030317,000000,450.00,498.00,440.00,476.00,23962400,0
RBS.L,D,20030318,000000,478.00,491.00,469.00,473.00,30222700,0
RBS.L,D,20030319,000000,472.00,497.00,472.00,486.00,26533300,0
RBS.L,D,20030320,000000,486.00,496.00,481.00,490.00,17262900,0
RBS.L,D,20030321,000000,493.00,509.00,493.00,507.00,24304500,0
RBS.L,D,20030324,000000,502.00,503.00,484.00,489.00,18845800,0
RBS.L,D,20030325,000000,482.00,487.00,470.00,482.00,24434700,0
RBS.L,D,20030326,000000,483.00,500.00,480.00,490.00,22420500,0
RBS.L,D,20030327,000000,489.00,492.00,483.00,485.00,16074700,0
RBS.L,D,20030328,000000,487.00,493.00,479.00,488.00,15849700,0
RBS.L,D,20030331,000000,483.00,483.00,462.00,475.00,18557400,0
RBS.L,D,20030401,000000,475.00,487.00,470.00,485.00,17723600,0
RBS.L,D,20030402,000000,488.00,505.00,488.00,499.00,18336800,0
RBS.L,D,20030403,000000,499.00,516.00,499.00,508.00,22119300,0
RBS.L,D,20030404,000000,508.00,527.00,506.00,521.00,18431800,0
RBS.L,D,20030407,000000,534.00,547.00,526.00,537.00,21449300,0
RBS.L,D,20030408,000000,527.00,542.00,524.00,535.00,25155300,0
