<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
REL.L,D,20030101,000000,614.55,614.55,614.55,614.55,000,0
REL.L,D,20030102,000000,612.82,634.77,612.82,633.03,1999900,0
REL.L,D,20030103,000000,638.23,638.81,624.95,637.66,2407100,0
REL.L,D,20030106,000000,637.66,639.97,617.44,623.22,3028100,0
REL.L,D,20030107,000000,614.55,625.53,607.04,608.78,3397100,0
REL.L,D,20030108,000000,611.09,611.09,596.65,598.38,2813200,0
REL.L,D,20030109,000000,594.34,606.47,590.29,593.18,3430000,0
REL.L,D,20030110,000000,582.78,597.22,577.59,583.36,5481200,0
REL.L,D,20030113,000000,583.57,597.80,566.03,569.50,5531400,0
REL.L,D,20030114,000000,577.59,590.29,560.26,588.56,4592600,0
REL.L,D,20030115,000000,592.60,596.07,579.90,583.36,4301300,0
REL.L,D,20030116,000000,585.67,589.72,575.85,581.63,3342800,0
REL.L,D,20030117,000000,581.63,581.63,560.26,560.26,3044400,0
REL.L,D,20030120,000000,566.03,568.34,560.84,564.88,3420400,0
REL.L,D,20030121,000000,566.03,570.66,538.31,545.24,4080000,0
REL.L,D,20030122,000000,545.24,563.72,545.24,556.22,4735100,0
REL.L,D,20030123,000000,563.72,563.72,539.47,541.20,3790300,0
REL.L,D,20030124,000000,544.09,546.40,534.84,539.47,4820300,0
REL.L,D,20030127,000000,536.00,539.47,523.29,532.53,6442700,0
REL.L,D,20030128,000000,532.53,539.47,526.18,537.16,5580500,0
REL.L,D,20030129,000000,531.96,538.31,520.41,527.34,5019300,0
REL.L,D,20030130,000000,531.38,542.93,518.67,542.93,4878700,0
REL.L,D,20030131,000000,541.78,548.13,531.38,545.24,3724000,0
REL.L,D,20030203,000000,547.55,566.03,547.55,566.03,2887000,0
REL.L,D,20030204,000000,557.95,563.15,546.97,551.59,3510000,0
REL.L,D,20030205,000000,551.59,563.15,543.51,560.84,4589400,0
REL.L,D,20030206,000000,553.33,560.26,540.62,542.93,4748000,0
REL.L,D,20030207,000000,542.93,543.51,531.38,541.78,7502400,0
REL.L,D,20030210,000000,537.16,545.82,534.84,540.62,3106900,0
REL.L,D,20030211,000000,542.93,542.93,534.27,542.35,3852400,0
REL.L,D,20030212,000000,537.73,542.93,511.74,515.78,4186400,0
REL.L,D,20030213,000000,508.85,509.43,498.46,501.92,6403900,0
REL.L,D,20030214,000000,499.03,517.52,499.03,508.85,9054400,0
REL.L,D,20030217,000000,519.83,523.29,510.01,516.36,2949100,0
REL.L,D,20030218,000000,516.36,516.94,505.97,512.32,3396100,0
REL.L,D,20030219,000000,514.05,514.05,493.26,497.88,4671800,0
REL.L,D,20030220,000000,510.01,521.56,506.54,512.32,6461200,0
REL.L,D,20030221,000000,514.05,521.56,508.85,521.56,4270900,0
REL.L,D,20030224,000000,520.41,529.07,518.67,521.56,3568500,0
REL.L,D,20030225,000000,516.36,518.09,496.72,500.19,4764600,0
REL.L,D,20030226,000000,500.19,505.97,493.84,503.08,2959400,0
REL.L,D,20030227,000000,502.50,512.90,499.61,510.59,4678100,0
REL.L,D,20030228,000000,508.28,537.16,508.28,535.42,5218400,0
REL.L,D,20030303,000000,536.58,548.13,533.11,546.40,4313300,0
REL.L,D,20030304,000000,544.09,544.09,526.18,529.65,3676700,0
REL.L,D,20030305,000000,519.25,529.07,515.21,517.52,5328400,0
REL.L,D,20030306,000000,510.01,530.22,510.01,519.25,3759100,0
REL.L,D,20030307,000000,516.36,520.41,502.50,502.50,3550500,0
REL.L,D,20030310,000000,505.97,513.47,496.72,497.88,2167400,0
REL.L,D,20030311,000000,502.50,502.50,453.98,462.07,9801800,0
REL.L,D,20030312,000000,467.84,475.35,448.21,452.83,6382700,0
REL.L,D,20030313,000000,451.67,505.39,451.67,501.34,5861300,0
REL.L,D,20030314,000000,513.47,530.80,505.39,525.60,6616900,0
REL.L,D,20030317,000000,545.82,558.53,500.77,548.71,3721600,0
REL.L,D,20030318,000000,548.71,559.68,534.84,540.04,4260400,0
REL.L,D,20030319,000000,555.06,574.70,535.42,566.03,5723700,0
REL.L,D,20030320,000000,563.15,563.15,538.31,553.33,3172600,0
REL.L,D,20030321,000000,559.10,577.01,556.22,577.01,3325200,0
REL.L,D,20030324,000000,571.81,571.81,545.24,549.86,2963000,0
REL.L,D,20030325,000000,538.89,570.08,538.89,560.84,4389200,0
REL.L,D,20030326,000000,560.84,562.57,529.07,556.22,4481100,0
REL.L,D,20030327,000000,556.22,566.03,544.95,556.22,2910800,0
REL.L,D,20030328,000000,555.64,561.41,547.26,554.48,2687200,0
REL.L,D,20030331,000000,548.71,549.86,514.05,522.14,4160000,0
REL.L,D,20030401,000000,526.76,553.33,526.76,540.62,6558800,0
REL.L,D,20030402,000000,542.93,581.63,542.93,569.50,4259300,0
