<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
REX.L,D,20030101,000000,424.00,424.00,424.00,424.00,000,0
REX.L,D,20030102,000000,419.00,425.00,413.25,425.00,593600,0
REX.L,D,20030103,000000,425.00,425.00,412.25,414.00,1056200,0
REX.L,D,20030106,000000,414.50,417.50,406.75,414.25,1292700,0
REX.L,D,20030107,000000,413.50,416.75,410.50,415.00,1032300,0
REX.L,D,20030108,000000,405.00,405.00,395.00,400.75,2981700,0
REX.L,D,20030109,000000,397.75,401.00,381.75,399.50,1493500,0
REX.L,D,20030110,000000,395.50,409.00,395.50,399.50,1108100,0
REX.L,D,20030113,000000,427.75,406.25,395.50,403.00,395300,0
REX.L,D,20030114,000000,402.25,409.25,402.00,407.00,734800,0
REX.L,D,20030115,000000,407.28,409.50,397.00,399.75,891700,0
REX.L,D,20030116,000000,399.75,401.75,390.50,396.00,878100,0
REX.L,D,20030117,000000,400.00,405.00,392.00,392.00,782300,0
REX.L,D,20030120,000000,396.75,397.50,380.25,387.00,918700,0
REX.L,D,20030121,000000,384.00,393.50,375.00,388.25,1630200,0
REX.L,D,20030122,000000,392.00,392.00,361.75,368.25,1177900,0
REX.L,D,20030123,000000,372.00,376.50,363.00,371.25,1461100,0
REX.L,D,20030124,000000,372.25,378.50,359.00,360.50,1226300,0
REX.L,D,20030127,000000,357.75,361.25,330.50,358.75,1829400,0
REX.L,D,20030128,000000,360.50,360.50,344.75,355.00,1637200,0
REX.L,D,20030129,000000,349.50,350.50,341.50,346.25,1186400,0
REX.L,D,20030130,000000,350.00,363.50,346.00,362.75,1800600,0
REX.L,D,20030131,000000,362.75,362.75,350.00,360.50,1715500,0
REX.L,D,20030203,000000,361.25,369.50,360.00,364.25,1220700,0
REX.L,D,20030204,000000,365.00,366.50,357.75,358.00,1358600,0
REX.L,D,20030205,000000,359.75,369.25,356.50,368.00,1473200,0
REX.L,D,20030206,000000,370.00,370.00,347.00,351.50,1445200,0
REX.L,D,20030207,000000,350.75,365.25,349.50,360.00,1348400,0
REX.L,D,20030210,000000,360.00,362.00,349.50,353.00,636000,0
REX.L,D,20030211,000000,346.00,357.00,345.25,355.50,1205400,0
REX.L,D,20030212,000000,355.50,355.50,341.50,342.00,969100,0
REX.L,D,20030213,000000,350.00,350.00,330.00,335.00,1525300,0
REX.L,D,20030214,000000,344.75,348.75,331.00,335.75,1287600,0
REX.L,D,20030217,000000,340.00,350.00,340.00,347.75,737800,0
REX.L,D,20030218,000000,340.75,360.00,340.75,353.00,1291300,0
REX.L,D,20030219,000000,354.00,357.25,347.25,350.00,982600,0
REX.L,D,20030220,000000,350.00,361.50,343.00,353.75,1207100,0
REX.L,D,20030221,000000,353.00,356.25,346.00,354.50,840800,0
REX.L,D,20030224,000000,352.25,355.00,341.50,349.00,1325000,0
REX.L,D,20030225,000000,344.75,348.75,326.75,333.00,1679600,0
REX.L,D,20030226,000000,327.00,338.00,322.00,322.50,1290700,0
REX.L,D,20030227,000000,325.00,330.00,310.25,317.50,1560900,0
REX.L,D,20030228,000000,317.00,323.00,312.75,322.75,1732200,0
REX.L,D,20030303,000000,325.25,348.00,325.25,338.00,1574800,0
REX.L,D,20030304,000000,345.50,345.50,328.25,333.25,1205200,0
REX.L,D,20030305,000000,329.00,340.00,329.00,337.75,1313700,0
REX.L,D,20030306,000000,350.00,350.00,320.00,325.50,1797800,0
REX.L,D,20030307,000000,324.50,334.75,320.00,327.00,2061400,0
REX.L,D,20030310,000000,327.00,329.00,315.00,316.75,1819800,0
REX.L,D,20030311,000000,323.00,330.00,313.75,328.00,1777300,0
REX.L,D,20030312,000000,326.00,330.00,316.75,320.75,2071700,0
