<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RIO.L,D,20030101,000000,1240.00,1240.00,1240.00,1240.00,000,0
RIO.L,D,20030102,000000,1240.00,1267.00,1230.00,1260.00,1824800,0
RIO.L,D,20030103,000000,1265.00,1276.00,1254.00,1270.00,1842300,0
RIO.L,D,20030106,000000,1270.00,1283.00,1252.00,1283.00,2671800,0
RIO.L,D,20030107,000000,1278.00,1287.00,1262.00,1280.00,1961900,0
RIO.L,D,20030108,000000,1274.00,1293.00,1242.00,1260.00,2687600,0
RIO.L,D,20030109,000000,1250.00,1280.00,1232.00,1245.00,3371100,0
RIO.L,D,20030110,000000,1249.00,1275.00,1238.00,1251.00,3858900,0
RIO.L,D,20030113,000000,1244.00,1278.00,1244.00,1270.00,3071300,0
RIO.L,D,20030114,000000,1270.00,1276.00,1252.00,1257.00,3460600,0
RIO.L,D,20030115,000000,1228.00,1269.00,1215.00,1220.00,4079100,0
RIO.L,D,20030116,000000,1225.00,1225.00,1194.00,1200.00,3982300,0
RIO.L,D,20030117,000000,1197.00,1212.00,1196.00,1207.00,2897900,0
RIO.L,D,20030120,000000,1204.00,1228.00,1204.00,1210.00,2872000,0
RIO.L,D,20030121,000000,1226.00,1226.00,1195.00,1195.00,3179800,0
RIO.L,D,20030122,000000,1188.00,1195.00,1143.00,1145.00,4659900,0
RIO.L,D,20030123,000000,1150.00,1158.00,1130.00,1145.00,4127200,0
RIO.L,D,20030124,000000,1154.00,1172.00,1126.00,1127.00,4213800,0
RIO.L,D,20030127,000000,1126.00,1129.00,1081.00,1093.00,4966400,0
RIO.L,D,20030128,000000,1105.00,1134.00,1100.00,1134.00,4941400,0
RIO.L,D,20030129,000000,1116.00,1116.00,1078.00,1093.00,5162000,0
RIO.L,D,20030130,000000,1090.00,1132.00,1085.00,1120.00,5117400,0
RIO.L,D,20030131,000000,1105.00,1129.00,1104.00,1112.00,3619100,0
RIO.L,D,20030203,000000,1112.00,1174.00,1112.00,1171.00,4121100,0
RIO.L,D,20030204,000000,1171.00,1191.00,1160.00,1160.00,3793800,0
RIO.L,D,20030205,000000,1158.00,1201.00,1157.00,1201.00,3431700,0
RIO.L,D,20030206,000000,1194.00,1219.00,1174.00,1185.00,5350200,0
RIO.L,D,20030207,000000,1193.00,1197.00,1177.00,1183.00,2989700,0
RIO.L,D,20030210,000000,1183.00,1204.00,1173.00,1189.00,2289100,0
RIO.L,D,20030211,000000,1199.00,1209.00,1182.00,1201.00,2903800,0
RIO.L,D,20030212,000000,1202.00,1206.00,1186.00,1193.00,2524900,0
RIO.L,D,20030213,000000,1182.00,1189.00,1160.00,1178.00,2738400,0
RIO.L,D,20030214,000000,1178.00,1192.00,1163.00,1169.00,3502300,0
RIO.L,D,20030217,000000,1195.00,1200.00,1181.00,1200.00,2155200,0
RIO.L,D,20030218,000000,1205.00,1250.00,1198.00,1245.00,3551800,0
RIO.L,D,20030219,000000,1242.00,1253.00,1225.00,1225.00,2682100,0
RIO.L,D,20030220,000000,1220.00,1268.00,1219.00,1258.00,4663100,0
RIO.L,D,20030221,000000,1250.00,1292.00,1240.00,1275.00,3745400,0
RIO.L,D,20030224,000000,1277.00,1298.00,1267.00,1290.00,3193700,0
RIO.L,D,20030225,000000,1275.00,1278.00,1252.00,1252.00,4480800,0
RIO.L,D,20030226,000000,1265.00,1283.00,1250.00,1273.00,3312800,0
RIO.L,D,20030227,000000,1272.00,1285.00,1257.00,1260.00,3098900,0
RIO.L,D,20030228,000000,1275.00,1285.00,1253.00,1285.00,3701100,0
RIO.L,D,20030303,000000,1289.00,1307.00,1281.00,1298.00,3240200,0
RIO.L,D,20030304,000000,1297.00,1297.00,1266.00,1270.00,3186100,0
RIO.L,D,20030305,000000,1240.00,1240.00,1201.00,1202.00,5212600,0
RIO.L,D,20030306,000000,1210.00,1210.00,1183.00,1194.00,3866300,0
RIO.L,D,20030307,000000,1180.00,1201.00,1161.00,1198.00,4293100,0
RIO.L,D,20030310,000000,1190.00,1222.00,1185.00,1210.00,3626000,0
RIO.L,D,20030311,000000,1197.00,1209.00,1185.00,1203.00,3837100,0
RIO.L,D,20030312,000000,1210.00,1213.00,1152.00,1157.00,5447900,0
RIO.L,D,20030313,000000,1171.00,1214.00,1160.00,1204.00,4305000,0
RIO.L,D,20030314,000000,1210.00,1249.00,1210.00,1245.00,4089700,0
RIO.L,D,20030317,000000,1235.00,1284.00,1217.00,1271.00,3025200,0
RIO.L,D,20030318,000000,1258.00,1304.00,1258.00,1289.00,4417700,0
RIO.L,D,20030319,000000,1288.00,1310.00,1274.00,1285.00,3151000,0
RIO.L,D,20030320,000000,1272.00,1282.00,1259.00,1273.00,2730400,0
RIO.L,D,20030321,000000,1270.00,1303.00,1270.00,1292.00,4011800,0
RIO.L,D,20030324,000000,1285.00,1285.00,1252.00,1265.00,2681700,0
RIO.L,D,20030325,000000,1258.00,1275.00,1240.00,1265.00,2423400,0
RIO.L,D,20030326,000000,1257.00,1265.00,1242.00,1264.00,2715000,0
RIO.L,D,20030327,000000,1261.00,1261.00,1224.00,1230.00,3135400,0
RIO.L,D,20030328,000000,1230.00,1235.00,1197.00,1204.00,4408500,0
RIO.L,D,20030331,000000,1202.00,1202.00,1168.00,1179.00,2994900,0
RIO.L,D,20030401,000000,1179.00,1228.00,1179.00,1220.00,3956200,0
RIO.L,D,20030402,000000,1244.00,1250.00,1216.00,1243.00,2240400,0
RIO.L,D,20030403,000000,1251.00,1275.00,1244.00,1258.00,2557400,0
RIO.L,D,20030404,000000,1254.00,1266.00,1232.00,1243.00,2462800,0
RIO.L,D,20030407,000000,1260.00,1286.00,1260.00,1272.00,3352900,0
RIO.L,D,20030408,000000,1265.00,1284.00,1258.00,1261.00,2487600,0
RIO.L,D,20030409,000000,1258.00,1262.00,1235.00,1244.00,2572500,0
RIO.L,D,20030410,000000,1247.00,1247.00,1211.00,1212.00,2904800,0
RIO.L,D,20030411,000000,1220.00,1235.00,1211.00,1211.00,2013800,0
RIO.L,D,20030414,000000,1219.00,1227.00,1207.00,1214.00,2611100,0
RIO.L,D,20030415,000000,1220.00,1239.00,1220.00,1231.00,2592700,0
RIO.L,D,20030416,000000,1250.00,1251.00,1208.00,1214.00,3649200,0
RIO.L,D,20030417,000000,1215.00,1236.00,1202.00,1234.00,2156900,0
RIO.L,D,20030418,000000,1234.00,1234.00,1234.00,1234.00,000,0
RIO.L,D,20030421,000000,1234.00,1234.00,1234.00,1234.00,000,0
RIO.L,D,20030422,000000,1246.00,1246.00,1220.00,1225.00,1421300,0
RIO.L,D,20030423,000000,1233.00,1243.00,1210.00,1215.00,3085900,0
RIO.L,D,20030424,000000,1214.00,1214.00,1128.00,1129.00,7783200,0
RIO.L,D,20030425,000000,1132.00,1157.00,1129.00,1151.00,5644500,0
RIO.L,D,20030428,000000,1144.00,1178.00,1141.00,1178.00,3179900,0
RIO.L,D,20030429,000000,1190.00,1205.00,1175.00,1190.00,3758200,0
RIO.L,D,20030430,000000,1200.00,1215.00,1185.00,1196.00,3558400,0
RIO.L,D,20030501,000000,1204.00,1219.00,1176.00,1186.00,2434200,0
RIO.L,D,20030502,000000,1187.00,1203.00,1183.00,1196.00,2810300,0
RIO.L,D,20030505,000000,1196.00,1196.00,1196.00,1196.00,000,0
RIO.L,D,20030506,000000,1199.00,1203.00,1173.00,1181.00,3129400,0
RIO.L,D,20030507,000000,1181.00,1185.00,1150.00,1168.00,3260000,0
RIO.L,D,20030508,000000,1160.00,1174.00,1153.00,1155.00,1668100,0
RIO.L,D,20030509,000000,1162.00,1177.00,1154.00,1168.00,3002000,0
RIO.L,D,20030512,000000,1183.00,1184.00,1160.00,1183.00,1520100,0
RIO.L,D,20030513,000000,1182.00,1197.00,1176.00,1189.00,2439100,0
RIO.L,D,20030514,000000,1177.00,1178.00,1146.00,1150.00,3520100,0
RIO.L,D,20030515,000000,1158.00,1158.00,1125.00,1140.00,5599600,0
RIO.L,D,20030516,000000,1148.00,1182.00,1141.00,1179.00,4036900,0
RIO.L,D,20030519,000000,1187.00,1187.00,1136.00,1142.00,2916900,0
RIO.L,D,20030520,000000,1150.00,1171.00,1133.00,1140.00,2943300,0
RIO.L,D,20030521,000000,1137.00,1145.00,1125.00,1142.00,1745100,0
RIO.L,D,20030522,000000,1151.00,1160.00,1134.00,1155.00,2067300,0
RIO.L,D,20030523,000000,1163.00,1173.00,1156.00,1170.00,2901800,0
RIO.L,D,20030526,000000,1170.00,1170.00,1170.00,1170.00,000,0
RIO.L,D,20030527,000000,1179.00,1179.00,1150.00,1173.00,2444100,0
RIO.L,D,20030528,000000,1176.00,1219.00,1176.00,1215.00,4169000,0
RIO.L,D,20030529,000000,1213.00,1222.00,1202.00,1215.00,2432800,0
RIO.L,D,20030530,000000,1205.00,1219.00,1195.00,1196.00,1917500,0
RIO.L,D,20030602,000000,1211.00,1234.00,1207.00,1225.00,1723700,0
RIO.L,D,20030603,000000,1209.00,1225.00,1208.00,1214.00,1769600,0
RIO.L,D,20030604,000000,1213.00,1226.00,1199.00,1220.00,2036900,0
RIO.L,D,20030605,000000,1226.00,1248.00,1226.00,1241.00,3085800,0
RIO.L,D,20030606,000000,1247.00,1278.00,1243.00,1272.00,3241600,0
RIO.L,D,20030609,000000,1256.00,1270.00,1247.00,1266.00,2065100,0
RIO.L,D,20030610,000000,1266.00,1273.00,1227.00,1239.00,4497100,0
RIO.L,D,20030611,000000,1249.00,1249.00,1223.00,1229.00,3104300,0
RIO.L,D,20030612,000000,1221.00,1233.00,1203.00,1207.00,3460400,0
RIO.L,D,20030613,000000,1204.00,1215.00,1197.00,1210.00,2247000,0
RIO.L,D,20030616,000000,1207.00,1231.00,1204.00,1221.00,2779800,0
RIO.L,D,20030617,000000,1223.00,1243.00,1223.00,1240.00,2533000,0
RIO.L,D,20030618,000000,1229.00,1238.00,1217.00,1236.00,3783300,0
RIO.L,D,20030619,000000,1212.00,1230.00,1193.00,1197.00,2943800,0
RIO.L,D,20030620,000000,1195.00,1214.00,1195.00,1203.00,1839700,0
RIO.L,D,20030623,000000,1210.00,1214.00,1172.00,1177.00,2637100,0
RIO.L,D,20030624,000000,1173.00,1181.00,1163.00,1173.00,2678900,0
RIO.L,D,20030625,000000,1174.00,1184.00,1170.00,1175.00,2065500,0
RIO.L,D,20030626,000000,1148.00,1167.00,1144.00,1154.00,4863500,0
RIO.L,D,20030627,000000,1155.00,1168.00,1143.00,1146.00,3349400,0
RIO.L,D,20030630,000000,1165.00,1171.00,1140.00,1140.00,2502800,0
RIO.L,D,20030701,000000,1132.00,1147.00,1126.00,1135.00,4064800,0
RIO.L,D,20030702,000000,1135.00,1143.00,1123.00,1132.00,5047400,0
RIO.L,D,20030703,000000,1129.00,1187.00,1129.00,1140.00,4020700,0
RIO.L,D,20030704,000000,1141.00,1169.00,1141.00,1156.00,2477600,0
RIO.L,D,20030707,000000,1160.00,1198.00,1160.00,1195.00,4039400,0
RIO.L,D,20030708,000000,1199.00,1204.00,1182.00,1197.00,3128700,0
RIO.L,D,20030709,000000,1940.00,1203.00,1186.00,1196.00,3231000,0
RIO.L,D,20030710,000000,1191.00,1217.00,1191.00,1208.00,3194100,0
RIO.L,D,20030711,000000,1203.00,1217.00,1200.00,1213.00,2093600,0
RIO.L,D,20030714,000000,1214.00,1252.00,1210.00,1250.00,3620100,0
RIO.L,D,20030715,000000,1253.00,1273.00,1241.00,1265.00,4858700,0
RIO.L,D,20030716,000000,1267.00,1267.00,1245.00,1252.00,2940100,0
RIO.L,D,20030717,000000,1245.00,1248.00,1227.00,1247.00,2239100,0
RIO.L,D,20030718,000000,1241.00,1251.00,1235.00,1236.00,2722100,0
RIO.L,D,20030721,000000,1240.00,1250.00,1235.00,1240.00,1865300,0
RIO.L,D,20030722,000000,1240.00,1246.00,1217.00,1245.00,2283600,0
RIO.L,D,20030723,000000,1260.00,1282.00,1255.00,1275.00,4606300,0
RIO.L,D,20030724,000000,1275.00,1308.00,1270.00,1299.00,4002300,0
RIO.L,D,20030725,000000,1287.00,1335.00,1287.00,1335.00,4690800,0
RIO.L,D,20030728,000000,1335.00,1360.00,1322.00,1355.00,5324300,0
RIO.L,D,20030729,000000,1350.00,1350.00,1298.00,1335.00,6234400,0
RIO.L,D,20030730,000000,1321.00,1332.00,1299.00,1299.00,5691900,0
RIO.L,D,20030731,000000,1270.00,1292.00,1258.00,1290.00,10948800,0
RIO.L,D,20030801,000000,1285.00,1318.00,1276.00,1294.00,5905000,0
