<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RSA.L,D,20030101,000000,120.75,120.75,120.75,120.75,000,0
RSA.L,D,20030102,000000,119.50,129.75,119.50,128.00,3192200,0
RSA.L,D,20030103,000000,127.50,131.00,125.75,127.25,4067600,0
RSA.L,D,20030106,000000,125.00,126.75,118.75,126.50,6338500,0
RSA.L,D,20030107,000000,125.50,126.50,121.25,126.00,4671400,0
RSA.L,D,20030108,000000,125.75,126.00,116.50,117.25,6742600,0
RSA.L,D,20030109,000000,117.00,124.50,117.00,120.25,8893600,0
RSA.L,D,20030110,000000,122.00,128.00,120.25,123.50,4845800,0
RSA.L,D,20030113,000000,124.70,127.00,121.50,123.75,6568100,0
RSA.L,D,20030114,000000,124.25,125.50,121.75,124.50,4932500,0
RSA.L,D,20030115,000000,124.08,125.00,119.50,120.25,4586200,0
RSA.L,D,20030116,000000,121.00,124.00,118.50,120.00,4706100,0
RSA.L,D,20030117,000000,120.00,122.25,116.50,117.00,8027600,0
RSA.L,D,20030120,000000,119.00,120.00,113.50,114.25,4181100,0
RSA.L,D,20030121,000000,116.00,119.25,113.00,113.75,6762500,0
RSA.L,D,20030122,000000,114.00,115.75,110.50,112.50,6824600,0
RSA.L,D,20030123,000000,114.25,117.00,106.50,108.00,9267200,0
RSA.L,D,20030124,000000,110.00,114.50,105.25,108.25,8046000,0
RSA.L,D,20030127,000000,107.50,107.50,99.50,99.50,5913200,0
RSA.L,D,20030128,000000,100.50,104.25,92.25,95.25,15741500,0
RSA.L,D,20030129,000000,94.75,98.75,90.25,98.00,9854000,0
RSA.L,D,20030130,000000,98.75,101.75,96.75,100.00,4589300,0
RSA.L,D,20030131,000000,98.25,100.25,94.25,96.50,7961300,0
RSA.L,D,20030203,000000,103.00,108.25,103.00,104.00,9823900,0
RSA.L,D,20030204,000000,104.00,107.50,95.25,96.00,10047000,0
RSA.L,D,20030205,000000,97.25,97.75,92.00,97.75,13815400,0
RSA.L,D,20030206,000000,96.75,98.75,94.50,94.75,9647700,0
RSA.L,D,20030207,000000,95.00,95.50,92.75,94.25,5222700,0
RSA.L,D,20030210,000000,97.00,97.00,89.25,91.00,5621700,0
RSA.L,D,20030211,000000,92.50,95.75,91.50,95.25,9598000,0
RSA.L,D,20030212,000000,94.50,94.50,91.00,91.25,3814200,0
RSA.L,D,20030213,000000,92.00,92.25,88.50,89.75,4841400,0
RSA.L,D,20030214,000000,90.75,94.75,89.50,93.00,7967000,0
RSA.L,D,20030217,000000,97.00,97.75,92.25,94.75,4373300,0
RSA.L,D,20030218,000000,94.50,97.50,92.75,97.00,5992300,0
RSA.L,D,20030219,000000,91.00,95.00,87.50,88.75,7085500,0
RSA.L,D,20030220,000000,90.25,92.00,88.25,89.50,6245200,0
RSA.L,D,20030221,000000,90.25,90.25,82.25,84.50,6091600,0
RSA.L,D,20030224,000000,85.50,85.50,78.00,78.25,9302400,0
RSA.L,D,20030225,000000,77.75,78.00,69.00,71.00,14822700,0
RSA.L,D,20030226,000000,73.00,74.75,59.25,62.75,18377000,0
RSA.L,D,20030227,000000,63.00,66.75,62.25,65.50,11974800,0
RSA.L,D,20030228,000000,66.00,73.50,65.25,71.50,14535700,0
RSA.L,D,20030303,000000,71.00,71.75,66.75,70.50,11579300,0
RSA.L,D,20030304,000000,70.00,71.75,67.25,71.00,8466400,0
RSA.L,D,20030305,000000,70.75,70.75,65.75,66.50,12359800,0
RSA.L,D,20030306,000000,66.50,70.25,66.25,67.00,22489700,0
RSA.L,D,20030307,000000,67.00,67.00,61.50,62.00,13126700,0
RSA.L,D,20030310,000000,63.00,64.25,57.00,58.50,10218200,0
RSA.L,D,20030311,000000,57.00,63.00,56.50,62.00,10287300,0
RSA.L,D,20030312,000000,64.50,64.50,56.25,56.25,18589900,0
RSA.L,D,20030313,000000,59.00,62.00,58.00,61.25,7762600,0
RSA.L,D,20030314,000000,63.50,66.00,61.00,63.50,13169800,0
RSA.L,D,20030317,000000,67.75,69.00,60.50,68.00,13441100,0
RSA.L,D,20030318,000000,68.25,74.25,67.50,68.00,22636700,0
RSA.L,D,20030319,000000,68.50,73.00,66.25,72.50,12641500,0
RSA.L,D,20030320,000000,71.00,75.00,69.75,72.00,11848800,0
RSA.L,D,20030321,000000,73.00,79.75,73.00,78.00,26059700,0
RSA.L,D,20030324,000000,75.50,79.50,74.75,75.50,11438200,0
RSA.L,D,20030325,000000,75.00,76.00,73.00,75.25,8009400,0
RSA.L,D,20030326,000000,75.25,76.25,73.75,76.25,8444200,0
RSA.L,D,20030327,000000,76.25,76.25,74.50,75.75,4051300,0
RSA.L,D,20030328,000000,76.00,76.50,71.50,72.00,4967000,0
RSA.L,D,20030331,000000,74.00,74.00,67.50,68.25,4816200,0
RSA.L,D,20030401,000000,70.00,73.50,67.00,72.50,11756000,0
RSA.L,D,20030402,000000,74.00,79.25,73.75,78.75,7162300,0
RSA.L,D,20030403,000000,79.50,86.25,77.25,81.00,18234500,0
RSA.L,D,20030404,000000,82.00,85.00,78.50,84.75,11189800,0
RSA.L,D,20030407,000000,87.50,97.00,87.50,94.00,11820700,0
RSA.L,D,20030408,000000,94.00,95.00,90.00,93.00,6890700,0
RSA.L,D,20030409,000000,91.75,92.25,88.50,92.00,6253300,0
RSA.L,D,20030410,000000,91.50,93.00,89.50,92.00,4256500,0
RSA.L,D,20030411,000000,93.50,98.00,93.00,94.50,6403400,0
RSA.L,D,20030414,000000,95.00,97.50,92.25,97.00,3141800,0
RSA.L,D,20030415,000000,97.50,104.50,97.50,104.00,6915400,0
RSA.L,D,20030416,000000,106.75,110.00,103.00,103.25,13787600,0
RSA.L,D,20030417,000000,101.25,103.00,96.75,100.00,9095100,0
RSA.L,D,20030418,000000,100.00,100.00,100.00,100.00,000,0
RSA.L,D,20030421,000000,100.00,100.00,100.00,100.00,000,0
RSA.L,D,20030422,000000,102.50,102.50,98.25,99.75,2820200,0
RSA.L,D,20030423,000000,102.00,108.00,101.50,105.50,6902900,0
RSA.L,D,20030424,000000,105.50,108.00,102.50,103.00,7421500,0
RSA.L,D,20030425,000000,103.50,104.25,100.75,102.75,3528900,0
RSA.L,D,20030428,000000,102.00,109.00,102.00,108.25,4151900,0
RSA.L,D,20030429,000000,109.75,111.25,107.00,107.00,4999200,0
RSA.L,D,20030430,000000,106.50,109.50,105.00,109.25,6486300,0
RSA.L,D,20030501,000000,107.50,107.50,101.00,102.00,7923700,0
RSA.L,D,20030502,000000,101.50,107.50,99.75,107.25,10807500,0
RSA.L,D,20030505,000000,107.25,107.25,107.25,107.25,000,0
RSA.L,D,20030506,000000,116.50,120.25,106.75,120.00,15331000,0
RSA.L,D,20030507,000000,125.75,133.50,118.50,124.25,16416900,0
RSA.L,D,20030508,000000,126.00,126.00,117.25,118.00,12674000,0
RSA.L,D,20030509,000000,118.75,121.00,112.75,114.50,8092700,0
RSA.L,D,20030512,000000,120.00,122.00,111.00,113.50,14660400,0
RSA.L,D,20030513,000000,113.75,117.25,113.75,115.00,5590300,0
RSA.L,D,20030514,000000,115.00,122.25,114.00,120.00,8828600,0
RSA.L,D,20030515,000000,122.00,123.00,118.50,120.00,5985800,0
RSA.L,D,20030516,000000,130.25,132.00,120.00,130.00,10574200,0
RSA.L,D,20030519,000000,130.00,130.00,122.50,123.00,8934900,0
RSA.L,D,20030520,000000,122.00,128.75,120.00,125.25,7304600,0
RSA.L,D,20030521,000000,127.00,127.00,119.00,119.50,9257900,0
RSA.L,D,20030522,000000,125.50,135.50,125.50,135.00,27612000,0
RSA.L,D,20030523,000000,134.75,135.00,130.50,132.50,10373400,0
RSA.L,D,20030526,000000,132.50,132.50,132.50,132.50,000,0
RSA.L,D,20030527,000000,133.00,137.00,130.25,135.25,6138400,0
RSA.L,D,20030528,000000,138.25,138.50,134.00,136.25,7270400,0
RSA.L,D,20030529,000000,136.25,141.00,135.00,139.75,6198100,0
RSA.L,D,20030530,000000,139.00,144.25,138.75,142.25,6897800,0
RSA.L,D,20030602,000000,144.00,147.00,143.25,146.00,9023000,0
RSA.L,D,20030603,000000,143.50,145.00,139.50,141.75,6128800,0
RSA.L,D,20030604,000000,142.00,145.50,140.75,143.00,5760600,0
RSA.L,D,20030605,000000,144.75,145.00,139.25,139.25,4010900,0
RSA.L,D,20030606,000000,143.00,146.50,140.25,144.00,8716100,0
RSA.L,D,20030609,000000,143.00,144.75,139.00,140.00,5220100,0
RSA.L,D,20030610,000000,142.00,142.00,134.00,135.50,7913400,0
RSA.L,D,20030611,000000,136.00,138.75,134.50,137.75,13672400,0
RSA.L,D,20030612,000000,138.50,143.00,134.25,141.75,13592800,0
RSA.L,D,20030613,000000,143.00,145.00,137.75,138.00,6846300,0
RSA.L,D,20030616,000000,140.00,140.00,132.75,138.00,6333200,0
RSA.L,D,20030617,000000,141.75,146.75,141.00,143.00,12693500,0
RSA.L,D,20030618,000000,144.75,144.75,139.50,143.00,9255700,0
RSA.L,D,20030619,000000,141.00,142.75,135.00,135.75,9374800,0
RSA.L,D,20030620,000000,135.00,136.50,133.00,136.50,14646700,0
RSA.L,D,20030623,000000,136.50,138.00,132.75,133.75,6399200,0
RSA.L,D,20030624,000000,134.00,134.00,129.00,130.00,11497900,0
RSA.L,D,20030625,000000,132.00,138.25,132.00,136.00,10866400,0
RSA.L,D,20030626,000000,135.00,137.25,133.00,135.25,4615300,0
