<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RTO.L,D,20030101,000000,220.00,220.00,220.00,220.00,000,0
RTO.L,D,20030102,000000,214.50,218.25,212.75,215.00,2966100,0
RTO.L,D,20030103,000000,215.50,217.50,212.00,213.25,3265000,0
RTO.L,D,20030106,000000,208.50,216.00,208.50,214.25,2873500,0
RTO.L,D,20030107,000000,215.00,215.00,208.25,209.00,6315000,0
RTO.L,D,20030108,000000,208.25,210.50,202.50,204.50,3563200,0
RTO.L,D,20030109,000000,203.00,210.00,203.00,208.25,2283400,0
RTO.L,D,20030110,000000,207.50,212.50,207.50,209.75,3642700,0
RTO.L,D,20030113,000000,213.75,213.75,203.00,206.00,2522500,0
RTO.L,D,20030114,000000,212.87,212.00,200.25,203.50,3800500,0
RTO.L,D,20030115,000000,203.00,204.00,196.00,201.00,6005300,0
RTO.L,D,20030116,000000,199.00,204.25,194.00,200.25,4614600,0
RTO.L,D,20030117,000000,200.25,202.50,194.00,194.00,3522400,0
RTO.L,D,20030120,000000,199.25,199.50,193.00,195.75,3632100,0
RTO.L,D,20030121,000000,197.75,197.75,191.50,192.25,3824400,0
RTO.L,D,20030122,000000,195.50,195.50,186.00,189.75,6729000,0
RTO.L,D,20030123,000000,192.25,198.00,181.50,182.50,8606500,0
RTO.L,D,20030124,000000,185.00,190.75,183.00,183.50,6550200,0
RTO.L,D,20030127,000000,183.50,189.25,176.50,187.00,9663300,0
RTO.L,D,20030128,000000,185.50,195.00,185.50,186.50,10234900,0
RTO.L,D,20030129,000000,186.25,189.25,181.75,183.50,9187500,0
RTO.L,D,20030130,000000,185.50,198.75,184.25,194.00,4921200,0
RTO.L,D,20030131,000000,188.00,196.75,188.00,196.75,8214300,0
RTO.L,D,20030203,000000,200.00,204.00,197.25,202.00,5293000,0
RTO.L,D,20030204,000000,201.75,201.75,190.00,191.50,5777500,0
RTO.L,D,20030205,000000,191.50,195.00,185.00,195.00,6334000,0
RTO.L,D,20030206,000000,192.00,195.00,182.25,187.00,5636400,0
RTO.L,D,20030207,000000,188.00,192.25,187.00,188.25,6230000,0
RTO.L,D,20030210,000000,188.25,190.25,183.25,183.50,4181700,0
RTO.L,D,20030211,000000,186.00,187.00,184.25,186.00,4242700,0
RTO.L,D,20030212,000000,186.00,186.00,178.00,179.50,6815600,0
RTO.L,D,20030213,000000,176.00,183.00,176.00,180.00,4425900,0
RTO.L,D,20030214,000000,178.75,186.00,177.50,177.50,4440000,0
RTO.L,D,20030217,000000,189.00,189.00,178.00,184.00,5204500,0
RTO.L,D,20030218,000000,184.50,184.50,177.75,180.00,5391900,0
RTO.L,D,20030219,000000,180.00,180.50,175.25,175.50,5161900,0
RTO.L,D,20030220,000000,175.00,183.75,175.00,181.50,10079800,0
RTO.L,D,20030221,000000,186.25,188.75,180.25,187.75,8167900,0
