<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SAB.L,D,20030101,000000,441.50,441.50,441.50,441.50,000,0
SAB.L,D,20030102,000000,439.75,449.00,437.25,446.25,1472800,0
SAB.L,D,20030103,000000,444.50,446.00,438.25,445.00,1407600,0
SAB.L,D,20030106,000000,445.00,449.00,440.50,447.00,2578200,0
SAB.L,D,20030107,000000,450.00,454.00,443.00,447.00,2676100,0
SAB.L,D,20030108,000000,446.50,450.00,437.00,441.00,2145000,0
SAB.L,D,20030109,000000,437.25,442.00,437.25,439.50,1592800,0
SAB.L,D,20030110,000000,440.00,442.25,436.00,438.75,2126000,0
SAB.L,D,20030113,000000,437.00,440.00,431.25,433.75,2095000,0
SAB.L,D,20030114,000000,436.00,441.75,432.00,436.00,2069300,0
SAB.L,D,20030115,000000,437.37,441.00,428.25,429.25,3068300,0
SAB.L,D,20030116,000000,431.75,436.50,430.00,434.00,1632400,0
SAB.L,D,20030117,000000,434.25,434.25,426.50,426.50,1344000,0
SAB.L,D,20030120,000000,429.25,435.50,426.00,427.25,917000,0
SAB.L,D,20030121,000000,430.00,430.00,418.00,418.50,1269700,0
SAB.L,D,20030122,000000,417.00,423.50,410.25,412.00,3076200,0
SAB.L,D,20030123,000000,416.00,422.75,409.00,409.00,4334500,0
SAB.L,D,20030124,000000,407.25,408.25,402.25,404.50,2709000,0
SAB.L,D,20030127,000000,406.50,406.50,391.75,391.75,3632300,0
SAB.L,D,20030128,000000,397.25,397.25,383.75,387.50,3223100,0
SAB.L,D,20030129,000000,387.00,387.00,376.00,385.50,3397500,0
SAB.L,D,20030130,000000,390.00,398.00,387.25,392.50,3901000,0
SAB.L,D,20030131,000000,396.25,396.25,388.50,392.00,3111900,0
SAB.L,D,20030203,000000,393.00,397.50,389.75,396.25,2736100,0
SAB.L,D,20030204,000000,386.25,396.75,383.25,384.00,2889900,0
SAB.L,D,20030205,000000,388.50,394.50,383.00,394.50,3694600,0
SAB.L,D,20030206,000000,391.00,391.00,375.00,378.00,4967100,0
SAB.L,D,20030207,000000,380.00,380.00,368.25,376.25,6452700,0
SAB.L,D,20030210,000000,374.00,379.50,373.75,375.00,1641300,0
SAB.L,D,20030211,000000,380.00,380.25,375.00,377.50,2410800,0
SAB.L,D,20030212,000000,377.75,379.00,371.00,371.00,2249000,0
SAB.L,D,20030213,000000,368.50,372.75,367.00,371.00,2523000,0
SAB.L,D,20030214,000000,373.00,376.00,368.00,368.00,3622900,0
SAB.L,D,20030217,000000,375.00,379.00,371.50,376.25,2227500,0
SAB.L,D,20030218,000000,376.00,380.00,375.25,378.00,2427300,0
SAB.L,D,20030219,000000,378.75,378.75,371.00,372.00,3497800,0
SAB.L,D,20030220,000000,375.00,381.50,372.75,379.50,5190000,0
SAB.L,D,20030221,000000,378.75,386.75,377.00,386.75,4335400,0
SAB.L,D,20030224,000000,389.00,391.50,386.75,386.75,2194300,0
SAB.L,D,20030225,000000,384.00,386.75,383.50,384.25,3486000,0
SAB.L,D,20030226,000000,385.50,391.25,384.50,386.00,2709200,0
SAB.L,D,20030227,000000,389.00,393.00,382.00,388.25,2439600,0
SAB.L,D,20030228,000000,388.50,392.00,384.75,391.00,3826500,0
SAB.L,D,20030303,000000,393.00,393.00,385.00,387.00,3264200,0
SAB.L,D,20030304,000000,389.00,389.25,378.00,378.00,3382800,0
SAB.L,D,20030305,000000,375.75,379.75,375.50,377.50,1859400,0
SAB.L,D,20030306,000000,374.50,378.75,372.25,376.25,2590600,0
SAB.L,D,20030307,000000,373.50,375.75,367.75,370.50,2037300,0
SAB.L,D,20030310,000000,371.00,371.00,360.00,360.00,5696700,0
SAB.L,D,20030311,000000,359.50,365.00,356.50,365.00,4067700,0
SAB.L,D,20030312,000000,363.00,366.50,349.50,349.50,4477000,0
SAB.L,D,20030313,000000,357.00,372.00,353.00,372.00,3260300,0
SAB.L,D,20030314,000000,377.00,384.25,366.00,381.25,3525300,0
SAB.L,D,20030317,000000,374.25,387.75,373.75,387.00,2067400,0
SAB.L,D,20030318,000000,389.25,392.00,382.25,382.50,4611000,0
SAB.L,D,20030319,000000,386.00,402.00,385.50,396.50,3307400,0
SAB.L,D,20030320,000000,393.00,402.75,390.00,399.50,2387300,0
SAB.L,D,20030321,000000,400.00,408.00,397.00,404.00,1975400,0
SAB.L,D,20030324,000000,398.00,401.00,388.00,388.00,1849100,0
SAB.L,D,20030325,000000,390.50,396.75,388.00,395.25,2222500,0
SAB.L,D,20030326,000000,393.00,400.00,392.50,399.50,1230500,0
SAB.L,D,20030327,000000,399.00,399.50,393.25,398.25,1592900,0
SAB.L,D,20030328,000000,400.00,404.75,396.75,403.75,2553700,0
SAB.L,D,20030331,000000,405.00,405.00,390.25,396.00,1731000,0
SAB.L,D,20030401,000000,399.00,403.50,392.75,397.50,2840200,0
SAB.L,D,20030402,000000,400.00,413.25,398.50,411.00,5633900,0
SAB.L,D,20030403,000000,411.50,413.75,405.75,407.25,2162900,0
SAB.L,D,20030404,000000,405.00,421.25,405.00,420.00,3462600,0
SAB.L,D,20030407,000000,425.25,434.00,425.00,430.00,3291300,0
SAB.L,D,20030408,000000,424.00,430.50,422.00,426.25,2783300,0
SAB.L,D,20030409,000000,425.50,428.00,421.00,424.50,1818500,0
SAB.L,D,20030410,000000,422.50,424.00,416.50,420.25,1360100,0
SAB.L,D,20030411,000000,423.00,427.75,420.75,421.50,1564200,0
SAB.L,D,20030414,000000,425.00,426.00,420.25,424.25,1045200,0
SAB.L,D,20030415,000000,429.00,429.00,425.00,426.25,1714400,0
SAB.L,D,20030416,000000,428.00,429.00,425.00,426.25,1788000,0
SAB.L,D,20030417,000000,425.00,428.00,420.00,427.25,2821600,0
SAB.L,D,20030418,000000,427.25,427.25,427.25,427.25,000,0
SAB.L,D,20030421,000000,427.25,427.25,427.25,427.25,000,0
SAB.L,D,20030422,000000,431.00,434.50,425.25,429.50,870800,0
SAB.L,D,20030423,000000,430.00,439.00,429.00,431.00,2522400,0
SAB.L,D,20030424,000000,431.00,433.00,423.50,431.25,4244300,0
SAB.L,D,20030425,000000,434.75,435.75,429.00,430.00,3461200,0
SAB.L,D,20030428,000000,430.00,443.75,427.00,439.50,3138200,0
SAB.L,D,20030429,000000,439.50,446.00,439.00,441.50,2596600,0
SAB.L,D,20030430,000000,442.00,442.00,427.00,431.00,4332000,0
SAB.L,D,20030501,000000,431.00,431.00,416.00,416.00,3898600,0
SAB.L,D,20030502,000000,423.00,424.00,418.25,419.00,3806000,0
SAB.L,D,20030505,000000,419.00,419.00,419.00,419.00,000,0
SAB.L,D,20030506,000000,431.00,436.00,423.00,430.75,3336800,0
SAB.L,D,20030507,000000,430.75,438.50,430.75,438.50,3186500,0
SAB.L,D,20030508,000000,435.00,439.00,426.50,429.00,2714400,0
SAB.L,D,20030509,000000,433.25,442.00,432.00,440.00,3855400,0
SAB.L,D,20030512,000000,440.00,448.00,438.50,446.00,3531700,0
SAB.L,D,20030513,000000,446.00,461.75,446.00,459.50,3848000,0
SAB.L,D,20030514,000000,453.00,459.00,441.50,443.00,8014600,0
SAB.L,D,20030515,000000,442.00,442.00,419.50,426.75,6674100,0
SAB.L,D,20030516,000000,423.00,429.50,423.00,429.00,2774100,0
SAB.L,D,20030519,000000,423.25,429.00,420.00,422.00,2079900,0
SAB.L,D,20030520,000000,422.00,427.75,419.75,426.75,2396400,0
SAB.L,D,20030521,000000,428.75,429.50,420.25,427.50,2020600,0
SAB.L,D,20030522,000000,412.25,420.00,409.25,415.75,6838500,0
SAB.L,D,20030523,000000,415.00,419.00,409.00,417.00,2242800,0
SAB.L,D,20030526,000000,417.00,417.00,417.00,417.00,000,0
SAB.L,D,20030527,000000,414.00,418.50,410.25,413.50,2954500,0
SAB.L,D,20030528,000000,412.00,418.50,410.50,413.00,3592400,0
SAB.L,D,20030529,000000,412.75,413.25,403.75,405.00,3541800,0
SAB.L,D,20030530,000000,403.00,408.50,396.00,403.00,6311300,0
SAB.L,D,20030602,000000,407.25,414.00,407.25,413.50,2704300,0
SAB.L,D,20030603,000000,410.00,411.00,403.25,407.25,3263600,0
SAB.L,D,20030604,000000,407.00,410.75,403.25,410.25,1237000,0
SAB.L,D,20030605,000000,411.00,411.00,402.00,405.75,2232500,0
SAB.L,D,20030606,000000,410.00,416.00,405.50,415.50,3079500,0
SAB.L,D,20030609,000000,407.75,411.00,406.25,408.75,2940700,0
SAB.L,D,20030610,000000,408.75,409.25,405.00,405.50,1692900,0
SAB.L,D,20030611,000000,410.00,410.00,401.00,403.00,2918100,0
SAB.L,D,20030612,000000,403.00,410.50,402.00,409.75,3809100,0
SAB.L,D,20030613,000000,409.25,411.75,409.00,409.00,2479400,0
SAB.L,D,20030616,000000,407.00,419.25,407.00,419.25,3698900,0
SAB.L,D,20030617,000000,417.00,428.25,417.00,420.00,4022900,0
SAB.L,D,20030618,000000,419.00,420.00,412.00,417.00,2893300,0
SAB.L,D,20030619,000000,413.25,422.00,413.00,415.50,2914700,0
SAB.L,D,20030620,000000,416.25,428.50,415.00,428.50,1914900,0
SAB.L,D,20030623,000000,420.00,420.00,401.00,405.50,3607300,0
SAB.L,D,20030624,000000,403.00,410.00,403.00,405.00,3859600,0
SAB.L,D,20030625,000000,408.00,412.75,406.75,410.75,2746800,0
SAB.L,D,20030626,000000,406.50,409.75,406.50,408.50,2595000,0
SAB.L,D,20030627,000000,412.50,414.00,409.00,410.75,3613800,0
SAB.L,D,20030630,000000,411.00,411.75,405.75,405.75,3219500,0
SAB.L,D,20030701,000000,407.50,408.00,399.75,401.50,3350800,0
SAB.L,D,20030702,000000,405.00,406.50,400.50,403.00,2741100,0
SAB.L,D,20030703,000000,408.00,408.00,403.50,408.00,2311800,0
SAB.L,D,20030704,000000,407.50,410.00,404.50,406.50,2172700,0
SAB.L,D,20030707,000000,408.50,411.00,406.75,408.00,2890800,0
SAB.L,D,20030708,000000,408.00,412.00,405.75,409.50,3420700,0
SAB.L,D,20030709,000000,403.00,403.00,395.50,401.75,2783800,0
SAB.L,D,20030710,000000,402.00,405.00,400.75,405.00,1859100,0
SAB.L,D,20030711,000000,404.00,407.75,400.75,405.75,1154800,0
SAB.L,D,20030714,000000,406.50,414.00,406.50,413.00,1806300,0
