<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SBRY.L,D,20030101,000000,278.75,278.75,278.75,278.75,000,0
SBRY.L,D,20030102,000000,277.00,283.50,272.00,283.50,2332000,0
SBRY.L,D,20030103,000000,281.50,287.25,280.00,287.25,2709700,0
SBRY.L,D,20030106,000000,287.00,290.75,272.00,285.00,3994900,0
SBRY.L,D,20030107,000000,284.25,288.00,279.00,282.00,3001800,0
SBRY.L,D,20030108,000000,280.00,282.75,273.50,276.25,5091700,0
SBRY.L,D,20030109,000000,264.00,265.00,255.50,258.50,23328000,0
SBRY.L,D,20030110,000000,258.00,264.00,253.00,256.00,16400000,0
SBRY.L,D,20030113,000000,247.00,250.75,236.50,241.75,22319500,0
SBRY.L,D,20030114,000000,238.96,244.00,235.50,239.00,13567600,0
SBRY.L,D,20030115,000000,233.50,241.75,225.75,228.75,11419500,0
SBRY.L,D,20030116,000000,229.00,244.50,229.00,239.50,16744200,0
SBRY.L,D,20030117,000000,240.00,251.50,238.50,247.00,12827300,0
SBRY.L,D,20030120,000000,253.50,253.50,247.00,247.50,8786000,0
SBRY.L,D,20030121,000000,249.00,249.00,245.00,245.00,4100100,0
SBRY.L,D,20030122,000000,241.50,247.50,237.25,237.25,9501000,0
SBRY.L,D,20030123,000000,238.00,243.75,237.25,239.50,7525900,0
SBRY.L,D,20030124,000000,239.50,251.75,238.75,246.75,18449900,0
SBRY.L,D,20030127,000000,246.75,246.75,246.75,246.75,000,0
SBRY.L,D,20030128,000000,232.25,239.25,231.50,233.25,6937600,0
SBRY.L,D,20030129,000000,233.25,233.25,221.50,227.00,10820300,0
SBRY.L,D,20030130,000000,229.25,243.50,229.00,240.00,10025200,0
SBRY.L,D,20030131,000000,233.00,240.75,233.00,235.25,7509500,0
SBRY.L,D,20030203,000000,235.50,248.75,235.25,246.25,5661000,0
SBRY.L,D,20030204,000000,244.75,248.25,238.50,239.50,4372900,0
SBRY.L,D,20030205,000000,241.00,249.25,239.50,249.25,4237500,0
SBRY.L,D,20030206,000000,246.00,248.25,244.75,245.25,5238500,0
SBRY.L,D,20030207,000000,245.50,247.00,242.00,246.75,4102800,0
SBRY.L,D,20030210,000000,243.25,243.25,238.25,238.25,5853700,0
SBRY.L,D,20030211,000000,235.00,243.00,235.00,240.25,6395600,0
SBRY.L,D,20030212,000000,237.50,240.00,234.50,235.00,3600100,0
SBRY.L,D,20030213,000000,232.00,236.50,226.75,230.00,4704500,0
SBRY.L,D,20030214,000000,238.50,238.50,227.25,230.00,4059700,0
SBRY.L,D,20030217,000000,232.00,237.00,232.00,235.50,3335000,0
SBRY.L,D,20030218,000000,236.50,237.00,231.75,237.00,2794100,0
SBRY.L,D,20030219,000000,236.00,237.25,227.75,227.75,4058300,0
SBRY.L,D,20030220,000000,232.50,234.25,227.25,233.00,5700000,0
SBRY.L,D,20030221,000000,233.00,237.00,230.25,234.00,2826100,0
SBRY.L,D,20030224,000000,232.75,236.00,230.75,233.25,3540500,0
SBRY.L,D,20030225,000000,232.00,233.25,225.00,225.00,3907000,0
SBRY.L,D,20030226,000000,230.00,230.00,220.00,221.75,5776600,0
SBRY.L,D,20030227,000000,224.00,226.50,219.00,225.75,5192100,0
SBRY.L,D,20030228,000000,227.25,232.00,225.00,232.00,3505600,0
SBRY.L,D,20030303,000000,232.75,234.25,227.50,233.00,5213700,0
SBRY.L,D,20030304,000000,235.75,235.75,225.25,229.00,5872200,0
SBRY.L,D,20030305,000000,226.00,228.50,221.25,221.25,3907100,0
SBRY.L,D,20030306,000000,222.25,225.50,220.75,222.00,4472800,0
SBRY.L,D,20030307,000000,222.25,225.25,221.50,221.50,4351800,0
SBRY.L,D,20030310,000000,221.75,224.50,220.00,220.00,4451800,0
SBRY.L,D,20030311,000000,221.75,227.00,217.00,227.00,6927700,0
SBRY.L,D,20030312,000000,225.25,229.00,220.25,220.25,5635900,0
SBRY.L,D,20030313,000000,220.00,230.00,220.00,230.00,7549600,0
SBRY.L,D,20030314,000000,234.00,236.50,228.00,235.00,4592700,0
SBRY.L,D,20030317,000000,234.75,245.50,229.00,245.00,3959300,0
SBRY.L,D,20030318,000000,243.00,247.75,241.00,243.00,4695900,0
SBRY.L,D,20030319,000000,245.00,255.00,237.00,237.00,8893300,0
SBRY.L,D,20030320,000000,239.50,240.25,233.00,237.00,10244300,0
SBRY.L,D,20030321,000000,234.50,238.00,226.00,231.00,16467000,0
SBRY.L,D,20030324,000000,231.75,232.50,224.00,228.25,4319100,0
SBRY.L,D,20030325,000000,224.50,229.50,220.50,226.75,5177800,0
SBRY.L,D,20030326,000000,225.25,233.25,224.25,231.00,4579100,0
SBRY.L,D,20030327,000000,227.25,229.00,218.00,220.00,7996900,0
SBRY.L,D,20030328,000000,220.00,229.50,217.00,226.00,6654600,0
SBRY.L,D,20030331,000000,226.00,226.00,218.25,220.00,4162400,0
SBRY.L,D,20030401,000000,222.00,223.00,215.25,220.25,4766400,0
SBRY.L,D,20030402,000000,218.00,226.00,218.00,223.00,4489700,0
SBRY.L,D,20030403,000000,223.75,227.50,222.50,226.25,4173600,0
SBRY.L,D,20030404,000000,226.50,230.00,223.75,230.00,4329400,0
SBRY.L,D,20030407,000000,232.00,237.75,229.00,233.50,6211300,0
SBRY.L,D,20030408,000000,231.25,235.25,228.25,228.25,5912000,0
SBRY.L,D,20030409,000000,228.50,233.00,227.00,231.00,4298700,0
SBRY.L,D,20030410,000000,229.50,232.75,227.50,230.25,3204600,0
SBRY.L,D,20030411,000000,232.00,235.00,230.25,231.50,3035700,0
SBRY.L,D,20030414,000000,231.50,238.75,231.00,236.00,4689800,0
SBRY.L,D,20030415,000000,237.50,243.75,237.50,243.00,5622900,0
SBRY.L,D,20030416,000000,243.00,248.00,237.00,240.00,5551400,0
SBRY.L,D,20030417,000000,238.25,240.00,233.00,234.50,4528100,0
SBRY.L,D,20030418,000000,234.50,234.50,234.50,234.50,000,0
SBRY.L,D,20030421,000000,234.50,234.50,234.50,234.50,000,0
SBRY.L,D,20030422,000000,238.00,238.25,230.75,238.25,3576100,0
SBRY.L,D,20030423,000000,237.25,240.00,236.00,239.75,4094700,0
SBRY.L,D,20030424,000000,238.00,239.50,236.00,238.50,3873000,0
SBRY.L,D,20030425,000000,239.00,240.75,232.25,233.00,4946200,0
SBRY.L,D,20030428,000000,233.00,238.00,232.00,238.00,3509800,0
SBRY.L,D,20030429,000000,239.75,240.00,234.00,235.25,3465500,0
SBRY.L,D,20030430,000000,234.00,243.75,234.00,236.50,4467800,0
SBRY.L,D,20030501,000000,238.00,244.00,237.75,240.00,3648800,0
SBRY.L,D,20030502,000000,241.00,245.50,238.50,244.00,4522100,0
SBRY.L,D,20030505,000000,244.00,244.00,244.00,244.00,000,0
SBRY.L,D,20030506,000000,245.75,257.25,243.25,255.00,9591600,0
SBRY.L,D,20030507,000000,255.00,255.00,247.25,250.00,4954400,0
SBRY.L,D,20030508,000000,248.25,253.25,245.25,250.00,5182700,0
SBRY.L,D,20030509,000000,252.00,254.75,246.75,254.50,4157500,0
SBRY.L,D,20030512,000000,256.75,262.25,250.75,260.25,4312200,0
SBRY.L,D,20030513,000000,260.25,266.50,253.50,255.50,5699700,0
SBRY.L,D,20030514,000000,254.25,259.75,253.25,256.75,5754800,0
SBRY.L,D,20030515,000000,254.75,260.00,252.50,260.00,6046500,0
SBRY.L,D,20030516,000000,260.00,270.00,260.00,268.00,6820700,0
SBRY.L,D,20030519,000000,266.00,266.50,259.50,259.50,5727400,0
SBRY.L,D,20030520,000000,260.00,266.00,260.00,265.00,3545900,0
SBRY.L,D,20030521,000000,262.00,262.00,252.00,256.50,7898000,0
SBRY.L,D,20030522,000000,256.00,263.00,255.25,261.75,4643200,0
SBRY.L,D,20030523,000000,262.00,267.75,260.50,267.75,2700000,0
SBRY.L,D,20030526,000000,267.75,267.75,267.75,267.75,000,0
SBRY.L,D,20030527,000000,267.75,277.50,262.00,275.50,13869900,0
SBRY.L,D,20030528,000000,268.75,277.75,264.00,268.00,14892600,0
SBRY.L,D,20030529,000000,271.00,279.00,266.00,279.00,7624600,0
SBRY.L,D,20030530,000000,276.25,278.00,266.75,270.75,11896800,0
SBRY.L,D,20030602,000000,268.00,270.50,264.75,270.00,8152700,0
SBRY.L,D,20030603,000000,267.00,270.00,266.00,267.50,6873900,0
SBRY.L,D,20030604,000000,267.50,269.00,256.00,266.50,9401600,0
SBRY.L,D,20030605,000000,262.00,265.00,255.50,258.00,7755200,0
SBRY.L,D,20030606,000000,260.25,267.25,256.75,259.75,8302400,0
SBRY.L,D,20030609,000000,257.25,257.75,254.00,255.75,4987400,0
SBRY.L,D,20030610,000000,255.75,258.75,254.75,256.00,5810300,0
SBRY.L,D,20030611,000000,256.00,265.00,255.00,264.75,12846400,0
SBRY.L,D,20030612,000000,263.00,270.25,261.75,267.50,9183000,0
SBRY.L,D,20030613,000000,268.50,268.50,261.75,261.75,3305700,0
SBRY.L,D,20030616,000000,263.50,265.00,257.75,263.50,4127300,0
SBRY.L,D,20030617,000000,265.00,265.00,259.50,262.25,4819000,0
SBRY.L,D,20030618,000000,260.25,262.00,258.00,259.75,6296600,0
SBRY.L,D,20030619,000000,264.25,264.25,257.25,259.00,2846900,0
SBRY.L,D,20030620,000000,262.00,263.50,256.00,262.00,2246300,0
SBRY.L,D,20030623,000000,259.50,262.50,255.00,258.00,4754500,0
SBRY.L,D,20030624,000000,255.50,259.75,251.25,251.25,4631700,0
SBRY.L,D,20030625,000000,254.50,259.00,253.50,256.00,4869100,0
SBRY.L,D,20030626,000000,258.00,261.50,256.00,258.00,3412600,0
SBRY.L,D,20030627,000000,260.25,270.00,255.25,257.75,5873400,0
SBRY.L,D,20030630,000000,257.25,259.75,254.00,254.00,3184000,0
SBRY.L,D,20030701,000000,256.25,257.00,249.00,253.50,4890200,0
SBRY.L,D,20030702,000000,254.00,256.50,249.00,251.50,7726300,0
SBRY.L,D,20030703,000000,251.25,254.50,249.00,251.25,6560000,0
