<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SDRC.L,D,20030101,000000,484.00,484.00,484.00,484.00,000,0
SDRC.L,D,20030102,000000,483.50,503.50,469.00,503.50,42100,0
SDRC.L,D,20030103,000000,492.25,501.75,480.25,483.00,16800,0
SDRC.L,D,20030106,000000,487.00,519.75,460.25,491.00,25000,0
SDRC.L,D,20030107,000000,476.50,486.00,470.25,475.50,98600,0
SDRC.L,D,20030108,000000,475.00,481.75,467.00,470.25,87200,0
SDRC.L,D,20030109,000000,470.25,489.50,467.00,479.50,17900,0
SDRC.L,D,20030110,000000,474.00,493.75,472.00,490.00,126700,0
SDRC.L,D,20030113,000000,491.25,504.25,470.50,470.50,31400,0
SDRC.L,D,20030114,000000,481.75,488.75,468.00,478.00,39300,0
SDRC.L,D,20030115,000000,481.95,493.25,475.00,479.00,96500,0
SDRC.L,D,20030116,000000,470.25,479.25,462.25,473.50,14800,0
SDRC.L,D,20030117,000000,473.50,479.50,460.25,460.25,27300,0
SDRC.L,D,20030120,000000,467.25,468.50,450.00,450.00,64300,0
SDRC.L,D,20030121,000000,445.00,466.50,445.00,454.25,53200,0
SDRC.L,D,20030122,000000,451.00,458.75,425.00,425.00,44700,0
SDRC.L,D,20030123,000000,425.00,442.75,420.25,421.00,76300,0
SDRC.L,D,20030124,000000,424.75,433.00,406.25,430.00,121700,0
SDRC.L,D,20030127,000000,425.00,425.00,400.00,404.50,112300,0
SDRC.L,D,20030128,000000,410.50,414.25,390.00,395.00,143700,0
SDRC.L,D,20030129,000000,390.00,397.00,385.00,390.75,114200,0
SDRC.L,D,20030130,000000,390.25,431.25,390.25,421.25,75200,0
SDRC.L,D,20030131,000000,406.50,408.25,402.00,402.25,117000,0
SDRC.L,D,20030203,000000,417.00,430.00,414.50,427.00,107300,0
SDRC.L,D,20030204,000000,415.00,424.75,401.00,401.25,83900,0
SDRC.L,D,20030205,000000,425.75,425.75,407.75,417.00,40100,0
SDRC.L,D,20030206,000000,410.50,420.00,397.75,402.75,47500,0
SDRC.L,D,20030207,000000,414.50,422.75,414.50,422.75,18200,0
SDRC.L,D,20030210,000000,424.50,424.50,396.25,413.50,61800,0
SDRC.L,D,20030211,000000,416.00,429.25,415.00,429.25,19700,0
SDRC.L,D,20030212,000000,414.25,420.00,412.75,413.00,96200,0
SDRC.L,D,20030213,000000,413.00,422.75,406.25,415.00,28900,0
SDRC.L,D,20030214,000000,416.75,417.00,394.00,394.00,14700,0
SDRC.L,D,20030217,000000,412.00,419.50,400.00,419.50,100700,0
SDRC.L,D,20030218,000000,412.50,434.00,407.00,422.75,77500,0
SDRC.L,D,20030219,000000,422.75,422.75,409.25,411.25,55100,0
SDRC.L,D,20030220,000000,415.25,424.00,412.00,416.50,55400,0
SDRC.L,D,20030221,000000,424.75,424.75,405.25,423.50,56300,0
SDRC.L,D,20030224,000000,424.75,424.75,407.75,414.75,34300,0
SDRC.L,D,20030225,000000,410.25,417.00,400.00,400.00,444200,0
SDRC.L,D,20030226,000000,405.25,411.50,398.00,400.75,184900,0
SDRC.L,D,20030227,000000,400.00,410.00,372.00,400.00,181600,0
SDRC.L,D,20030228,000000,404.75,409.75,389.00,407.00,74200,0
SDRC.L,D,20030303,000000,400.25,400.75,393.50,396.50,11900,0
