<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SGE.L,D,20030101,000000,133.00,133.00,133.00,133.00,000,0
SGE.L,D,20030102,000000,132.75,142.00,131.75,140.00,2660100,0
SGE.L,D,20030103,000000,143.00,143.00,134.75,135.25,1972500,0
SGE.L,D,20030106,000000,140.75,142.50,133.50,136.00,1849300,0
SGE.L,D,20030107,000000,138.50,140.25,136.00,137.00,4876500,0
SGE.L,D,20030108,000000,137.00,139.00,131.50,133.75,3682000,0
SGE.L,D,20030109,000000,132.75,138.25,132.75,138.25,2109500,0
SGE.L,D,20030110,000000,138.25,144.75,137.00,140.50,3507700,0
SGE.L,D,20030113,000000,138.43,147.00,140.00,141.25,2498800,0
SGE.L,D,20030114,000000,147.66,147.00,142.00,142.50,2336400,0
SGE.L,D,20030115,000000,145.18,145.75,133.75,137.50,4236400,0
SGE.L,D,20030116,000000,138.00,144.75,134.00,140.25,4451700,0
SGE.L,D,20030117,000000,136.50,136.75,127.00,130.75,7925500,0
SGE.L,D,20030120,000000,135.00,135.00,129.00,129.50,3783000,0
SGE.L,D,20030121,000000,130.75,131.75,126.50,129.50,4633600,0
SGE.L,D,20030122,000000,127.00,129.00,125.00,126.00,3858500,0
SGE.L,D,20030123,000000,130.25,131.75,127.00,127.00,2912500,0
SGE.L,D,20030124,000000,127.25,134.25,127.25,130.25,3622800,0
SGE.L,D,20030127,000000,126.25,130.50,123.25,127.75,5765600,0
SGE.L,D,20030128,000000,130.25,130.25,121.75,126.00,4818200,0
SGE.L,D,20030129,000000,123.00,125.75,120.25,122.50,4140600,0
SGE.L,D,20030130,000000,125.00,126.75,123.00,125.75,4852300,0
SGE.L,D,20030131,000000,123.00,123.00,117.25,118.00,5279400,0
SGE.L,D,20030203,000000,122.50,130.00,121.50,129.25,6835600,0
SGE.L,D,20030204,000000,131.00,133.50,127.00,129.00,9261700,0
SGE.L,D,20030205,000000,127.50,129.50,123.75,128.00,4592300,0
SGE.L,D,20030206,000000,126.50,129.00,118.00,123.25,3709100,0
SGE.L,D,20030207,000000,125.00,128.50,119.25,126.00,4866100,0
SGE.L,D,20030210,000000,127.00,127.00,123.75,125.25,1638200,0
SGE.L,D,20030211,000000,125.00,131.25,123.50,130.00,4218000,0
SGE.L,D,20030212,000000,130.25,130.25,125.75,126.25,2647600,0
SGE.L,D,20030213,000000,124.00,128.50,123.00,126.25,2115900,0
SGE.L,D,20030214,000000,128.00,129.75,126.50,127.75,3362100,0
SGE.L,D,20030217,000000,128.50,131.50,127.25,131.50,1967900,0
SGE.L,D,20030218,000000,131.75,138.50,127.25,137.00,3754000,0
SGE.L,D,20030219,000000,137.00,137.00,130.00,132.50,4960700,0
SGE.L,D,20030220,000000,132.00,135.00,129.75,133.25,1657200,0
SGE.L,D,20030221,000000,132.75,134.00,128.50,133.00,2646100,0
SGE.L,D,20030224,000000,133.25,134.25,130.25,131.50,1096300,0
SGE.L,D,20030225,000000,130.00,131.50,126.50,128.50,3420800,0
SGE.L,D,20030226,000000,129.50,130.00,126.00,129.00,2361500,0
SGE.L,D,20030227,000000,128.25,131.25,125.75,127.50,3127500,0
SGE.L,D,20030228,000000,130.00,135.00,128.50,133.75,3050100,0
SGE.L,D,20030303,000000,132.50,138.00,132.00,136.75,2587200,0
SGE.L,D,20030304,000000,136.75,140.50,131.25,134.50,5417800,0
SGE.L,D,20030305,000000,134.00,135.75,125.25,128.75,6597200,0
SGE.L,D,20030306,000000,127.00,132.00,124.00,129.00,5205900,0
SGE.L,D,20030307,000000,125.50,131.00,121.75,129.50,3937900,0
SGE.L,D,20030310,000000,129.25,129.25,124.75,124.75,2661100,0
SGE.L,D,20030311,000000,125.75,130.75,121.50,129.75,2837600,0
SGE.L,D,20030312,000000,128.75,128.75,118.50,119.00,9945800,0
SGE.L,D,20030313,000000,122.00,130.00,122.00,130.00,6216600,0
SGE.L,D,20030314,000000,133.25,136.50,130.00,135.50,6684900,0
SGE.L,D,20030317,000000,131.50,151.50,130.00,142.00,5722000,0
SGE.L,D,20030318,000000,142.00,147.50,140.00,142.00,5589700,0
SGE.L,D,20030319,000000,143.00,146.50,135.00,140.00,11024900,0
SGE.L,D,20030320,000000,141.00,141.00,122.00,123.00,11756800,0
SGE.L,D,20030321,000000,120.00,133.00,117.50,128.25,12235900,0
SGE.L,D,20030324,000000,125.00,127.00,121.75,122.75,2915900,0
SGE.L,D,20030325,000000,120.75,122.75,118.00,120.00,2767300,0
SGE.L,D,20030326,000000,121.75,125.25,118.00,120.00,4989600,0
SGE.L,D,20030327,000000,120.00,122.00,118.25,120.25,4837600,0
SGE.L,D,20030328,000000,119.00,121.00,116.25,119.50,5544600,0
SGE.L,D,20030331,000000,119.50,119.50,112.00,115.00,3129800,0
SGE.L,D,20030401,000000,115.00,121.75,113.25,120.00,5356500,0
SGE.L,D,20030402,000000,122.00,126.00,122.00,123.00,3956100,0
SGE.L,D,20030403,000000,122.50,130.50,121.00,126.00,4456200,0
SGE.L,D,20030404,000000,126.25,126.25,120.00,121.50,6280300,0
SGE.L,D,20030407,000000,125.00,127.00,119.00,122.75,5562000,0
SGE.L,D,20030408,000000,120.00,123.50,118.00,119.00,6025700,0
SGE.L,D,20030409,000000,119.00,121.75,114.50,118.50,6729300,0
SGE.L,D,20030410,000000,120.00,124.00,118.25,120.50,4845200,0
SGE.L,D,20030411,000000,124.75,137.25,122.25,135.00,15718000,0
SGE.L,D,20030414,000000,134.25,135.75,130.00,132.25,5598800,0
SGE.L,D,20030415,000000,133.00,139.00,133.00,136.00,3878500,0
SGE.L,D,20030416,000000,138.75,141.50,135.25,136.00,3026300,0
SGE.L,D,20030417,000000,135.50,138.00,131.00,136.00,2618100,0
SGE.L,D,20030418,000000,136.00,136.00,136.00,136.00,000,0
SGE.L,D,20030421,000000,136.00,136.00,136.00,136.00,000,0
SGE.L,D,20030422,000000,130.00,136.75,130.00,135.25,3322600,0
SGE.L,D,20030423,000000,138.00,139.00,132.75,137.50,5022800,0
SGE.L,D,20030424,000000,137.50,141.50,137.00,138.25,4012100,0
SGE.L,D,20030425,000000,135.25,138.50,135.25,137.50,2950200,0
SGE.L,D,20030428,000000,135.75,144.00,135.75,140.25,2439800,0
SGE.L,D,20030429,000000,141.50,147.00,139.00,142.25,4551300,0
SGE.L,D,20030430,000000,142.00,144.00,135.00,138.75,4658100,0
SGE.L,D,20030501,000000,138.00,138.25,134.75,135.50,1581700,0
SGE.L,D,20030502,000000,137.25,142.75,136.50,139.00,3039300,0
SGE.L,D,20030505,000000,139.00,139.00,139.00,139.00,000,0
SGE.L,D,20030506,000000,140.00,143.75,137.00,142.00,4305800,0
SGE.L,D,20030507,000000,140.75,149.00,136.50,147.00,8326800,0
SGE.L,D,20030508,000000,145.00,146.50,142.50,143.25,5876500,0
SGE.L,D,20030509,000000,144.50,148.00,141.75,146.75,4852200,0
SGE.L,D,20030512,000000,148.50,148.50,141.00,144.50,3538100,0
SGE.L,D,20030513,000000,144.00,153.00,142.00,151.75,2805900,0
SGE.L,D,20030514,000000,152.00,152.00,144.00,147.50,4607500,0
SGE.L,D,20030515,000000,151.75,159.00,147.50,156.50,7777800,0
SGE.L,D,20030516,000000,157.00,163.00,153.75,157.50,6791400,0
SGE.L,D,20030519,000000,155.75,157.00,152.00,152.75,3858600,0
SGE.L,D,20030520,000000,153.00,155.25,151.00,152.00,5198600,0
SGE.L,D,20030521,000000,154.50,154.50,148.75,150.00,2687300,0
SGE.L,D,20030522,000000,149.75,154.50,149.25,153.25,3639700,0
SGE.L,D,20030523,000000,153.00,154.75,149.75,151.25,4358200,0
SGE.L,D,20030526,000000,151.25,151.25,151.25,151.25,000,0
SGE.L,D,20030527,000000,154.00,154.00,149.75,153.00,2151000,0
SGE.L,D,20030528,000000,153.25,160.00,153.00,156.25,5354900,0
SGE.L,D,20030529,000000,155.00,162.00,155.00,158.50,1952400,0
SGE.L,D,20030530,000000,157.50,164.00,157.50,160.25,4850800,0
SGE.L,D,20030602,000000,161.00,168.50,157.75,167.00,2581100,0
SGE.L,D,20030603,000000,164.50,164.50,160.00,163.00,4925800,0
SGE.L,D,20030604,000000,162.75,166.75,162.00,164.25,5254400,0
SGE.L,D,20030605,000000,164.25,168.50,164.25,167.50,4122400,0
SGE.L,D,20030606,000000,168.25,191.50,167.75,177.25,9827100,0
SGE.L,D,20030609,000000,177.25,180.00,172.75,176.00,5990000,0
SGE.L,D,20030610,000000,174.00,175.75,172.00,175.75,4280400,0
SGE.L,D,20030611,000000,176.00,180.00,170.00,172.25,4315100,0
SGE.L,D,20030612,000000,172.00,175.75,170.25,171.50,4763400,0
SGE.L,D,20030613,000000,171.25,175.25,169.50,171.00,3255900,0
SGE.L,D,20030616,000000,171.50,175.50,169.00,174.00,3955100,0
