<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SHP.L,D,20030101,000000,397.50,397.50,397.50,397.50,000,0
SHP.L,D,20030102,000000,394.00,408.00,392.50,401.50,1684500,0
SHP.L,D,20030103,000000,404.00,404.00,394.00,401.00,1005100,0
SHP.L,D,20030106,000000,407.00,414.00,397.75,410.50,1031700,0
SHP.L,D,20030107,000000,416.50,416.50,401.75,405.75,979900,0
SHP.L,D,20030108,000000,400.25,407.50,397.00,403.00,1024100,0
SHP.L,D,20030109,000000,354.25,372.00,341.00,355.50,8089600,0
SHP.L,D,20030110,000000,355.50,366.75,354.25,358.00,2261400,0
SHP.L,D,20030113,000000,366.33,367.50,353.50,357.50,1454200,0
SHP.L,D,20030114,000000,363.00,369.50,360.00,366.25,1269600,0
SHP.L,D,20030115,000000,369.50,375.00,365.00,368.00,1898200,0
SHP.L,D,20030116,000000,363.00,369.75,361.00,365.00,1943200,0
SHP.L,D,20030117,000000,360.00,371.75,355.50,357.50,2633600,0
SHP.L,D,20030120,000000,360.00,370.00,348.00,350.00,979800,0
SHP.L,D,20030121,000000,350.00,363.00,348.50,358.00,2003400,0
SHP.L,D,20030122,000000,359.00,363.25,348.00,356.25,2275200,0
SHP.L,D,20030123,000000,374.00,374.00,349.25,352.25,2358900,0
SHP.L,D,20030124,000000,357.00,363.50,340.50,346.00,2638900,0
SHP.L,D,20030127,000000,347.50,347.50,322.00,325.75,2964200,0
SHP.L,D,20030128,000000,330.75,334.00,317.00,326.00,3096500,0
SHP.L,D,20030129,000000,328.50,333.25,313.50,328.00,2156000,0
SHP.L,D,20030130,000000,332.00,337.00,315.00,336.25,1490600,0
SHP.L,D,20030131,000000,332.50,333.75,320.00,328.25,1475600,0
SHP.L,D,20030203,000000,330.00,340.00,330.00,339.00,1259200,0
SHP.L,D,20030204,000000,333.00,338.25,327.75,328.25,1157000,0
SHP.L,D,20030205,000000,325.00,326.25,318.25,321.50,2154800,0
SHP.L,D,20030206,000000,312.25,319.50,312.25,315.00,1834400,0
SHP.L,D,20030207,000000,319.00,322.00,311.00,317.50,2093900,0
SHP.L,D,20030210,000000,315.00,319.25,307.50,313.50,1241500,0
SHP.L,D,20030211,000000,318.50,319.50,313.75,318.00,1551800,0
