<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SVT.L,D,20030101,000000,1041.00,1041.00,1041.00,1041.00,000,0
SVT.L,D,20030102,000000,1025.25,1049.25,1020.00,1032.00,356700,0
SVT.L,D,20030103,000000,1032.00,1032.00,1016.25,1017.00,444800,0
SVT.L,D,20030106,000000,1017.00,1022.25,1008.00,1019.25,863800,0
SVT.L,D,20030107,000000,1020.00,1020.00,991.50,1014.75,816500,0
SVT.L,D,20030108,000000,1014.75,1016.25,1003.50,1011.75,1245000,0
SVT.L,D,20030109,000000,1005.00,1031.25,1005.00,1024.50,759900,0
SVT.L,D,20030110,000000,1014.00,1040.25,1013.25,1032.75,537000,0
SVT.L,D,20030113,000000,1027.14,1040.25,1005.00,1024.50,610700,0
SVT.L,D,20030114,000000,1033.50,1039.50,1020.75,1037.25,733900,0
SVT.L,D,20030115,000000,1029.15,1074.00,1036.50,1072.50,1557000,0
SVT.L,D,20030116,000000,1065.00,1077.75,1057.50,1077.00,1430000,0
SVT.L,D,20030117,000000,1077.00,1079.25,1064.25,1074.75,594300,0
SVT.L,D,20030120,000000,1064.25,1081.50,1057.50,1066.50,502200,0
SVT.L,D,20030121,000000,1077.00,1083.00,1050.75,1056.00,582400,0
SVT.L,D,20030122,000000,1050.00,1066.50,1045.50,1051.50,937600,0
SVT.L,D,20030123,000000,1062.00,1062.00,1032.00,1032.00,1038200,0
SVT.L,D,20030124,000000,1042.50,1054.50,1026.75,1035.00,719800,0
SVT.L,D,20030127,000000,1038.00,1038.00,1007.25,1007.25,869600,0
SVT.L,D,20030128,000000,1029.00,1029.00,1001.25,1005.75,954700,0
SVT.L,D,20030129,000000,1005.75,1018.50,960.00,968.25,1287100,0
SVT.L,D,20030130,000000,975.00,1040.25,947.25,1012.50,903700,0
SVT.L,D,20030131,000000,1004.25,1042.50,990.00,1032.00,1601200,0
SVT.L,D,20030203,000000,1045.50,1065.00,1021.50,1044.75,1017000,0
SVT.L,D,20030204,000000,1018.50,1044.00,1018.50,1029.00,1042900,0
SVT.L,D,20030205,000000,1020.75,1056.75,999.00,1047.00,919400,0
SVT.L,D,20030206,000000,1035.00,1053.00,1024.50,1041.75,450000,0
SVT.L,D,20030207,000000,1029.00,1041.75,1029.00,1035.00,613400,0
SVT.L,D,20030210,000000,1050.00,1080.00,1027.50,1068.00,1415200,0
SVT.L,D,20030211,000000,1053.75,1089.00,1035.00,1081.50,1177800,0
SVT.L,D,20030212,000000,1076.25,1084.50,1063.50,1071.00,535100,0
SVT.L,D,20030213,000000,1057.50,1079.25,1047.75,1074.00,579900,0
SVT.L,D,20030214,000000,1076.25,1109.25,1073.25,1081.50,534800,0
SVT.L,D,20030217,000000,1095.00,1107.00,1079.25,1098.75,574800,0
SVT.L,D,20030218,000000,1095.00,1110.00,1080.00,1101.00,436400,0
SVT.L,D,20030219,000000,1096.50,1096.50,1084.50,1085.25,749000,0
SVT.L,D,20030220,000000,1080.00,1094.25,1067.25,1079.25,938000,0
SVT.L,D,20030221,000000,1075.50,1095.00,1065.75,1085.25,1324300,0
SVT.L,D,20030224,000000,1086.00,1110.00,1078.50,1104.75,666500,0
SVT.L,D,20030225,000000,1101.75,1101.75,1073.25,1086.00,800500,0
SVT.L,D,20030226,000000,1098.00,1098.00,1047.00,1047.00,746800,0
SVT.L,D,20030227,000000,1062.00,1065.00,1034.25,1038.00,581100,0
SVT.L,D,20030228,000000,1033.50,1061.25,1018.50,1056.00,728100,0
SVT.L,D,20030303,000000,1065.00,1088.25,1050.00,1071.75,697100,0
SVT.L,D,20030304,000000,1080.00,1080.00,1055.25,1064.25,463000,0
SVT.L,D,20030305,000000,1044.00,1075.50,1044.00,1066.50,688900,0
SVT.L,D,20030306,000000,1065.00,1074.75,1042.50,1065.75,379900,0
SVT.L,D,20030307,000000,1063.50,1063.50,1028.25,1053.75,645000,0
SVT.L,D,20030310,000000,1053.75,1062.75,1018.50,1029.75,462000,0
SVT.L,D,20030311,000000,1031.25,1058.25,1020.00,1050.00,535400,0
SVT.L,D,20030312,000000,1057.50,1065.00,995.25,1020.00,875300,0
SVT.L,D,20030313,000000,1063.50,1076.25,1021.50,1054.50,808600,0
SVT.L,D,20030314,000000,1077.75,1077.75,1023.75,1056.00,1227900,0
SVT.L,D,20030317,000000,1035.00,1116.75,1035.00,1095.00,678900,0
SVT.L,D,20030318,000000,1084.50,1108.50,1071.00,1084.50,664300,0
SVT.L,D,20030319,000000,1095.00,1101.75,1054.50,1065.00,789600,0
SVT.L,D,20030320,000000,1061.25,1089.00,1048.50,1082.25,452400,0
SVT.L,D,20030321,000000,1087.50,1095.00,1061.25,1095.00,698800,0
SVT.L,D,20030324,000000,1095.00,1095.00,1068.75,1069.50,444500,0
SVT.L,D,20030325,000000,1058.25,1091.25,1058.25,1077.75,293100,0
SVT.L,D,20030326,000000,1077.00,1101.75,1077.00,1095.00,681800,0
SVT.L,D,20030327,000000,1075.50,1095.00,1072.50,1095.00,449000,0
SVT.L,D,20030328,000000,1095.00,1095.00,1076.25,1091.25,376500,0
SVT.L,D,20030331,000000,1072.50,1087.50,1054.50,1074.00,594700,0
SVT.L,D,20030401,000000,1080.00,1107.00,1068.75,1103.25,852800,0
SVT.L,D,20030402,000000,1107.00,1137.75,1104.75,1125.00,784900,0
SVT.L,D,20030403,000000,1139.25,1139.25,1097.25,1102.50,664300,0
SVT.L,D,20030404,000000,1110.00,1136.25,1102.50,1125.00,483700,0
SVT.L,D,20030407,000000,1140.00,1151.25,1117.50,1127.25,851200,0
SVT.L,D,20030408,000000,1116.75,1128.00,1107.75,1112.25,642300,0
SVT.L,D,20030409,000000,1110.00,1125.00,1098.75,1125.00,638800,0
SVT.L,D,20030410,000000,1110.00,1151.25,1108.50,1131.00,591900,0
SVT.L,D,20030411,000000,1138.50,1148.25,1088.25,1117.50,588700,0
SVT.L,D,20030414,000000,1155.00,1155.00,1114.50,1122.00,547000,0
