<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UU.L,D,20030101,000000,624.00,624.00,624.00,624.00,000,0
UU.L,D,20030102,000000,624.00,635.00,619.50,634.00,1161300,0
UU.L,D,20030103,000000,635.00,635.00,618.00,629.00,502300,0
UU.L,D,20030106,000000,632.00,632.00,615.00,626.00,1420400,0
UU.L,D,20030107,000000,622.50,630.00,611.00,623.00,664600,0
UU.L,D,20030108,000000,623.00,625.00,615.50,621.50,1111000,0
UU.L,D,20030109,000000,607.00,623.00,607.00,614.50,1420600,0
UU.L,D,20030110,000000,617.00,624.00,607.00,622.00,1027700,0
UU.L,D,20030113,000000,626.50,628.00,605.00,608.00,1807600,0
UU.L,D,20030114,000000,610.00,615.00,604.00,609.50,1656800,0
UU.L,D,20030115,000000,608.13,610.00,596.00,602.00,1996700,0
UU.L,D,20030116,000000,606.50,615.00,601.00,613.00,1885800,0
UU.L,D,20030117,000000,612.50,627.00,610.00,613.00,1764900,0
UU.L,D,20030120,000000,620.50,623.50,611.00,617.00,1308700,0
UU.L,D,20030121,000000,623.50,623.50,598.00,602.50,1363300,0
UU.L,D,20030122,000000,604.50,612.00,600.00,603.00,1252200,0
UU.L,D,20030123,000000,604.00,610.00,591.00,592.00,1997200,0
UU.L,D,20030124,000000,590.50,601.00,588.50,589.50,1286000,0
UU.L,D,20030127,000000,589.00,597.50,570.50,578.50,2767700,0
UU.L,D,20030128,000000,587.00,587.00,563.00,567.50,2186700,0
UU.L,D,20030129,000000,566.50,574.00,560.00,562.00,2409500,0
UU.L,D,20030130,000000,571.50,580.00,556.00,577.00,1697800,0
UU.L,D,20030131,000000,570.00,586.00,567.00,574.50,2578300,0
UU.L,D,20030203,000000,577.50,597.00,577.00,590.00,1549600,0
UU.L,D,20030204,000000,575.50,588.00,572.50,577.00,1896500,0
UU.L,D,20030205,000000,580.00,585.00,569.50,581.00,1460700,0
UU.L,D,20030206,000000,581.00,588.50,577.00,582.00,2114900,0
UU.L,D,20030207,000000,585.50,586.50,570.00,581.00,885300,0
UU.L,D,20030210,000000,580.00,601.50,580.00,598.00,1431900,0
UU.L,D,20030211,000000,611.00,614.50,600.00,612.50,3120600,0
UU.L,D,20030212,000000,608.00,608.50,596.00,602.00,1165700,0
UU.L,D,20030213,000000,591.50,599.00,584.00,596.00,1599800,0
UU.L,D,20030214,000000,600.50,607.50,591.00,593.50,857300,0
UU.L,D,20030217,000000,607.00,608.00,593.00,599.50,1008700,0
UU.L,D,20030218,000000,600.50,608.00,591.50,601.50,1208700,0
UU.L,D,20030219,000000,585.50,608.00,585.50,594.00,1422400,0
UU.L,D,20030220,000000,594.00,606.00,585.50,602.00,1722800,0
UU.L,D,20030221,000000,594.50,604.50,587.50,603.50,1254500,0
UU.L,D,20030224,000000,600.50,603.00,594.00,599.50,884300,0
UU.L,D,20030225,000000,596.50,601.00,586.50,590.00,982400,0
UU.L,D,20030226,000000,598.00,599.00,565.50,571.00,1294600,0
UU.L,D,20030227,000000,566.00,584.50,564.50,576.00,1851300,0
UU.L,D,20030228,000000,580.00,590.00,570.00,590.00,1598200,0
UU.L,D,20030303,000000,587.00,587.00,575.00,581.00,1492000,0
UU.L,D,20030304,000000,587.00,587.50,565.50,577.00,1646500,0
UU.L,D,20030305,000000,573.50,579.00,568.00,570.50,1291800,0
UU.L,D,20030306,000000,579.50,580.00,564.50,573.50,1281800,0
UU.L,D,20030307,000000,576.00,576.50,560.50,564.00,1263900,0
UU.L,D,20030310,000000,564.00,572.00,555.50,558.50,1332400,0
UU.L,D,20030311,000000,565.00,575.50,541.00,575.50,1559400,0
UU.L,D,20030312,000000,578.50,578.50,544.00,551.50,2382400,0
UU.L,D,20030313,000000,554.00,582.00,551.00,575.00,2523000,0
UU.L,D,20030314,000000,583.50,588.00,569.50,584.00,1249900,0
UU.L,D,20030317,000000,580.00,609.00,569.00,605.00,1593400,0
UU.L,D,20030318,000000,610.00,610.00,584.00,595.00,1360900,0
UU.L,D,20030319,000000,582.00,605.00,582.00,599.00,2342800,0
UU.L,D,20030320,000000,604.50,604.50,587.50,592.50,1532200,0
UU.L,D,20030321,000000,599.50,610.00,595.50,610.00,1740100,0
UU.L,D,20030324,000000,613.50,613.50,587.00,592.00,1102000,0
UU.L,D,20030325,000000,592.00,603.00,577.50,597.00,1235900,0
UU.L,D,20030326,000000,604.00,609.50,589.00,607.00,860000,0
UU.L,D,20030327,000000,599.50,608.50,593.00,603.00,904600,0
UU.L,D,20030328,000000,598.00,607.50,596.00,600.50,813200,0
UU.L,D,20030331,000000,601.00,601.00,580.00,586.00,859900,0
UU.L,D,20030401,000000,593.50,608.50,588.50,601.50,1298600,0
UU.L,D,20030402,000000,604.50,616.50,599.50,609.00,890500,0
UU.L,D,20030403,000000,618.00,619.00,596.00,602.00,1302900,0
UU.L,D,20030404,000000,602.00,618.50,578.00,618.00,1167400,0
UU.L,D,20030407,000000,620.00,625.00,608.50,618.50,2383900,0
UU.L,D,20030408,000000,615.00,621.00,602.50,605.50,1808000,0
UU.L,D,20030409,000000,603.00,618.50,601.00,606.50,1933700,0
UU.L,D,20030410,000000,605.50,619.00,602.50,606.50,1341800,0
UU.L,D,20030411,000000,616.00,622.00,605.50,616.00,1149300,0
UU.L,D,20030414,000000,629.00,629.00,611.00,617.00,984500,0
UU.L,D,20030415,000000,620.50,624.00,610.00,616.00,1124300,0
UU.L,D,20030416,000000,617.00,620.00,609.00,617.50,1428400,0
UU.L,D,20030417,000000,615.00,624.50,613.50,622.00,1335500,0
UU.L,D,20030418,000000,622.00,622.00,622.00,622.00,000,0
UU.L,D,20030421,000000,622.00,622.00,622.00,622.00,000,0
UU.L,D,20030422,000000,625.00,625.00,619.00,621.00,722800,0
UU.L,D,20030423,000000,629.00,629.00,612.50,623.00,1493100,0
UU.L,D,20030424,000000,627.50,629.50,611.00,613.00,1781300,0
UU.L,D,20030425,000000,613.00,625.00,600.00,606.00,1884200,0
UU.L,D,20030428,000000,606.00,618.00,606.00,616.00,1016300,0
UU.L,D,20030429,000000,620.00,620.00,597.00,606.50,1144800,0
UU.L,D,20030430,000000,608.00,609.00,595.50,601.00,2177800,0
UU.L,D,20030501,000000,598.50,608.00,592.00,598.50,634900,0
UU.L,D,20030502,000000,597.50,608.50,595.00,602.50,904000,0
UU.L,D,20030505,000000,602.50,602.50,602.50,602.50,000,0
UU.L,D,20030506,000000,606.50,614.50,600.00,608.00,1282200,0
UU.L,D,20030507,000000,608.00,616.50,595.00,602.50,1198500,0
UU.L,D,20030508,000000,605.00,608.50,598.00,598.00,994900,0
UU.L,D,20030509,000000,603.50,610.00,595.50,604.50,1196000,0
UU.L,D,20030512,000000,608.00,611.00,597.00,609.00,1076400,0
UU.L,D,20030513,000000,609.00,621.00,607.50,621.00,1993100,0
UU.L,D,20030514,000000,618.00,622.00,612.00,619.00,2289600,0
UU.L,D,20030515,000000,619.50,626.00,618.00,620.50,2058500,0
UU.L,D,20030516,000000,618.50,624.00,611.50,619.50,1742900,0
UU.L,D,20030519,000000,615.00,617.00,608.00,609.00,1293500,0
UU.L,D,20030520,000000,607.50,618.00,606.00,617.00,942000,0
UU.L,D,20030521,000000,620.50,623.50,601.00,608.00,1528700,0
UU.L,D,20030522,000000,614.00,622.50,609.00,622.00,1849600,0
UU.L,D,20030523,000000,622.00,629.00,611.50,621.00,755800,0
UU.L,D,20030526,000000,621.00,621.00,621.00,621.00,000,0
UU.L,D,20030527,000000,612.50,622.50,612.50,617.00,1335800,0
UU.L,D,20030528,000000,617.00,625.00,616.50,622.00,1495300,0
UU.L,D,20030529,000000,617.50,625.50,615.50,617.00,836400,0
UU.L,D,20030530,000000,618.50,619.50,607.50,614.00,2199600,0
UU.L,D,20030602,000000,618.50,623.50,612.00,623.50,1172700,0
UU.L,D,20030603,000000,611.00,633.50,607.00,615.00,2105400,0
UU.L,D,20030604,000000,615.00,619.50,611.00,615.00,976000,0
UU.L,D,20030605,000000,617.00,617.50,610.00,611.00,1139700,0
UU.L,D,20030606,000000,616.00,616.50,606.50,609.50,2280700,0
UU.L,D,20030609,000000,611.00,620.00,609.50,617.50,1324200,0
UU.L,D,20030610,000000,617.00,623.00,614.50,617.50,1979600,0
UU.L,D,20030611,000000,625.00,625.00,615.00,620.50,1437100,0
UU.L,D,20030612,000000,623.00,628.00,615.00,618.00,1334800,0
UU.L,D,20030613,000000,622.50,623.00,614.00,614.00,1480000,0
UU.L,D,20030616,000000,614.50,630.00,614.00,624.00,2165700,0
UU.L,D,20030617,000000,627.00,632.50,624.50,626.50,2266300,0
UU.L,D,20030618,000000,630.00,636.00,624.00,626.50,2232500,0
UU.L,D,20030619,000000,626.00,632.50,621.50,624.00,1862600,0
UU.L,D,20030620,000000,622.50,636.50,622.50,625.50,1389600,0
UU.L,D,20030623,000000,625.50,634.50,625.00,629.50,1264300,0
UU.L,D,20030624,000000,631.00,634.00,616.00,624.50,2164100,0
UU.L,D,20030625,000000,587.00,598.00,581.00,584.00,3531800,0
UU.L,D,20030626,000000,578.00,598.50,578.00,593.00,2250500,0
UU.L,D,20030627,000000,599.00,602.00,583.00,594.00,2235600,0
UU.L,D,20030630,000000,587.50,593.00,578.50,589.00,1967400,0
UU.L,D,20030701,000000,582.00,589.00,575.50,580.00,2247300,0
UU.L,D,20030702,000000,574.00,585.00,568.50,574.00,2819700,0
UU.L,D,20030703,000000,577.00,580.50,570.00,575.00,1839200,0
UU.L,D,20030704,000000,573.50,575.50,565.00,573.50,1423600,0
UU.L,D,20030707,000000,583.00,590.00,575.00,580.00,3107000,0
UU.L,D,20030708,000000,582.00,583.00,570.50,573.50,2803700,0
UU.L,D,20030709,000000,574.50,580.50,565.50,578.00,3871000,0
UU.L,D,20030710,000000,578.00,582.00,575.00,578.50,1663500,0
UU.L,D,20030711,000000,572.50,580.50,572.50,580.00,1757600,0
UU.L,D,20030714,000000,580.00,587.00,574.00,584.00,1665300,0
UU.L,D,20030715,000000,582.00,585.50,573.50,575.00,1932000,0
UU.L,D,20030716,000000,579.00,580.50,567.50,570.00,2341200,0
UU.L,D,20030717,000000,575.00,576.00,567.50,571.50,1278600,0
UU.L,D,20030718,000000,572.00,577.00,568.00,572.00,1692300,0
UU.L,D,20030721,000000,571.00,578.50,570.00,574.00,1503900,0
UU.L,D,20030722,000000,573.50,579.00,569.50,578.00,2549100,0
UU.L,D,20030723,000000,575.00,583.50,573.00,579.00,1534600,0
UU.L,D,20030724,000000,579.00,586.50,571.50,585.00,1578700,0
UU.L,D,20030725,000000,582.50,585.00,566.00,576.00,1602100,0
UU.L,D,20030728,000000,535.00,550.00,525.00,532.00,9994000,0
UU.L,D,20030729,000000,529.00,563.50,529.00,563.00,7096100,0
UU.L,D,20030730,000000,559.00,561.00,545.00,550.00,2735000,0
UU.L,D,20030731,000000,550.00,555.00,544.00,548.00,2890800,0
UU.L,D,20030801,000000,546.00,561.50,546.00,547.00,2942500,0
UU.L,D,20030804,000000,547.00,561.00,546.50,546.50,1534100,0
UU.L,D,20030805,000000,546.50,553.00,540.50,552.00,1875700,0
UU.L,D,20030806,000000,547.50,553.50,546.50,550.50,1829900,0
UU.L,D,20030807,000000,550.00,550.50,542.00,545.50,1636200,0
UU.L,D,20030808,000000,543.00,550.50,542.50,544.50,1523000,0
UU.L,D,20030811,000000,545.50,546.50,528.00,534.50,3412700,0
UU.L,D,20030812,000000,535.00,536.00,531.50,533.00,2246900,0
UU.L,D,20030813,000000,535.00,535.50,530.00,530.00,2100700,0
UU.L,D,20030814,000000,535.00,535.00,531.50,534.00,2710100,0
UU.L,D,20030815,000000,534.00,534.00,527.50,530.00,1896700,0
