<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VOD.L,D,20030101,000000,129.43,129.43,129.43,129.43,000,0
VOD.L,D,20030102,000000,128.57,134.29,128.00,134.00,88299700,0
VOD.L,D,20030103,000000,134.57,135.71,133.14,135.14,81663900,0
VOD.L,D,20030106,000000,135.43,140.00,134.57,139.43,168381500,0
VOD.L,D,20030107,000000,140.29,142.57,136.29,137.43,176263800,0
VOD.L,D,20030108,000000,136.57,137.43,134.29,136.57,195032000,0
VOD.L,D,20030109,000000,134.29,137.71,131.14,135.71,215388900,0
VOD.L,D,20030110,000000,138.00,140.29,134.57,139.43,210869300,0
VOD.L,D,20030113,000000,139.43,142.29,139.43,141.14,167709000,0
VOD.L,D,20030114,000000,142.29,143.71,140.57,143.43,238587100,0
VOD.L,D,20030115,000000,140.29,144.29,139.43,140.29,235469400,0
VOD.L,D,20030116,000000,139.43,142.00,138.00,141.14,161757100,0
VOD.L,D,20030117,000000,139.43,140.00,135.43,136.00,204645500,0
VOD.L,D,20030120,000000,136.00,137.71,133.43,134.29,142231000,0
VOD.L,D,20030121,000000,136.00,138.86,134.57,135.43,241959700,0
VOD.L,D,20030122,000000,135.14,137.71,134.57,134.86,266327300,0
VOD.L,D,20030123,000000,136.57,139.14,132.00,132.57,322818600,0
VOD.L,D,20030124,000000,133.71,134.86,129.14,131.14,301223100,0
VOD.L,D,20030127,000000,128.29,130.57,124.57,126.86,361252300,0
VOD.L,D,20030128,000000,130.29,130.57,124.29,128.29,367018600,0
VOD.L,D,20030129,000000,127.14,128.29,120.86,122.00,401641300,0
VOD.L,D,20030130,000000,124.29,126.57,123.43,125.71,302273600,0
VOD.L,D,20030131,000000,123.43,125.43,121.43,124.57,217034500,0
VOD.L,D,20030203,000000,129.71,130.86,128.29,129.71,173497500,0
VOD.L,D,20030204,000000,129.14,129.71,124.29,124.29,226977600,0
VOD.L,D,20030205,000000,125.71,130.00,124.29,130.00,190909500,0
VOD.L,D,20030206,000000,128.57,131.43,125.71,127.43,236458900,0
VOD.L,D,20030207,000000,127.43,131.14,126.86,128.86,198995300,0
VOD.L,D,20030210,000000,128.29,129.71,126.86,128.29,127012400,0
VOD.L,D,20030211,000000,129.71,132.57,128.86,132.29,185369500,0
VOD.L,D,20030212,000000,131.14,132.86,130.29,132.29,144828100,0
VOD.L,D,20030213,000000,131.14,131.71,129.71,131.71,167693300,0
VOD.L,D,20030214,000000,132.00,133.71,129.71,131.43,126418300,0
VOD.L,D,20030217,000000,133.43,134.86,132.57,134.57,121689300,0
VOD.L,D,20030218,000000,134.57,134.57,131.43,133.71,165079100,0
VOD.L,D,20030219,000000,132.57,134.00,129.71,130.29,168529900,0
VOD.L,D,20030220,000000,131.14,134.00,130.00,132.29,170906300,0
VOD.L,D,20030221,000000,132.57,134.57,130.86,134.57,170096800,0
VOD.L,D,20030224,000000,134.86,136.86,132.57,132.57,121615200,0
VOD.L,D,20030225,000000,131.71,132.86,128.29,129.43,197045400,0
VOD.L,D,20030226,000000,132.00,132.57,128.00,130.00,167511200,0
VOD.L,D,20030227,000000,130.00,131.14,126.29,128.29,248472700,0
VOD.L,D,20030228,000000,126.00,130.00,125.43,130.00,205956700,0
VOD.L,D,20030303,000000,130.86,132.00,128.29,130.57,132901500,0
VOD.L,D,20030304,000000,129.71,129.71,126.86,128.00,131058400,0
VOD.L,D,20030305,000000,126.86,128.29,125.71,126.29,139186900,0
VOD.L,D,20030306,000000,127.14,128.29,125.14,126.00,160180500,0
VOD.L,D,20030307,000000,125.14,125.14,122.00,124.00,170323400,0
VOD.L,D,20030310,000000,124.86,125.14,119.71,120.00,156888700,0
VOD.L,D,20030311,000000,119.71,122.29,118.00,119.71,185928500,0
VOD.L,D,20030312,000000,120.86,121.71,115.14,115.43,253462100,0
VOD.L,D,20030313,000000,117.14,124.57,116.86,124.00,247981400,0
VOD.L,D,20030314,000000,126.86,131.43,126.86,131.14,259333200,0
VOD.L,D,20030317,000000,128.86,136.86,126.86,134.86,186560200,0
VOD.L,D,20030318,000000,136.57,139.14,133.71,135.43,251268800,0
VOD.L,D,20030319,000000,135.43,137.43,132.00,135.43,249078800,0
VOD.L,D,20030320,000000,135.14,137.71,133.71,136.29,200102900,0
VOD.L,D,20030321,000000,136.57,140.86,136.57,138.86,194764200,0
VOD.L,D,20030324,000000,136.86,137.43,133.43,134.86,178128000,0
VOD.L,D,20030325,000000,133.43,134.86,130.00,133.43,230490600,0
VOD.L,D,20030326,000000,134.29,135.14,131.43,132.86,192627700,0
VOD.L,D,20030327,000000,132.57,133.14,128.86,130.86,168374900,0
VOD.L,D,20030328,000000,132.00,132.29,129.71,131.43,90127800,0
VOD.L,D,20030331,000000,130.29,130.29,127.14,129.14,135826500,0
VOD.L,D,20030401,000000,130.00,132.57,129.43,132.00,146350700,0
VOD.L,D,20030402,000000,133.14,137.14,133.14,136.00,172181900,0
VOD.L,D,20030403,000000,137.14,138.00,134.29,137.14,219767000,0
VOD.L,D,20030404,000000,136.57,138.00,135.14,136.57,168825500,0
VOD.L,D,20030407,000000,140.57,141.71,139.14,141.14,200845000,0
VOD.L,D,20030408,000000,140.29,140.86,137.71,138.86,162142900,0
VOD.L,D,20030409,000000,138.29,140.86,136.57,138.00,133225400,0
VOD.L,D,20030410,000000,136.86,139.71,136.29,137.14,104235500,0
VOD.L,D,20030411,000000,138.29,140.57,137.43,137.71,98784000,0
VOD.L,D,20030414,000000,139.14,139.43,137.43,139.14,66891200,0
VOD.L,D,20030415,000000,140.57,140.86,138.57,140.86,105470600,0
VOD.L,D,20030416,000000,142.29,142.86,137.71,139.43,119352500,0
VOD.L,D,20030417,000000,137.14,141.14,136.86,140.00,84937200,0
VOD.L,D,20030418,000000,140.00,140.00,140.00,140.00,000,0
VOD.L,D,20030421,000000,140.00,140.00,140.00,140.00,000,0
VOD.L,D,20030422,000000,141.71,142.29,140.29,142.00,98842200,0
VOD.L,D,20030423,000000,144.00,145.43,143.43,144.29,120305600,0
VOD.L,D,20030424,000000,144.29,145.71,143.43,143.43,129131400,0
VOD.L,D,20030425,000000,143.14,144.00,141.71,143.71,104285600,0
VOD.L,D,20030428,000000,142.57,145.14,142.29,145.14,95615700,0
VOD.L,D,20030429,000000,145.71,146.29,142.57,143.43,137999700,0
VOD.L,D,20030430,000000,142.86,143.43,140.57,141.14,154647800,0
VOD.L,D,20030501,000000,140.29,140.29,136.57,136.57,82979700,0
VOD.L,D,20030502,000000,136.00,139.71,135.43,139.43,163143200,0
VOD.L,D,20030505,000000,139.43,139.43,139.43,139.43,000,0
VOD.L,D,20030506,000000,139.43,140.86,138.29,140.86,130940100,0
VOD.L,D,20030507,000000,141.14,141.43,136.57,137.43,195893000,0
VOD.L,D,20030508,000000,136.57,137.14,134.00,135.14,167731700,0
VOD.L,D,20030509,000000,135.43,138.29,134.29,137.71,142036600,0
VOD.L,D,20030512,000000,138.00,138.29,136.29,137.71,116381000,0
VOD.L,D,20030513,000000,138.29,140.57,137.14,140.29,129681100,0
VOD.L,D,20030514,000000,139.43,141.14,139.14,139.43,149499200,0
VOD.L,D,20030515,000000,140.29,142.86,139.14,142.00,123306600,0
VOD.L,D,20030516,000000,142.00,142.86,140.29,140.57,169925900,0
VOD.L,D,20030519,000000,140.00,140.29,136.57,137.14,129970100,0
VOD.L,D,20030520,000000,137.71,138.29,136.57,137.43,240077800,0
VOD.L,D,20030521,000000,137.43,137.71,136.29,137.71,114174600,0
VOD.L,D,20030522,000000,138.57,140.86,137.14,140.29,158313300,0
VOD.L,D,20030523,000000,142.00,144.57,141.43,143.43,247984400,0
VOD.L,D,20030526,000000,143.43,143.43,143.43,143.43,000,0
VOD.L,D,20030527,000000,145.14,145.71,137.43,140.00,402826300,0
VOD.L,D,20030528,000000,142.29,144.86,141.14,144.86,321378000,0
VOD.L,D,20030529,000000,144.57,150.00,144.00,148.86,252840300,0
VOD.L,D,20030530,000000,148.29,153.14,147.14,151.43,251508300,0
